case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,668,35,199,200000,43,755,194.889,1155,11,0,703,12,0,41,0.996248,7.44933
LoraWAN 1 gateways,0.1,511,0,199,200000,43,513,373.975,1155,0,0,513,12,2,0,0,8.90734
Multihop 1 gateways,0.2,1176,84,199,200000,43,1446,194.889,1155,52,0,1260,12,11,123,0.979234,7.88065
LoraWAN 1 gateways,0.2,804,1,199,200000,43,809,371.656,1155,0,0,809,12,4,0,0,9.79823
Multihop 1 gateways,0.3,1598,83,199,200000,43,2057,194.889,1155,117,0,1681,12,10,249,0.98761,8.32112
LoraWAN 1 gateways,0.3,1017,4,199,200000,43,1022,373.317,1155,0,0,1022,12,1,0,0,10.0891
Multihop 1 gateways,0.4,1850,177,199,200000,43,2635,194.889,1155,177,0,2029,12,20,411,0.971785,8.67858
LoraWAN 1 gateways,0.4,1145,3,199,200000,43,1151,370.721,1155,0,0,1151,12,3,0,0,10.292
Multihop 1 gateways,0.5,2129,218,199,200000,43,3130,194.889,1155,201,0,2348,12,8,574,0.973058,8.98605
LoraWAN 1 gateways,0.5,1251,6,199,200000,43,1258,370.123,1155,0,0,1258,12,1,0,0,10.3943
Multihop 1 gateways,0.6,2341,220,199,200000,43,3589,194.889,1155,293,0,2561,12,31,704,0.965417,9.19479
LoraWAN 1 gateways,0.6,1327,8,199,200000,43,1336,369.128,1155,0,0,1336,12,1,0,0,10.5001
Multihop 1 gateways,0.7,2332,488,199,200000,43,3980,194.889,1155,317,0,2820,12,23,820,0.968482,9.34331
LoraWAN 1 gateways,0.7,1386,4,199,200000,43,1391,369.532,1155,0,0,1391,12,1,0,0,10.5238
Multihop 1 gateways,0.8,2377,566,199,200000,43,4374,194.889,1155,394,0,2943,12,18,1019,0.931762,9.59212
LoraWAN 1 gateways,0.8,1449,5,199,200000,43,1455,369.292,1155,0,0,1455,12,1,0,0,10.6042
Multihop 1 gateways,0.9,2546,670,199,200000,43,4736,194.889,1155,413,0,3216,12,20,1087,0.93578,9.8277
LoraWAN 1 gateways,0.9,1489,16,199,200000,43,1505,367.988,1155,0,0,1505,12,0,0,0,10.6689
Multihop 1 gateways,1,3123,192,199,200000,43,5071,194.889,1155,466,0,3315,12,46,1244,0.945644,9.92285
LoraWAN 1 gateways,1,1537,8,199,200000,43,1545,368.491,1155,0,0,1545,12,0,0,0,10.6891
Multihop 1 gateways,0.1,666,29,199,200000,43,755,218.6,1155,13,0,695,12,3,44,0.973791,1.79006
LoraWAN 1 gateways,0.1,537,0,199,200000,43,538,457.523,1155,0,0,538,12,1,0,0,1.94625
Multihop 1 gateways,0.2,1171,105,199,200000,43,1443,218.6,1155,47,0,1276,12,8,112,0.983129,1.96049
LoraWAN 1 gateways,0.2,846,3,199,200000,43,849,453.045,1155,0,0,849,12,0,0,0,2.13472
Multihop 1 gateways,0.3,1628,117,199,200000,43,2058,218.6,1155,82,0,1745,12,3,228,0.988418,2.12042
LoraWAN 1 gateways,0.3,1072,2,199,200000,43,1074,451.646,1155,0,0,1074,12,0,0,0,2.2112
Multihop 1 gateways,0.4,2026,95,199,200000,43,2626,218.6,1155,126,0,2121,12,11,368,0.987496,2.26007
LoraWAN 1 gateways,0.4,1201,8,199,200000,43,1213,449.988,1155,0,0,1213,12,4,0,0,2.26964
Multihop 1 gateways,0.5,2136,302,199,200000,43,3108,218.6,1155,192,0,2438,12,20,458,0.966304,2.37466
LoraWAN 1 gateways,0.5,1302,11,199,200000,43,1316,449.787,1155,0,0,1316,12,3,0,0,2.2825
Multihop 1 gateways,0.6,2570,196,199,200000,43,3552,218.6,1155,204,0,2767,12,3,579,0.95778,2.47771
LoraWAN 1 gateways,0.6,1400,9,199,200000,43,1410,449.088,1155,0,0,1410,12,1,0,0,2.30752
Multihop 1 gateways,0.7,2479,486,199,200000,43,3944,218.6,1155,253,0,2965,12,12,714,0.937902,2.55831
LoraWAN 1 gateways,0.7,1470,16,199,200000,43,1486,449.055,1155,0,0,1486,12,0,0,0,2.32971
Multihop 1 gateways,0.8,2878,373,199,200000,43,4354,218.6,1155,258,0,3251,12,11,834,0.937957,2.64099
LoraWAN 1 gateways,0.8,1537,6,199,200000,43,1544,448.922,1155,0,0,1544,12,1,0,0,2.35048
Multihop 1 gateways,0.9,2849,547,199,200000,43,4722,218.6,1155,373,0,3398,12,22,931,0.86241,2.70506
LoraWAN 1 gateways,0.9,1592,8,199,200000,43,1602,448.74,1155,0,0,1602,12,2,0,0,2.36503
Multihop 1 gateways,1,3179,317,199,200000,43,5055,218.6,1155,419,0,3496,12,18,1122,0.893229,2.75538
LoraWAN 1 gateways,1,1659,14,199,200000,43,1674,448.797,1155,0,0,1674,12,1,0,0,2.37643
Multihop 1 gateways,0.1,668,39,199,200000,43,756,194.889,1155,9,0,707,12,2,38,0.996514,7.87548
LoraWAN 1 gateways,0.1,536,0,199,200000,43,541,364.095,1155,0,0,541,12,5,0,0,9.47749
Multihop 1 gateways,0.2,1267,38,199,200000,43,1443,194.889,1155,38,0,1305,12,-1,101,0.996623,8.33095
LoraWAN 1 gateways,0.2,870,5,199,200000,43,876,363.189,1155,0,0,876,12,1,0,0,10.1684
Multihop 1 gateways,0.3,1554,181,199,200000,43,2058,194.889,1155,89,0,1735,12,6,228,0.988291,8.74207
LoraWAN 1 gateways,0.3,1081,2,199,200000,43,1084,362.656,1155,0,0,1084,12,1,0,0,10.5924
Multihop 1 gateways,0.4,1935,204,199,200000,43,2635,194.889,1155,155,0,2140,12,16,325,0.983042,9.0991
LoraWAN 1 gateways,0.4,1223,9,199,200000,43,1232,363.268,1155,0,0,1232,12,0,0,0,10.7287
Multihop 1 gateways,0.5,1991,496,199,200000,43,3116,194.889,1155,144,0,2489,12,14,471,0.988058,9.37859
LoraWAN 1 gateways,0.5,1340,4,199,200000,43,1345,362.747,1155,0,0,1345,12,1,0,0,10.9133
Multihop 1 gateways,0.6,2405,335,199,200000,43,3589,194.889,1155,226,0,2741,12,19,604,0.948678,9.60118
LoraWAN 1 gateways,0.6,1428,15,199,200000,43,1444,362.664,1155,0,0,1444,12,1,0,0,11.0548
Multihop 1 gateways,0.7,2498,463,199,200000,43,3979,194.889,1155,290,0,2961,12,19,709,0.969634,9.80525
LoraWAN 1 gateways,0.7,1507,9,199,200000,43,1517,361.432,1155,0,0,1517,12,1,0,0,11.164
Multihop 1 gateways,0.8,2777,357,199,200000,43,4374,194.889,1155,357,0,3135,12,27,856,0.927195,9.99092
LoraWAN 1 gateways,0.8,1560,15,199,200000,43,1579,361.391,1155,0,0,1579,12,4,0,0,11.1933
Multihop 1 gateways,0.9,2926,416,199,200000,43,4747,194.889,1155,374,0,3343,12,39,992,0.917591,10.1776
LoraWAN 1 gateways,0.9,1621,18,199,200000,43,1640,362.274,1155,0,0,1640,12,1,0,0,11.2749
Multihop 1 gateways,1,2960,564,199,200000,43,5093,194.889,1155,441,0,3524,12,51,1077,0.953577,10.3507
LoraWAN 1 gateways,1,1677,11,199,200000,43,1689,360.873,1155,0,0,1689,12,1,0,0,11.2985
Multihop 1 gateways,0.1,687,16,199,200000,43,755,242.273,1155,11,0,703,12,0,41,0.993335,8.02223
LoraWAN 1 gateways,0.1,534,1,199,200000,43,538,477.301,1155,0,1,537,12,2,0,0,9.38835
Multihop 1 gateways,0.2,1216,50,199,200000,43,1441,242.273,1155,44,0,1267,12,3,128,0.992585,8.45302
LoraWAN 1 gateways,0.2,855,0,199,200000,43,856,473.35,1155,0,1,855,12,0,0,0,10.3369
Multihop 1 gateways,0.3,1576,147,199,200000,43,2058,242.273,1155,100,0,1723,12,8,227,0.983912,8.84585
LoraWAN 1 gateways,0.3,1071,1,199,200000,43,1074,472.711,1155,0,2,1072,12,0,0,0,10.7934
Multihop 1 gateways,0.4,1856,250,199,200000,43,2625,242.273,1155,152,0,2106,12,12,355,0.971477,9.19475
LoraWAN 1 gateways,0.4,1210,5,199,200000,43,1218,472.392,1155,0,2,1216,12,1,0,0,10.9225
Multihop 1 gateways,0.5,2257,191,199,200000,43,3127,242.273,1155,184,0,2448,12,-1,496,0.948185,9.48039
LoraWAN 1 gateways,0.5,1327,8,199,200000,43,1339,472.365,1155,0,2,1337,12,2,0,0,11.0669
Multihop 1 gateways,0.6,2308,376,199,200000,43,3586,242.273,1155,244,0,2685,12,24,634,0.953982,9.73779
LoraWAN 1 gateways,0.6,1393,12,199,200000,43,1408,471.902,1155,0,2,1406,12,1,0,0,11.2587
Multihop 1 gateways,0.7,2630,271,199,200000,43,3965,242.273,1155,290,0,2902,12,19,755,0.950364,9.89738
