case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,2602,64,140,1000000,215,2705,287588,1155,18,0,2666,7,5,16,0.999399
LoraWAN 1 gateways,0.1,717,4,140,1000000,215,2704,32982,1155,0,1983,721,7,0,0,0
LoraWAN 2 gateways,0.1,1696,12,140,1000000,215,2704,78016,1155,0,2704,1709,7,-1708,0,0
LoraWAN 3 gateways,0.1,2522,8,140,1000000,215,2704,116012,1155,0,2704,2530,7,-2530,0,0
Multihop 1 gateways,0.2,4834,133,140,1000000,215,5070,540427,1155,33,0,4967,7,9,61,0.999635
LoraWAN 1 gateways,0.2,1335,10,140,1000000,215,5039,61410,1155,0,3694,1345,7,0,0,0
LoraWAN 2 gateways,0.2,3122,43,140,1000000,215,5039,143612,1155,0,5039,3165,7,-3165,0,0
LoraWAN 3 gateways,0.2,4629,48,140,1000000,215,5039,212934,1155,0,5039,4676,7,-4677,0,0
Multihop 1 gateways,0.3,6482,408,140,1000000,215,7083,722847,1155,62,0,6890,7,12,119,0.999229
LoraWAN 1 gateways,0.3,1859,62,140,1000000,215,6968,85514,1155,0,5047,1921,7,0,0,0
LoraWAN 2 gateways,0.3,4303,69,140,1000000,215,6968,197938,1155,0,6968,4372,7,-4372,0,0
LoraWAN 3 gateways,0.3,6401,68,140,1000000,215,6968,294446,1155,0,6968,6461,7,-6469,0,0
Multihop 1 gateways,0.4,7978,606,140,1000000,215,8932,887938,1155,111,0,8584,7,22,215,0.999178
LoraWAN 1 gateways,0.4,2303,64,140,1000000,215,8691,105938,1155,0,6323,2368,7,1,0,0
LoraWAN 2 gateways,0.4,5374,96,140,1000000,215,8691,247204,1155,0,8691,5472,7,-5470,0,0
LoraWAN 3 gateways,0.4,7935,125,140,1000000,215,8691,365010,1155,0,8691,8050,7,-8060,0,0
Multihop 1 gateways,0.5,9094,968,140,1000000,215,10560,1004319,1155,164,0,10062,7,25,309,0.999084
LoraWAN 1 gateways,0.5,2697,56,140,1000000,215,10126,124062,1155,0,7373,2753,7,0,0,0
LoraWAN 2 gateways,0.5,6288,142,140,1000000,215,10126,289248,1155,0,10126,6430,7,-6430,0,0
LoraWAN 3 gateways,0.5,9270,177,140,1000000,215,10126,426420,1155,0,10126,9424,7,-9447,0,0
Multihop 1 gateways,0.6,10430,965,140,1000000,215,11979,1152780,1155,200,0,11396,7,27,357,0.999273
LoraWAN 1 gateways,0.6,2970,78,140,1000000,215,11372,136620,1155,0,8324,3048,7,0,0,0
LoraWAN 2 gateways,0.6,6962,187,140,1000000,215,11372,320252,1155,0,11372,7149,7,-7149,0,0
LoraWAN 3 gateways,0.6,10325,255,140,1000000,215,11372,474950,1155,0,11372,10562,7,-10580,0,0
Multihop 1 gateways,0.7,11231,1288,140,1000000,215,13265,1228032,1155,235,0,12519,7,38,473,0.996979
LoraWAN 1 gateways,0.7,3292,114,140,1000000,215,12468,151432,1155,0,9062,3406,7,0,0,0
LoraWAN 2 gateways,0.7,7694,174,140,1000000,215,12468,353924,1155,0,12468,7868,7,-7868,0,0
LoraWAN 3 gateways,0.7,11271,305,140,1000000,215,12468,518466,1155,0,12468,11548,7,-11576,0,0
Multihop 1 gateways,0.8,12237,1459,140,1000000,215,14556,1332331,1155,247,0,13696,7,45,568,0.997886
LoraWAN 1 gateways,0.8,3470,153,140,1000000,215,13493,159620,1155,0,9870,3623,7,0,0,0
LoraWAN 2 gateways,0.8,8228,235,140,1000000,215,13493,378488,1155,0,13493,8463,7,-8463,0,0
LoraWAN 3 gateways,0.8,12232,309,140,1000000,215,13493,562672,1155,0,13493,12515,7,-12541,0,0
Multihop 1 gateways,0.9,12256,2488,140,1000000,215,15736,1324061,1155,294,0,14746,7,42,656,0.997708
