case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,9,0,50,10000,2,9,1132,1155,0,0,9,7,0,0,-nan
LoraWAN 1 gateways,0.1,2,0,50,10000,2,9,92,1155,0,7,2,7,0,0,0
LoraWAN 2 gateways,0.1,6,0,50,10000,2,9,276,1155,0,9,6,7,-6,0,0
LoraWAN 3 gateways,0.1,8,0,50,10000,2,9,368,1155,0,9,8,7,-8,0,0
Multihop 1 gateways,0.2,14,0,50,10000,2,15,1731,1155,0,0,15,7,1,0,-nan
LoraWAN 1 gateways,0.2,1,0,50,10000,2,15,46,1155,0,14,1,7,0,0,0
LoraWAN 2 gateways,0.2,10,0,50,10000,2,15,460,1155,0,15,10,7,-10,0,0
LoraWAN 3 gateways,0.2,14,0,50,10000,2,15,644,1155,0,15,14,7,-14,0,0
Multihop 1 gateways,0.3,17,2,50,10000,2,21,2463,1155,2,0,19,7,0,0,0.93985
LoraWAN 1 gateways,0.3,8,0,50,10000,2,21,368,1155,0,13,8,7,0,0,0
LoraWAN 2 gateways,0.3,11,0,50,10000,2,21,506,1155,0,21,11,7,-11,0,0
LoraWAN 3 gateways,0.3,17,2,50,10000,2,21,782,1155,0,21,19,7,-19,0,0
Multihop 1 gateways,0.4,23,0,50,10000,2,24,2940,1155,0,0,23,7,0,1,0.99863
LoraWAN 1 gateways,0.4,3,2,50,10000,2,24,138,1155,0,19,5,7,0,0,0
LoraWAN 2 gateways,0.4,13,0,50,10000,2,24,598,1155,0,24,13,7,-13,0,0
LoraWAN 3 gateways,0.4,23,0,50,10000,2,24,1058,1155,0,24,23,7,-23,0,0
Multihop 1 gateways,0.5,32,0,50,10000,2,33,4250,1155,0,0,33,7,1,0,0.997938
LoraWAN 1 gateways,0.5,2,0,50,10000,2,32,92,1155,0,30,2,7,0,0,0
LoraWAN 2 gateways,0.5,20,0,50,10000,2,32,920,1155,0,32,20,7,-20,0,0
LoraWAN 3 gateways,0.5,30,0,50,10000,2,32,1380,1155,0,32,30,7,-30,0,0
Multihop 1 gateways,0.6,41,0,50,10000,2,42,5422,1155,0,0,41,7,0,1,0.999663
LoraWAN 1 gateways,0.6,9,0,50,10000,2,40,414,1155,0,31,9,7,0,0,0
LoraWAN 2 gateways,0.6,26,0,50,10000,2,40,1196,1155,0,40,27,7,-26,0,0
LoraWAN 3 gateways,0.6,37,0,50,10000,2,40,1702,1155,0,40,38,7,-37,0,0
Multihop 1 gateways,0.7,46,0,50,10000,2,47,5407,1155,0,0,46,7,0,1,0.999663
LoraWAN 1 gateways,0.7,10,0,50,10000,2,44,460,1155,0,34,10,7,0,0,0
LoraWAN 2 gateways,0.7,25,0,50,10000,2,44,1150,1155,0,44,25,7,-25,0,0
LoraWAN 3 gateways,0.7,39,1,50,10000,2,44,1794,1155,0,44,40,7,-40,0,0
Multihop 1 gateways,0.8,46,0,50,10000,2,48,5766,1155,0,0,46,7,1,1,0.999096
LoraWAN 1 gateways,0.8,14,0,50,10000,2,46,644,1155,0,32,14,7,0,0,0
LoraWAN 2 gateways,0.8,30,0,50,10000,2,46,1380,1155,0,46,30,7,-30,0,0
LoraWAN 3 gateways,0.8,43,0,50,10000,2,46,1978,1155,0,46,43,7,-43,0,0
Multihop 1 gateways,0.9,49,4,50,10000,2,55,5736,1155,0,0,54,7,1,1,0.994414
LoraWAN 1 gateways,0.9,12,0,50,10000,2,50,552,1155,0,38,12,7,0,0,0
LoraWAN 2 gateways,0.9,31,0,50,10000,2,50,1426,1155,0,50,31,7,-31,0,0
LoraWAN 3 gateways,0.9,46,1,50,10000,2,50,2116,1155,0,50,47,7,-47,0,0
Multihop 1 gateways,1,54,0,50,10000,2,60,7030,1155,0,0,55,7,2,4,0.986198
LoraWAN 1 gateways,1,12,0,50,10000,2,55,552,1155,0,42,13,7,1,0,0
LoraWAN 2 gateways,1,37,0,50,10000,2,55,1702,1155,0,55,38,7,-37,0,0
LoraWAN 3 gateways,1,48,2,50,10000,2,55,2208,1155,0,55,51,7,-50,0,0
Multihop 1 gateways,0.1,9,0,50,10000,2,9,1142,1155,0,0,9,7,0,0,-nan
LoraWAN 1 gateways,0.1,2,0,50,10000,2,9,92,1155,0,7,2,7,0,0,0
LoraWAN 2 gateways,0.1,3,0,50,10000,2,9,138,1155,0,9,3,7,-3,0,0
LoraWAN 3 gateways,0.1,7,0,50,10000,2,9,322,1155,0,9,7,7,-7,0,0
Multihop 1 gateways,0.2,14,0,50,10000,2,15,1939,1155,0,0,14,7,1,0,-nan
LoraWAN 1 gateways,0.2,1,0,50,10000,2,15,46,1155,0,14,1,7,0,0,0
LoraWAN 2 gateways,0.2,4,0,50,10000,2,15,184,1155,0,15,4,7,-4,0,0
LoraWAN 3 gateways,0.2,9,0,50,10000,2,15,414,1155,0,15,9,7,-9,0,0
Multihop 1 gateways,0.3,21,0,50,10000,2,21,2932,1155,0,0,21,7,0,0,-nan
LoraWAN 1 gateways,0.3,7,0,50,10000,2,21,322,1155,0,14,7,7,0,0,0
LoraWAN 2 gateways,0.3,5,0,50,10000,2,21,230,1155,0,21,5,7,-5,0,0
LoraWAN 3 gateways,0.3,13,0,50,10000,2,21,598,1155,0,21,13,7,-13,0,0
Multihop 1 gateways,0.4,23,0,50,10000,2,24,2987,1155,1,0,23,7,0,0,0.960317
LoraWAN 1 gateways,0.4,6,0,50,10000,2,24,276,1155,0,18,6,7,0,0,0
LoraWAN 2 gateways,0.4,8,0,50,10000,2,24,368,1155,0,24,8,7,-8,0,0
LoraWAN 3 gateways,0.4,17,0,50,10000,2,24,782,1155,0,24,17,7,-17,0,0
Multihop 1 gateways,0.5,31,0,50,10000,2,33,4338,1155,2,0,31,7,0,0,0.995935
LoraWAN 1 gateways,0.5,3,0,50,10000,2,32,138,1155,0,29,3,7,0,0,0
LoraWAN 2 gateways,0.5,16,0,50,10000,2,32,736,1155,0,32,16,7,-16,0,0
LoraWAN 3 gateways,0.5,22,1,50,10000,2,32,1012,1155,0,32,23,7,-23,0,0
