case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,1525,18,80,1000000,215,1569,163884,1155,2,0,1543,7,1,23,0.998117
LoraWAN 1 gateways,0.1,557,0,80,1000000,215,1568,25622,1155,0,1011,557,7,0,0,0
LoraWAN 2 gateways,0.1,1046,2,80,1000000,215,1568,48116,1155,0,1568,1048,7,-1048,0,0
LoraWAN 3 gateways,0.1,1472,4,80,1000000,215,1568,67712,1155,0,1568,1476,7,-1476,0,0
Multihop 1 gateways,0.2,2758,83,80,1000000,215,2900,290046,1155,15,0,2841,7,3,41,0.999772
LoraWAN 1 gateways,0.2,928,10,80,1000000,215,2879,42688,1155,0,1941,938,7,0,0,0
LoraWAN 2 gateways,0.2,1954,13,80,1000000,215,2879,89884,1155,0,2879,1967,7,-1967,0,0
LoraWAN 3 gateways,0.2,2698,12,80,1000000,215,2879,124108,1155,0,2879,2710,7,-2710,0,0
Multihop 1 gateways,0.3,3760,153,80,1000000,215,4059,397017,1155,48,0,3913,7,12,86,0.996564
LoraWAN 1 gateways,0.3,1292,14,80,1000000,215,3982,59432,1155,0,2676,1306,7,0,0,0
LoraWAN 2 gateways,0.3,2674,31,80,1000000,215,3982,123004,1155,0,3982,2705,7,-2705,0,0
LoraWAN 3 gateways,0.3,3696,43,80,1000000,215,3982,170016,1155,0,3982,3738,7,-3739,0,0
Multihop 1 gateways,0.4,4695,211,80,1000000,215,5103,493536,1155,59,0,4906,7,15,123,0.997859
LoraWAN 1 gateways,0.4,1653,22,80,1000000,215,4974,76038,1155,0,3298,1676,7,1,0,0
LoraWAN 2 gateways,0.4,3358,33,80,1000000,215,4974,154468,1155,0,4974,3391,7,-3391,0,0
LoraWAN 3 gateways,0.4,4618,49,80,1000000,215,4974,212428,1155,0,4974,4666,7,-4667,0,0
Multihop 1 gateways,0.5,5489,299,80,1000000,215,6049,576358,1155,82,0,5788,7,17,162,0.998226
LoraWAN 1 gateways,0.5,1939,18,80,1000000,215,5788,89194,1155,0,3831,1957,7,0,0,0
LoraWAN 2 gateways,0.5,3836,59,80,1000000,215,5788,176456,1155,0,5788,3895,7,-3895,0,0
LoraWAN 3 gateways,0.5,5353,68,80,1000000,215,5788,246238,1155,0,5788,5419,7,-5421,0,0
Multihop 1 gateways,0.6,6188,292,80,1000000,215,6836,645191,1155,122,0,6480,7,27,207,0.997814
LoraWAN 1 gateways,0.6,2164,51,80,1000000,215,6513,99544,1155,0,4298,2215,7,0,0,0
LoraWAN 2 gateways,0.6,4315,60,80,1000000,215,6513,198490,1155,0,6513,4375,7,-4375,0,0
LoraWAN 3 gateways,0.6,6034,74,80,1000000,215,6513,277564,1155,0,6513,6104,7,-6108,0,0
Multihop 1 gateways,0.7,6612,492,80,1000000,215,7565,681421,1155,140,0,7104,7,48,273,0.99141
LoraWAN 1 gateways,0.7,2360,48,80,1000000,215,7150,108560,1155,0,4742,2408,7,0,0,0
LoraWAN 2 gateways,0.7,4751,75,80,1000000,215,7150,218546,1155,0,7150,4826,7,-4826,0,0
LoraWAN 3 gateways,0.7,6596,88,80,1000000,215,7150,303416,1155,0,7150,6684,7,-6684,0,0
Multihop 1 gateways,0.8,7207,561,80,1000000,215,8294,741446,1155,158,0,7768,7,34,334,0.993388
LoraWAN 1 gateways,0.8,2526,86,80,1000000,215,7741,116196,1155,0,5129,2612,7,0,0,0
LoraWAN 2 gateways,0.8,5120,78,80,1000000,215,7741,235520,1155,0,7741,5198,7,-5198,0,0
LoraWAN 3 gateways,0.8,7129,109,80,1000000,215,7741,327934,1155,0,7741,7236,7,-7238,0,0
Multihop 1 gateways,0.9,7749,643,80,1000000,215,8936,796419,1155,156,0,8392,7,41,347,0.993563
LoraWAN 1 gateways,0.9,2664,94,80,1000000,215,8232,122544,1155,0,5474,2758,7,0,0,0
LoraWAN 2 gateways,0.9,5445,99,80,1000000,215,8232,250470,1155,0,8232,5544,7,-5544,0,0
LoraWAN 3 gateways,0.9,7577,128,80,1000000,215,8232,348542,1155,0,8232,7704,7,-7705,0,0
Multihop 1 gateways,1,8257,578,80,1000000,215,9516,839064,1155,212,0,8836,7,51,418,0.992578
LoraWAN 1 gateways,1,2870,71,80,1000000,215,8696,132020,1155,0,5755,2941,7,0,0,0
LoraWAN 2 gateways,1,5747,119,80,1000000,215,8696,264362,1155,0,8696,5866,7,-5866,0,0
LoraWAN 3 gateways,1,8018,145,80,1000000,215,8696,368828,1155,0,8696,8158,7,-8163,0,0
Multihop 1 gateways,0.1,1535,30,80,1000000,215,1570,145072,1155,0,0,1565,7,2,3,0.999958
LoraWAN 1 gateways,0.1,539,2,80,1000000,215,1568,24794,1155,0,1027,541,7,0,0,0
LoraWAN 2 gateways,0.1,1120,5,80,1000000,215,1568,51520,1155,0,1568,1125,7,-1125,0,0
LoraWAN 3 gateways,0.1,1529,2,80,1000000,215,1568,70334,1155,0,1568,1531,7,-1531,0,0
Multihop 1 gateways,0.2,2810,64,80,1000000,215,2900,268293,1155,8,0,2874,7,1,17,0.999939
LoraWAN 1 gateways,0.2,938,2,80,1000000,215,2879,43148,1155,0,1939,940,7,0,0,0
LoraWAN 2 gateways,0.2,2115,14,80,1000000,215,2879,97290,1155,0,2879,2129,7,-2129,0,0
LoraWAN 3 gateways,0.2,2804,9,80,1000000,215,2879,128984,1155,0,2879,2812,7,-2813,0,0
Multihop 1 gateways,0.3,3844,162,80,1000000,215,4053,363491,1155,17,0,4006,7,1,29,0.999774
LoraWAN 1 gateways,0.3,1284,16,80,1000000,215,3982,59064,1155,0,2682,1300,7,0,0,0
LoraWAN 2 gateways,0.3,2874,40,80,1000000,215,3982,132204,1155,0,3982,2914,7,-2914,0,0
