case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.5,271,10,19,200000,43,282,23,1155,0,0,281,8,0,1,0.999949,1.21524
LoraWAN 1 gateways,0.5,238,3,19,200000,43,241,23,1155,0,0,241,8,0,0,0,1.10357
Multihop 1 gateways,0.5,271,2,19,200000,43,275,23,1155,2,0,273,8,0,0,0.999986,1.18968
LoraWAN 1 gateways,0.5,245,1,19,200000,43,246,23,1155,0,0,246,8,0,0,0,1.09803
Multihop 1 gateways,0.5,275,4,19,200000,43,279,49.6667,1155,0,0,279,9,0,0,0.999902,0.896242
LoraWAN 1 gateways,0.5,249,0,19,200000,43,249,46,1155,0,0,249,9,0,0,0,0.739265
Multihop 1 gateways,0.5,275,4,19,200000,43,279,49.6667,1155,0,0,279,9,0,0,0.999952,0.841919
LoraWAN 1 gateways,0.5,245,0,19,200000,43,245,46,1155,0,0,245,9,0,0,0,0.747223
Multihop 1 gateways,0.5,277,2,19,200000,43,279,49.6667,1155,0,0,279,9,0,0,0.999972,0.876381
LoraWAN 1 gateways,0.5,242,0,19,200000,43,242,46,1155,0,0,242,9,0,0,0,0.754385
Multihop 1 gateways,0.5,545,30,39,200000,43,608,123.333,1155,16,0,575,11,0,17,0.994964,0.79402
LoraWAN 1 gateways,0.5,400,0,39,200000,43,401,160,1155,0,0,401,11,1,0,0,0.618987
Multihop 1 gateways,0.5,580,12,39,200000,43,605,99.2,1155,4,0,592,10,0,9,0.999572,4.56854
LoraWAN 1 gateways,0.5,419,3,39,200000,43,422,93.2,1155,0,0,422,10,0,0,0,4.82242
Multihop 1 gateways,0.5,567,20,39,200000,43,604,74.75,1155,6,0,587,10,0,11,0.999523,2.48654
LoraWAN 1 gateways,0.5,425,1,39,200000,43,426,75.5,1155,0,0,426,10,0,0,0,2.46233
Multihop 1 gateways,0.5,565,24,39,200000,43,611,74.75,1155,0,0,589,10,0,22,0.996515,1.67311
LoraWAN 1 gateways,0.5,411,4,39,200000,43,415,76.8696,1155,0,0,415,10,0,0,0,1.52717
Multihop 1 gateways,0.5,544,43,39,200000,43,603,49.6667,1155,5,0,587,9,3,8,0.998281,0.936846
LoraWAN 1 gateways,0.5,459,3,39,200000,43,462,46,1155,0,0,462,9,0,0,0,0.748455
Multihop 1 gateways,0.5,854,21,59,200000,43,916,99.2,1155,12,0,875,11,1,28,0.997389,2.25759
LoraWAN 1 gateways,0.5,571,7,59,200000,43,579,122.523,1155,0,0,579,11,1,0,0,2.2099
Multihop 1 gateways,0.5,854,32,59,200000,43,912,99.2,1155,8,0,886,10,1,17,0.997678,6.3473
LoraWAN 1 gateways,0.5,611,8,59,200000,43,619,91.4545,1155,0,0,619,10,0,0,0,6.83142
Multihop 1 gateways,0.5,817,73,59,200000,43,911,99.2,1155,3,0,891,10,3,15,0.998604,6.29896
LoraWAN 1 gateways,0.5,621,2,59,200000,43,627,90.1538,1155,0,0,627,10,4,0,0,6.87659
Multihop 1 gateways,0.5,845,37,59,200000,43,918,123.333,1155,9,0,883,11,2,25,0.997321,0.909578
LoraWAN 1 gateways,0.5,564,8,59,200000,43,573,151.616,1155,0,0,573,11,1,0,0,0.706318
Multihop 1 gateways,0.5,845,33,59,200000,43,908,99.2,1155,7,0,878,10,1,22,0.99947,2.73879
LoraWAN 1 gateways,0.5,597,7,59,200000,43,604,99.2346,1155,0,0,604,10,0,0,0,2.79072
