case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.8,2950,72,30,1000000,215,3027,208318,1155,0,0,3022,7,0,5,0.999953
LoraWAN 1 gateways,0.8,2516,42,30,1000000,215,2558,153088,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2956,60,30,1000000,215,3027,212958,1155,0,0,3016,7,0,11,0.999885
LoraWAN 1 gateways,0.8,2512,46,30,1000000,215,2558,152812,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2931,112,30,1000000,215,3060,224918,1155,0,0,3043,7,0,17,0.999917
LoraWAN 1 gateways,0.8,2505,37,30,1000000,215,2544,154186,1155,0,0,2544,9,2,0,0
Multihop 1 gateways,0.8,2943,88,30,1000000,215,3034,207600,1155,0,0,3031,7,0,3,0.99994
LoraWAN 1 gateways,0.8,2533,32,30,1000000,215,2565,153298,1155,0,0,2565,9,0,0,0
Multihop 1 gateways,0.8,2939,90,30,1000000,215,3033,209261,1155,0,0,3029,7,0,4,0.999802
LoraWAN 1 gateways,0.8,2513,45,30,1000000,215,2558,152996,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2927,97,30,1000000,215,3034,207037,1155,0,0,3024,7,0,10,0.999909
LoraWAN 1 gateways,0.8,2557,34,30,1000000,215,2591,151044,1155,0,0,2591,9,0,0,0
Multihop 1 gateways,0.8,2944,75,30,1000000,215,3032,210719,1155,0,0,3019,7,0,13,0.999875
LoraWAN 1 gateways,0.8,2533,25,30,1000000,215,2558,153916,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2921,103,30,1000000,215,3038,211292,1155,0,0,3024,7,1,13,0.999947
LoraWAN 1 gateways,0.8,2519,39,30,1000000,215,2558,153180,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,2980,64,30,1000000,215,3060,226458,1155,0,0,3044,7,0,16,0.999261
LoraWAN 1 gateways,0.8,2512,30,30,1000000,215,2544,154416,1155,0,0,2544,9,2,0,0
Multihop 1 gateways,0.8,2967,64,30,1000000,215,3040,215534,1155,0,0,3031,7,1,8,0.999818
LoraWAN 1 gateways,0.8,2521,37,30,1000000,215,2558,153410,1155,0,0,2558,8,0,0,0
Multihop 1 gateways,0.8,5787,466,60,1000000,215,6342,609396,1155,0,0,6253,7,0,89,0.998018
LoraWAN 1 gateways,0.8,4367,62,60,1000000,215,4429,344340,1155,0,0,4429,9,0,0,0
Multihop 1 gateways,0.8,5967,339,60,1000000,215,6433,702807,1155,0,0,6306,7,2,125,0.99963
LoraWAN 1 gateways,0.8,4167,76,60,1000000,215,4243,353445,1155,0,0,4243,10,0,0,0
Multihop 1 gateways,0.8,6109,198,60,1000000,215,6417,711633,1155,0,0,6307,7,0,110,0.999926
LoraWAN 1 gateways,0.8,4233,56,60,1000000,215,4290,353066,1155,0,0,4290,10,1,0,0
Multihop 1 gateways,0.8,5865,434,60,1000000,215,6459,718247,1155,0,0,6299,7,1,159,0.997234
LoraWAN 1 gateways,0.8,4109,92,60,1000000,215,4202,356475,1155,0,0,4202,10,1,0,0
