case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,2251,44,120,1000000,215,2315,259127,1155,3,0,2295,7,0,17,0.999615
LoraWAN 1 gateways,0.1,703,0,120,1000000,215,2311,32338,1155,0,1608,703,7,0,0,0
LoraWAN 2 gateways,0.1,1560,4,120,1000000,215,2311,71760,1155,0,2311,1564,7,-1564,0,0
LoraWAN 3 gateways,0.1,1858,12,120,1000000,215,2311,85468,1155,0,2311,1869,7,-1870,0,0
Multihop 1 gateways,0.2,4119,180,120,1000000,215,4376,469048,1155,8,0,4299,7,11,58,0.999276
LoraWAN 1 gateways,0.2,1302,12,120,1000000,215,4337,59892,1155,0,3023,1314,7,0,0,0
LoraWAN 2 gateways,0.2,2928,25,120,1000000,215,4337,134688,1155,0,4337,2953,7,-2953,0,0
LoraWAN 3 gateways,0.2,3500,35,120,1000000,215,4337,161000,1155,0,4337,3532,7,-3535,0,0
Multihop 1 gateways,0.3,5642,324,120,1000000,215,6076,636795,1155,15,0,5967,7,10,85,0.997334
LoraWAN 1 gateways,0.3,1769,12,120,1000000,215,5959,81374,1155,0,4178,1781,7,0,0,0
LoraWAN 2 gateways,0.3,4002,57,120,1000000,215,5959,184092,1155,0,5959,4059,7,-4059,0,0
LoraWAN 3 gateways,0.3,4765,65,120,1000000,215,5959,219190,1155,0,5959,4825,7,-4830,0,0
Multihop 1 gateways,0.4,7024,444,120,1000000,215,7664,790631,1155,34,0,7468,7,13,149,0.998271
LoraWAN 1 gateways,0.4,2229,47,120,1000000,215,7421,102534,1155,0,5145,2276,7,0,0,0
LoraWAN 2 gateways,0.4,4911,79,120,1000000,215,7421,225906,1155,0,7421,4990,7,-4990,0,0
LoraWAN 3 gateways,0.4,5936,87,120,1000000,215,7421,273056,1155,0,7421,6012,7,-6023,0,0
Multihop 1 gateways,0.5,8227,568,120,1000000,215,9075,921518,1155,53,0,8795,7,10,217,0.997158
LoraWAN 1 gateways,0.5,2583,65,120,1000000,215,8686,118818,1155,0,6037,2649,7,1,0,0
LoraWAN 2 gateways,0.5,5767,104,120,1000000,215,8686,265282,1155,0,8686,5872,7,-5871,0,0
LoraWAN 3 gateways,0.5,6921,106,120,1000000,215,8686,318366,1155,0,8686,7008,7,-7027,0,0
Multihop 1 gateways,0.6,8862,1098,120,1000000,215,10329,983614,1155,75,0,9960,7,28,266,0.992761
LoraWAN 1 gateways,0.6,2836,86,120,1000000,215,9782,130456,1155,0,6860,2922,7,0,0,0
LoraWAN 2 gateways,0.6,6480,134,120,1000000,215,9782,298080,1155,0,9782,6614,7,-6614,0,0
LoraWAN 3 gateways,0.6,7753,177,120,1000000,215,9782,356638,1155,0,9782,7912,7,-7930,0,0
Multihop 1 gateways,0.7,9940,1053,120,1000000,215,11462,1103914,1155,95,0,10994,7,28,346,0.996235
LoraWAN 1 gateways,0.7,3117,70,120,1000000,215,10695,143382,1155,0,7508,3187,7,0,0,0
LoraWAN 2 gateways,0.7,7116,129,120,1000000,215,10695,327336,1155,0,10695,7245,7,-7245,0,0
LoraWAN 3 gateways,0.7,8475,190,120,1000000,215,10695,389850,1155,0,10695,8643,7,-8665,0,0
Multihop 1 gateways,0.8,10685,1295,120,1000000,215,12574,1182941,1155,123,0,11980,7,37,434,0.996406
LoraWAN 1 gateways,0.8,3332,118,120,1000000,215,11581,153272,1155,0,8131,3450,7,0,0,0
LoraWAN 2 gateways,0.8,7640,184,120,1000000,215,11581,351440,1155,0,11581,7824,7,-7824,0,0
LoraWAN 3 gateways,0.8,9160,226,120,1000000,215,11581,421360,1155,0,11581,9364,7,-9386,0,0
Multihop 1 gateways,0.9,11516,1472,120,1000000,215,13561,1277236,1155,101,0,12989,7,33,439,0.998084
LoraWAN 1 gateways,0.9,3579,150,120,1000000,215,12356,164634,1155,0,8626,3730,7,1,0,0
LoraWAN 2 gateways,0.9,8147,206,120,1000000,215,12356,374762,1155,0,12356,8355,7,-8353,0,0
LoraWAN 3 gateways,0.9,9764,284,120,1000000,215,12356,449144,1155,0,12356,10009,7,-10048,0,0
Multihop 1 gateways,1,11823,1848,120,1000000,215,14442,1301804,1155,127,0,13674,7,37,607,0.994626
LoraWAN 1 gateways,1,3765,116,120,1000000,215,13054,173190,1155,0,9173,3881,7,0,0,0
LoraWAN 2 gateways,1,8589,186,120,1000000,215,13054,395094,1155,0,13054,8776,7,-8775,0,0
LoraWAN 3 gateways,1,10252,298,120,1000000,215,13054,471592,1155,0,13054,10530,7,-10550,0,0
Multihop 1 gateways,0.1,2239,44,120,1000000,215,2316,269122,1155,8,0,2283,7,5,20,0.999888
LoraWAN 1 gateways,0.1,537,2,120,1000000,215,2311,24702,1155,0,1772,539,7,0,0,0
LoraWAN 2 gateways,0.1,1737,13,120,1000000,215,2311,79902,1155,0,2311,1750,7,-1750,0,0
LoraWAN 3 gateways,0.1,2195,12,120,1000000,215,2311,100970,1155,0,2311,2203,7,-2207,0,0
Multihop 1 gateways,0.2,4064,221,120,1000000,215,4377,491088,1155,22,0,4285,7,2,68,0.9987
LoraWAN 1 gateways,0.2,991,10,120,1000000,215,4337,45586,1155,0,3336,1001,7,0,0,0
LoraWAN 2 gateways,0.2,3256,43,120,1000000,215,4337,149776,1155,0,4337,3299,7,-3299,0,0
LoraWAN 3 gateways,0.2,4093,37,120,1000000,215,4337,188278,1155,0,4337,4121,7,-4130,0,0
Multihop 1 gateways,0.3,5532,382,120,1000000,215,6085,659566,1155,56,0,5914,7,11,104,0.99932
LoraWAN 1 gateways,0.3,1336,18,120,1000000,215,5959,61456,1155,0,4605,1354,7,0,0,0
LoraWAN 2 gateways,0.3,4550,60,120,1000000,215,5959,209300,1155,0,5959,4610,7,-4610,0,0
LoraWAN 3 gateways,0.3,5600,78,120,1000000,215,5959,257600,1155,0,5959,5661,7,-5678,0,0
Multihop 1 gateways,0.4,6905,444,120,1000000,215,7687,817567,1155,114,0,7349,7,28,196,0.998854
LoraWAN 1 gateways,0.4,1710,24,120,1000000,215,7421,78660,1155,0,5687,1734,7,0,0,0
LoraWAN 2 gateways,0.4,5536,132,120,1000000,215,7421,254656,1155,0,7421,5668,7,-5668,0,0
LoraWAN 3 gateways,0.4,6923,152,120,1000000,215,7421,318458,1155,0,7421,7042,7,-7075,0,0
Multihop 1 gateways,0.5,7983,679,120,1000000,215,9094,944594,1155,131,0,8662,7,39,262,0.998278
LoraWAN 1 gateways,0.5,1952,54,120,1000000,215,8686,89792,1155,0,6680,2006,7,0,0,0
LoraWAN 2 gateways,0.5,6532,137,120,1000000,215,8686,300472,1155,0,8686,6670,7,-6669,0,0
LoraWAN 3 gateways,0.5,8160,180,120,1000000,215,8686,375360,1155,0,8686,8267,7,-8340,0,0
Multihop 1 gateways,0.6,9027,813,120,1000000,215,10380,1057776,1155,197,0,9840,7,24,319,0.998211
LoraWAN 1 gateways,0.6,2192,32,120,1000000,215,9782,100832,1155,0,7558,2224,7,0,0,0
LoraWAN 2 gateways,0.6,7319,189,120,1000000,215,9782,336674,1155,0,9782,7508,7,-7508,0,0
LoraWAN 3 gateways,0.6,9147,217,120,1000000,215,9782,420762,1155,0,9782,9296,7,-9364,0,0
Multihop 1 gateways,0.7,9220,1657,120,1000000,215,11521,1076838,1155,180,0,10877,7,39,425,0.997627
LoraWAN 1 gateways,0.7,2375,48,120,1000000,215,10695,109250,1155,0,8272,2423,7,0,0,0
LoraWAN 2 gateways,0.7,7960,203,120,1000000,215,10695,366160,1155,0,10695,8163,7,-8163,0,0
LoraWAN 3 gateways,0.7,9965,287,120,1000000,215,10695,458390,1155,0,10695,10149,7,-10252,0,0
Multihop 1 gateways,0.8,10629,1173,120,1000000,215,12605,1238037,1155,245,0,11803,7,36,522,0.996789
LoraWAN 1 gateways,0.8,2546,38,120,1000000,215,11581,117116,1155,0,8997,2584,7,0,0,0
LoraWAN 2 gateways,0.8,8609,255,120,1000000,215,11581,396014,1155,0,11581,8864,7,-8864,0,0
LoraWAN 3 gateways,0.8,10742,359,120,1000000,215,11581,494132,1155,0,11581,11001,7,-11101,0,0
Multihop 1 gateways,0.9,11466,1218,120,1000000,215,13650,1338424,1155,302,0,12686,7,50,614,0.996605
LoraWAN 1 gateways,0.9,2733,71,120,1000000,215,12356,125718,1155,0,9552,2804,7,0,0,0
LoraWAN 2 gateways,0.9,9187,301,120,1000000,215,12356,422602,1155,0,12356,9489,7,-9488,0,0
LoraWAN 3 gateways,0.9,11477,403,120,1000000,215,12356,527942,1155,0,12356,11734,7,-11880,0,0
Multihop 1 gateways,1,11418,2122,120,1000000,215,14549,1314766,1155,255,0,13540,7,57,697,0.997408
LoraWAN 1 gateways,1,2866,84,120,1000000,215,13054,131836,1155,0,10104,2950,7,0,0,0
LoraWAN 2 gateways,1,9693,328,120,1000000,215,13054,445878,1155,0,13054,10022,7,-10021,0,0
LoraWAN 3 gateways,1,12138,406,120,1000000,215,13054,558348,1155,0,13054,12415,7,-12544,0,0
Multihop 1 gateways,0.1,2249,44,120,1000000,215,2316,252744,1155,8,0,2293,7,1,14,0.999828
LoraWAN 1 gateways,0.1,675,0,120,1000000,215,2311,31050,1155,0,1636,675,7,0,0,0
LoraWAN 2 gateways,0.1,1823,13,120,1000000,215,2311,83858,1155,0,2311,1836,7,-1836,0,0
LoraWAN 3 gateways,0.1,2137,14,120,1000000,215,2311,98302,1155,0,2311,2147,7,-2151,0,0
Multihop 1 gateways,0.2,4133,166,120,1000000,215,4377,461801,1155,16,0,4300,7,4,58,0.999558
LoraWAN 1 gateways,0.2,1274,10,120,1000000,215,4337,58604,1155,0,3053,1284,7,0,0,0
LoraWAN 2 gateways,0.2,3350,48,120,1000000,215,4337,154100,1155,0,4337,3398,7,-3398,0,0
LoraWAN 3 gateways,0.2,3969,46,120,1000000,215,4337,182574,1155,0,4337,4005,7,-4015,0,0
Multihop 1 gateways,0.3,5492,421,120,1000000,215,6076,610681,1155,54,0,5913,7,5,104,0.997893
LoraWAN 1 gateways,0.3,1685,36,120,1000000,215,5959,77510,1155,0,4238,1721,7,0,0,0
LoraWAN 2 gateways,0.3,4557,86,120,1000000,215,5959,209622,1155,0,5959,4643,7,-4643,0,0
LoraWAN 3 gateways,0.3,5456,69,120,1000000,215,5959,250976,1155,0,5959,5514,7,-5525,0,0
Multihop 1 gateways,0.4,7075,342,120,1000000,215,7656,787712,1155,64,0,7417,7,10,165,0.997793
LoraWAN 1 gateways,0.4,2143,50,120,1000000,215,7421,98578,1155,0,5228,2193,7,0,0,0
LoraWAN 2 gateways,0.4,5719,120,120,1000000,215,7421,263074,1155,0,7421,5839,7,-5839,0,0
LoraWAN 3 gateways,0.4,6804,132,120,1000000,215,7421,312984,1155,0,7421,6902,7,-6936,0,0
Multihop 1 gateways,0.5,7973,725,120,1000000,215,9048,877495,1155,102,0,8698,7,11,237,0.993888
LoraWAN 1 gateways,0.5,2454,67,120,1000000,215,8686,112884,1155,0,6165,2521,7,0,0,0
LoraWAN 2 gateways,0.5,6635,174,120,1000000,215,8686,305210,1155,0,8686,6810,7,-6809,0,0
LoraWAN 3 gateways,0.5,7919,142,120,1000000,215,8686,364274,1155,0,8686,8032,7,-8061,0,0
Multihop 1 gateways,0.6,8711,1161,120,1000000,215,10335,947715,1155,131,0,9872,7,18,314,0.997221
LoraWAN 1 gateways,0.6,2784,85,120,1000000,215,9782,128064,1155,0,6913,2869,7,0,0,0
LoraWAN 2 gateways,0.6,7437,202,120,1000000,215,9782,342102,1155,0,9782,7639,7,-7639,0,0
LoraWAN 3 gateways,0.6,8902,199,120,1000000,215,9782,409492,1155,0,9782,9043,7,-9101,0,0
Multihop 1 gateways,0.7,9988,912,120,1000000,215,11434,1094833,1155,135,0,10901,7,13,386,0.998847
LoraWAN 1 gateways,0.7,3022,94,120,1000000,215,10695,139012,1155,0,7579,3116,7,0,0,0
LoraWAN 2 gateways,0.7,8095,256,120,1000000,215,10695,372370,1155,0,10695,8351,7,-8351,0,0
LoraWAN 3 gateways,0.7,9687,243,120,1000000,215,10695,445602,1155,0,10695,9878,7,-9930,0,0
Multihop 1 gateways,0.8,10793,1106,120,1000000,215,12531,1169813,1155,179,0,11899,7,16,437,0.99529
LoraWAN 1 gateways,0.8,3272,91,120,1000000,215,11581,150512,1155,0,8218,3363,7,0,0,0
LoraWAN 2 gateways,0.8,8772,335,120,1000000,215,11581,403512,1155,0,11581,9107,7,-9107,0,0
LoraWAN 3 gateways,0.8,10528,269,120,1000000,215,11581,484288,1155,0,11581,10721,7,-10797,0,0
Multihop 1 gateways,0.9,11137,1601,120,1000000,215,13496,1197452,1155,210,0,12739,7,27,521,0.993209
LoraWAN 1 gateways,0.9,3488,128,120,1000000,215,12356,160448,1155,0,8739,3617,7,1,0,0
LoraWAN 2 gateways,0.9,9356,294,120,1000000,215,12356,430376,1155,0,12356,9651,7,-9650,0,0
LoraWAN 3 gateways,0.9,11194,311,120,1000000,215,12356,514924,1155,0,12356,11442,7,-11505,0,0
Multihop 1 gateways,1,11904,1686,120,1000000,215,14421,1270753,1155,215,0,13590,7,28,588,0.990864
LoraWAN 1 gateways,1,3606,156,120,1000000,215,13054,165876,1155,0,9292,3762,7,0,0,0
LoraWAN 2 gateways,1,9854,394,120,1000000,215,13054,453284,1155,0,13054,10249,7,-10248,0,0
LoraWAN 3 gateways,1,11785,381,120,1000000,215,13054,542110,1155,0,13054,12074,7,-12166,0,0
