case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,2897,86,159,1000000,215,3113,194.498,1155,49,0,2935,12,-42,123,0.997086,28.4135
LoraWAN 1 gateways,0.1,215,0,159,1000000,215,3109,18.4,1155,0,2894,215,7,0,0,0,4.73341
LoraWAN 2 gateways,0.1,1217,4,159,1000000,215,3109,40.8889,1155,0,3109,1221,7,-1221,0,0,4.73341
LoraWAN 3 gateways,0.1,1849,6,159,1000000,215,3109,40.8889,1155,0,3109,1855,7,-1855,0,0,4.73341
Multihop 1 gateways,0.2,5172,98,159,1000000,215,5781,194.627,1155,157,0,5198,7,-52,406,0.995335,30.2008
LoraWAN 1 gateways,0.2,370,0,159,1000000,215,5714,18.4,1155,0,5344,370,7,0,0,0,4.92898
LoraWAN 2 gateways,0.2,2274,13,159,1000000,215,5714,40.8889,1155,0,5714,2287,7,-2287,0,0,4.92898
LoraWAN 3 gateways,0.2,3386,19,159,1000000,215,5714,40.8889,1155,0,5714,3406,7,-3405,0,0,4.92898
Multihop 1 gateways,0.3,6804,322,159,1000000,215,8107,194.662,1155,274,0,7025,7,-57,764,0.990577,31.6213
LoraWAN 1 gateways,0.3,519,4,159,1000000,215,7873,18.4,1155,0,7350,523,7,0,0,0,5.09107
LoraWAN 2 gateways,0.3,3181,36,159,1000000,215,7873,40.8889,1155,0,7873,3217,7,-3217,0,0,5.09107
LoraWAN 3 gateways,0.3,4696,42,159,1000000,215,7873,40.8889,1155,0,7873,4738,7,-4738,0,0,5.09107
Multihop 1 gateways,0.4,8175,648,159,1000000,215,10340,194.665,1155,443,0,8709,7,-76,1150,0.982691,32.8958
LoraWAN 1 gateways,0.4,703,0,159,1000000,215,9851,18.4,1155,0,9148,703,7,0,0,0,5.2395
LoraWAN 2 gateways,0.4,3943,54,159,1000000,215,9851,40.8889,1155,0,9851,3997,7,-3997,0,0,5.2395
LoraWAN 3 gateways,0.4,5851,78,159,1000000,215,9851,40.8889,1155,0,9851,5929,7,-5929,0,0,5.2395
Multihop 1 gateways,0.5,9226,883,159,1000000,215,12307,194.653,1155,666,0,9966,7,-96,1628,0.971138,34.0475
LoraWAN 1 gateways,0.5,763,12,159,1000000,215,11507,18.4,1155,0,10732,775,7,0,0,0,5.36382
LoraWAN 2 gateways,0.5,4542,67,159,1000000,215,11507,40.8889,1155,0,11507,4610,7,-4609,0,0,5.36382
LoraWAN 3 gateways,0.5,6815,85,159,1000000,215,11507,40.8889,1155,0,11507,6901,7,-6900,0,0,5.36382
Multihop 1 gateways,0.6,10566,760,159,1000000,215,14092,194.646,1155,772,0,11154,7,-100,2094,0.974711,35.0134
LoraWAN 1 gateways,0.6,859,20,159,1000000,215,12935,18.4,1155,0,12056,879,7,0,0,0,5.4711
LoraWAN 2 gateways,0.6,5068,75,159,1000000,215,12935,40.8889,1155,0,12935,5143,7,-5143,0,0,5.4711
LoraWAN 3 gateways,0.6,7593,98,159,1000000,215,12935,40.8889,1155,0,12935,7691,7,-7691,0,0,5.4711
Multihop 1 gateways,0.7,9866,2438,159,1000000,215,15736,194.682,1155,981,0,12110,7,-106,2557,0.970503,35.8909
LoraWAN 1 gateways,0.7,961,18,159,1000000,215,14136,18.4,1155,0,13157,979,7,0,0,0,5.56126
LoraWAN 2 gateways,0.7,5585,111,159,1000000,215,14136,40.8889,1155,0,14136,5696,7,-5696,0,0,5.56126
LoraWAN 3 gateways,0.7,8303,151,159,1000000,215,14136,40.8889,1155,0,14136,8454,7,-8454,0,0,5.56126
Multihop 1 gateways,0.8,11686,1576,159,1000000,215,17372,194.636,1155,1141,0,13064,7,-98,3067,0.963179,36.7128
LoraWAN 1 gateways,0.8,1060,18,159,1000000,215,15307,18.4,1155,0,14229,1078,7,0,0,0,5.64918
LoraWAN 2 gateways,0.8,6047,141,159,1000000,215,15307,40.8889,1155,0,15307,6188,7,-6188,0,0,5.64918
LoraWAN 3 gateways,0.8,8992,164,159,1000000,215,15307,40.8889,1155,0,15307,9156,7,-9156,0,0,5.64918
Multihop 1 gateways,0.9,12721,1463,159,1000000,215,18883,194.697,1155,1342,0,13977,7,-107,3464,0.94571,37.4144
