case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,572,4,160,200000,43,608,194.889,1155,11,0,576,12,3,18,0.998932,0.245493
LoraWAN 1 gateways,0.1,33,0,160,200000,43,608,9.2,1155,0,575,33,7,0,0,0,-nan
LoraWAN 2 gateways,0.1,208,1,160,200000,43,608,40.8889,1155,0,608,209,7,-209,0,0,-nan
LoraWAN 3 gateways,0.1,326,5,160,200000,43,608,40.8889,1155,0,608,331,7,-331,0,0,-nan
Multihop 1 gateways,0.2,1037,22,160,200000,43,1166,194.889,1155,32,0,1059,7,0,75,0.998013,0.4561
LoraWAN 1 gateways,0.2,78,0,160,200000,43,1152,9.2,1155,0,1074,78,7,0,0,0,-nan
LoraWAN 2 gateways,0.2,410,0,160,200000,43,1152,40.8889,1155,0,1152,410,7,-410,0,0,-nan
LoraWAN 3 gateways,0.2,639,2,160,200000,43,1152,40.8889,1155,0,1152,641,7,-641,0,0,-nan
Multihop 1 gateways,0.3,1344,129,160,200000,43,1669,194.889,1155,38,0,1473,7,5,153,0.992705,0.639115
LoraWAN 1 gateways,0.3,107,0,160,200000,43,1621,9.2,1155,0,1514,107,7,0,0,0,-nan
LoraWAN 2 gateways,0.3,574,2,160,200000,43,1621,40.8889,1155,0,1621,576,7,-576,0,0,-nan
LoraWAN 3 gateways,0.3,903,10,160,200000,43,1621,40.8889,1155,0,1621,913,7,-913,0,0,-nan
Multihop 1 gateways,0.4,1698,66,160,200000,43,2129,194.889,1155,73,0,1764,7,12,280,0.984795,0.790971
LoraWAN 1 gateways,0.4,154,0,160,200000,43,2024,9.2,1155,0,1870,154,7,0,0,0,-nan
LoraWAN 2 gateways,0.4,738,16,160,200000,43,2024,40.8889,1155,0,2024,754,7,-754,0,0,-nan
LoraWAN 3 gateways,0.4,1142,12,160,200000,43,2024,40.8889,1155,0,2024,1154,7,-1154,0,0,-nan
Multihop 1 gateways,0.5,1861,180,160,200000,43,2508,194.889,1155,139,0,2042,7,16,312,0.981971,0.930678
LoraWAN 1 gateways,0.5,153,0,160,200000,43,2366,9.2,1155,0,2213,153,7,0,0,0,-nan
LoraWAN 2 gateways,0.5,852,12,160,200000,43,2366,40.8889,1155,0,2366,864,7,-864,0,0,-nan
LoraWAN 3 gateways,0.5,1351,16,160,200000,43,2366,40.8889,1155,0,2366,1367,7,-1367,0,0,-nan
Multihop 1 gateways,0.6,2098,195,160,200000,43,2908,194.889,1155,157,0,2294,7,3,455,0.984302,1.04975
LoraWAN 1 gateways,0.6,186,2,160,200000,43,2655,9.2,1155,0,2467,188,7,0,0,0,-nan
LoraWAN 2 gateways,0.6,959,19,160,200000,43,2655,40.8889,1155,0,2655,978,7,-978,0,0,-nan
LoraWAN 3 gateways,0.6,1503,19,160,200000,43,2655,40.8889,1155,0,2655,1522,7,-1522,0,0,-nan
Multihop 1 gateways,0.7,2135,370,160,200000,43,3231,194.889,1155,214,0,2505,7,29,483,0.984386,1.14154
LoraWAN 1 gateways,0.7,189,2,160,200000,43,2886,9.2,1155,0,2695,191,7,0,0,0,-nan
LoraWAN 2 gateways,0.7,1035,18,160,200000,43,2886,40.8889,1155,0,2886,1053,7,-1053,0,0,-nan
LoraWAN 3 gateways,0.7,1612,26,160,200000,43,2886,40.8889,1155,0,2886,1638,7,-1638,0,0,-nan
Multihop 1 gateways,0.8,2271,428,160,200000,43,3567,194.889,1155,247,0,2699,7,26,595,0.979356,1.27561
LoraWAN 1 gateways,0.8,220,0,160,200000,43,3121,9.2,1155,0,2901,220,7,0,0,0,-nan
LoraWAN 2 gateways,0.8,1145,17,160,200000,43,3121,40.8889,1155,0,3121,1162,7,-1162,0,0,-nan
LoraWAN 3 gateways,0.8,1780,17,160,200000,43,3121,40.8889,1155,0,3121,1797,7,-1797,0,0,-nan
Multihop 1 gateways,0.9,2674,261,160,200000,43,3862,194.889,1155,218,0,2935,7,25,684,0.972911,1.33653
LoraWAN 1 gateways,0.9,235,0,160,200000,43,3329,9.2,1155,0,3094,235,7,0,0,0,-nan
LoraWAN 2 gateways,0.9,1217,23,160,200000,43,3329,40.8889,1155,0,3329,1240,7,-1240,0,0,-nan
LoraWAN 3 gateways,0.9,1846,35,160,200000,43,3329,40.8889,1155,0,3329,1881,7,-1881,0,0,-nan
Multihop 1 gateways,1,2778,270,160,200000,43,4150,194.889,1155,289,0,3048,7,18,795,0.964637,1.443
LoraWAN 1 gateways,1,230,2,160,200000,43,3513,9.2,1155,0,3281,232,7,0,0,0,-nan
LoraWAN 2 gateways,1,1286,16,160,200000,43,3513,40.8889,1155,0,3513,1302,7,-1302,0,0,-nan
LoraWAN 3 gateways,1,1944,55,160,200000,43,3513,40.8889,1155,0,3513,1999,7,-1999,0,0,-nan
Multihop 1 gateways,0.1,578,2,160,200000,43,608,194.889,1155,6,0,580,7,0,22,0.998883,0.243202
LoraWAN 1 gateways,0.1,34,0,160,200000,43,608,9.2,1155,0,574,34,7,0,0,0,-nan
LoraWAN 2 gateways,0.1,216,2,160,200000,43,608,40.8889,1155,0,608,218,7,-218,0,0,-nan
LoraWAN 3 gateways,0.1,376,3,160,200000,43,608,40.25,1155,0,608,379,7,-379,0,0,-nan
Multihop 1 gateways,0.2,1019,52,160,200000,43,1170,194.889,1155,24,0,1071,7,10,65,0.998643,0.433545
LoraWAN 1 gateways,0.2,85,2,160,200000,43,1152,9.2,1155,0,1065,87,7,0,0,0,-nan
LoraWAN 2 gateways,0.2,422,0,160,200000,43,1152,40.8889,1155,0,1152,422,7,-422,0,0,-nan
LoraWAN 3 gateways,0.2,723,5,160,200000,43,1152,40.25,1155,0,1152,728,7,-728,0,0,-nan
Multihop 1 gateways,0.3,1396,80,160,200000,43,1666,194.889,1155,37,0,1477,7,12,141,0.993132,0.615561
LoraWAN 1 gateways,0.3,113,2,160,200000,43,1621,9.2,1155,0,1506,115,7,0,0,0,-nan
LoraWAN 2 gateways,0.3,594,7,160,200000,43,1621,40.8889,1155,0,1621,601,7,-601,0,0,-nan
LoraWAN 3 gateways,0.3,1011,16,160,200000,43,1621,40.25,1155,0,1621,1027,7,-1027,0,0,-nan
Multihop 1 gateways,0.4,1653,168,160,200000,43,2135,194.889,1155,57,0,1822,7,19,238,0.993154,0.765314
LoraWAN 1 gateways,0.4,167,0,160,200000,43,2024,9.2,1155,0,1857,167,7,0,0,0,-nan
LoraWAN 2 gateways,0.4,730,10,160,200000,43,2024,40.8889,1155,0,2024,740,7,-740,0,0,-nan
LoraWAN 3 gateways,0.4,1237,19,160,200000,43,2024,40.25,1155,0,2024,1256,7,-1256,0,0,-nan
Multihop 1 gateways,0.5,1855,249,160,200000,43,2506,194.889,1155,95,0,2106,7,18,289,0.988497,0.896597
LoraWAN 1 gateways,0.5,175,2,160,200000,43,2366,9.2,1155,0,2189,177,7,0,0,0,-nan
LoraWAN 2 gateways,0.5,862,8,160,200000,43,2366,40.8889,1155,0,2366,870,7,-870,0,0,-nan
LoraWAN 3 gateways,0.5,1468,25,160,200000,43,2366,40.25,1155,0,2366,1493,7,-1493,0,0,-nan
Multihop 1 gateways,0.6,2036,299,160,200000,43,2897,194.889,1155,136,0,2335,7,21,405,0.986694,0.99874
LoraWAN 1 gateways,0.6,197,2,160,200000,43,2655,9.2,1155,0,2456,199,7,0,0,0,-nan
LoraWAN 2 gateways,0.6,983,18,160,200000,43,2655,40.8889,1155,0,2655,1001,7,-1001,0,0,-nan
LoraWAN 3 gateways,0.6,1662,31,160,200000,43,2655,40.25,1155,0,2655,1693,7,-1693,0,0,-nan
Multihop 1 gateways,0.7,2319,267,160,200000,43,3232,194.889,1155,130,0,2586,7,26,490,0.984264,1.12622
LoraWAN 1 gateways,0.7,207,6,160,200000,43,2886,9.2,1155,0,2673,213,7,0,0,0,-nan
LoraWAN 2 gateways,0.7,1059,13,160,200000,43,2886,40.8889,1155,0,2886,1072,7,-1072,0,0,-nan
LoraWAN 3 gateways,0.7,1803,33,160,200000,43,2886,40.25,1155,0,2886,1836,7,-1836,0,0,-nan
Multihop 1 gateways,0.8,2418,344,160,200000,43,3548,194.889,1155,196,0,2762,7,32,558,0.967,1.21134
LoraWAN 1 gateways,0.8,226,8,160,200000,43,3121,9.2,1155,0,2887,234,7,0,0,0,-nan
LoraWAN 2 gateways,0.8,1124,23,160,200000,43,3121,40.8889,1155,0,3121,1147,7,-1147,0,0,-nan
LoraWAN 3 gateways,0.8,1930,35,160,200000,43,3121,40.25,1155,0,3121,1965,7,-1965,0,0,-nan
Multihop 1 gateways,0.9,2452,450,160,200000,43,3845,194.889,1155,250,0,2902,7,39,654,0.97568,1.28828
LoraWAN 1 gateways,0.9,256,0,160,200000,43,3329,9.2,1155,0,3073,256,7,0,0,0,-nan
LoraWAN 2 gateways,0.9,1208,21,160,200000,43,3329,40.8889,1155,0,3329,1229,7,-1229,0,0,-nan
LoraWAN 3 gateways,0.9,2062,47,160,200000,43,3329,40.25,1155,0,3329,2109,7,-2109,0,0,-nan
Multihop 1 gateways,1,2495,659,160,200000,43,4133,194.889,1155,209,0,3154,7,40,730,0.975485,1.39904
LoraWAN 1 gateways,1,251,4,160,200000,43,3513,9.2,1155,0,3258,255,7,0,0,0,-nan
LoraWAN 2 gateways,1,1229,46,160,200000,43,3513,40.8889,1155,0,3513,1275,7,-1275,0,0,-nan
LoraWAN 3 gateways,1,2153,45,160,200000,43,3513,40.25,1155,0,3513,2199,7,-2198,0,0,-nan
Multihop 1 gateways,0.1,561,14,160,200000,43,607,194.889,1155,4,0,575,7,2,26,0.998957,0.236853
LoraWAN 1 gateways,0.1,35,0,160,200000,43,608,9.2,1155,0,573,35,7,0,0,0,-nan
LoraWAN 2 gateways,0.1,265,4,160,200000,43,608,40.8889,1155,0,608,269,7,-269,0,0,-nan
LoraWAN 3 gateways,0.1,366,1,160,200000,43,608,40.25,1155,0,608,367,7,-367,0,0,-nan
Multihop 1 gateways,0.2,1054,20,160,200000,43,1167,194.889,1155,21,0,1075,7,2,70,0.997762,0.446645
LoraWAN 1 gateways,0.2,83,2,160,200000,43,1152,9.2,1155,0,1067,85,7,0,0,0,-nan
LoraWAN 2 gateways,0.2,446,4,160,200000,43,1152,40.8889,1155,0,1152,450,7,-450,0,0,-nan
LoraWAN 3 gateways,0.2,651,6,160,200000,43,1152,40.25,1155,0,1152,657,7,-657,0,0,-nan
Multihop 1 gateways,0.3,1428,58,160,200000,43,1673,194.889,1155,47,0,1486,7,5,135,0.991606,0.627276
LoraWAN 1 gateways,0.3,113,4,160,200000,43,1621,9.2,1155,0,1504,117,7,0,0,0,-nan
LoraWAN 2 gateways,0.3,633,9,160,200000,43,1621,40.8889,1155,0,1621,642,7,-642,0,0,-nan
LoraWAN 3 gateways,0.3,937,14,160,200000,43,1621,40.25,1155,0,1621,951,7,-951,0,0,-nan
Multihop 1 gateways,0.4,1655,152,160,200000,43,2124,194.889,1155,66,0,1807,7,9,242,0.993171,0.769892
LoraWAN 1 gateways,0.4,164,0,160,200000,43,2024,9.2,1155,0,1860,164,7,0,0,0,-nan
LoraWAN 2 gateways,0.4,777,8,160,200000,43,2024,40.8889,1155,0,2024,785,7,-785,0,0,-nan
LoraWAN 3 gateways,0.4,1128,20,160,200000,43,2024,40.25,1155,0,2024,1148,7,-1148,0,0,-nan
Multihop 1 gateways,0.5,1752,307,160,200000,43,2509,194.889,1155,112,0,2059,7,5,333,0.988207,0.909055
LoraWAN 1 gateways,0.5,176,2,160,200000,43,2366,9.2,1155,0,2188,178,7,0,0,0,-nan
LoraWAN 2 gateways,0.5,936,23,160,200000,43,2366,40.8889,1155,0,2366,959,7,-959,0,0,-nan
LoraWAN 3 gateways,0.5,1333,34,160,200000,43,2366,40.25,1155,0,2366,1367,7,-1367,0,0,-nan
Multihop 1 gateways,0.6,1985,345,160,200000,43,2910,194.889,1155,133,0,2330,7,20,427,0.974939,1.05202
LoraWAN 1 gateways,0.6,203,0,160,200000,43,2655,9.2,1155,0,2452,203,7,0,0,0,-nan
LoraWAN 2 gateways,0.6,1046,21,160,200000,43,2655,40.8889,1155,0,2655,1067,7,-1067,0,0,-nan
LoraWAN 3 gateways,0.6,1491,30,160,200000,43,2655,40.25,1155,0,2655,1521,7,-1521,0,0,-nan
Multihop 1 gateways,0.7,2242,348,160,200000,43,3237,194.889,1155,157,0,2590,7,26,464,0.977532,1.1438
LoraWAN 1 gateways,0.7,214,2,160,200000,43,2886,9.2,1155,0,2670,216,7,0,0,0,-nan
LoraWAN 2 gateways,0.7,1111,25,160,200000,43,2886,40.8889,1155,0,2886,1136,7,-1136,0,0,-nan
LoraWAN 3 gateways,0.7,1608,23,160,200000,43,2886,40.25,1155,0,2886,1631,7,-1631,0,0,-nan
Multihop 1 gateways,0.8,2582,244,160,200000,43,3573,194.889,1155,167,0,2826,7,23,557,0.981851,1.24773
LoraWAN 1 gateways,0.8,241,0,160,200000,43,3121,9.2,1155,0,2880,241,7,0,0,0,-nan
LoraWAN 2 gateways,0.8,1199,31,160,200000,43,3121,40.8889,1155,0,3121,1230,7,-1230,0,0,-nan
LoraWAN 3 gateways,0.8,1748,26,160,200000,43,3121,40.25,1155,0,3121,1774,7,-1774,0,0,-nan
Multihop 1 gateways,0.9,2658,329,160,200000,43,3863,194.889,1155,180,0,2987,7,16,680,0.980021,1.33845
LoraWAN 1 gateways,0.9,255,0,160,200000,43,3329,9.2,1155,0,3074,255,7,0,0,0,-nan
LoraWAN 2 gateways,0.9,1273,24,160,200000,43,3329,40.8889,1155,0,3329,1297,7,-1297,0,0,-nan
LoraWAN 3 gateways,0.9,1862,35,160,200000,43,3329,40.25,1155,0,3329,1897,7,-1897,0,0,-nan
Multihop 1 gateways,1,2619,508,160,200000,43,4132,194.889,1155,253,0,3128,7,20,732,0.981031,1.41402
LoraWAN 1 gateways,1,257,0,160,200000,43,3513,9.2,1155,0,3256,257,7,0,0,0,-nan
LoraWAN 2 gateways,1,1358,29,160,200000,43,3513,40.8889,1155,0,3513,1388,7,-1387,0,0,-nan
LoraWAN 3 gateways,1,1942,47,160,200000,43,3513,40.25,1155,0,3513,1990,7,-1989,0,0,-nan
Multihop 1 gateways,0.1,559,14,160,200000,43,606,194.889,1155,9,0,573,7,2,22,0.996542,0.244952
LoraWAN 1 gateways,0.1,30,0,160,200000,43,608,9.2,1155,0,578,30,7,0,0,0,-nan
LoraWAN 2 gateways,0.1,225,1,160,200000,43,608,40.8889,1155,0,608,226,7,-226,0,0,-nan
LoraWAN 3 gateways,0.1,357,2,160,200000,43,608,40.8889,1155,0,608,359,7,-359,0,0,-nan
Multihop 1 gateways,0.2,1030,33,160,200000,43,1166,194.889,1155,30,0,1064,7,4,69,0.997616,0.457886
LoraWAN 1 gateways,0.2,72,0,160,200000,43,1152,9.2,1155,0,1080,72,7,0,0,0,-nan
LoraWAN 2 gateways,0.2,461,3,160,200000,43,1152,40.8889,1155,0,1152,464,7,-464,0,0,-nan
LoraWAN 3 gateways,0.2,700,4,160,200000,43,1152,40.8889,1155,0,1152,704,7,-704,0,0,-nan
Multihop 1 gateways,0.3,1383,78,160,200000,43,1670,194.889,1155,58,0,1462,7,7,144,0.99576,0.652187
LoraWAN 1 gateways,0.3,94,2,160,200000,43,1621,9.2,1155,0,1525,96,7,0,0,0,-nan
LoraWAN 2 gateways,0.3,626,5,160,200000,43,1621,40.8889,1155,0,1621,631,7,-631,0,0,-nan
LoraWAN 3 gateways,0.3,975,13,160,200000,43,1621,40.8889,1155,0,1621,988,7,-988,0,0,-nan
