case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.2,675,8,19,1000000,215,684,99.2,1155,0,0,683,10,0,1,0.999047,15.5028
LoraWAN 1 gateways,0.2,620,0,19,1000000,215,620,78.8,1155,0,0,620,10,0,0,0,4.05177
Multihop 1 gateways,0.2,673,4,19,1000000,215,681,49.6667,1155,2,0,677,9,0,2,1,3.71541
LoraWAN 1 gateways,0.2,623,3,19,1000000,215,626,57.4098,1155,0,0,626,9,0,0,0,3.38862
Multihop 1 gateways,0.2,675,7,19,1000000,215,684,74.75,1155,0,0,682,9,0,2,0.99989,19.0472
LoraWAN 1 gateways,0.2,633,1,19,1000000,215,634,57.5,1155,0,0,634,9,0,0,0,3.38121
Multihop 1 gateways,0.2,681,0,19,1000000,215,685,49.6667,1155,0,0,681,8,1,3,0.999841,3.66008
LoraWAN 1 gateways,0.2,638,1,19,1000000,215,639,46,1155,0,0,639,8,0,0,0,5.0727
Multihop 1 gateways,0.2,687,0,19,1000000,215,687,49.6667,1155,0,0,687,9,0,0,1,3.75093
LoraWAN 1 gateways,0.2,631,4,19,1000000,215,635,46,1155,0,0,635,9,0,0,0,3.38265
Multihop 1 gateways,0.2,1385,6,39,1000000,215,1406,99.2,1155,8,0,1391,10,1,6,0.999903,23.7202
LoraWAN 1 gateways,0.2,1196,11,39,1000000,215,1207,126.2,1155,0,0,1207,10,0,0,0,2.97356
Multihop 1 gateways,0.2,1369,20,39,1000000,215,1409,99.2,1155,7,0,1389,10,2,11,0.999745,18.4757
LoraWAN 1 gateways,0.2,1158,6,39,1000000,215,1164,90.186,1155,0,0,1164,10,0,0,0,2.77394
Multihop 1 gateways,0.2,1357,33,39,1000000,215,1405,74.75,1155,4,0,1390,10,0,11,0.999978,8.93976
LoraWAN 1 gateways,0.2,1181,2,39,1000000,215,1183,75.5,1155,0,0,1183,10,0,0,0,2.8426
Multihop 1 gateways,0.2,1387,10,39,1000000,215,1407,99.2,1155,2,0,1397,10,0,8,0.99994,12.563
LoraWAN 1 gateways,0.2,1207,2,39,1000000,215,1209,83.4345,1155,0,0,1209,10,0,0,0,2.87724
Multihop 1 gateways,0.2,1376,22,39,1000000,215,1407,99.2,1155,2,0,1398,10,0,7,0.999903,24.7084
LoraWAN 1 gateways,0.2,1207,6,39,1000000,215,1213,93.2,1155,0,0,1213,10,0,0,0,2.73068
Multihop 1 gateways,0.2,2048,28,59,1000000,215,2136,123.333,1155,19,0,2076,11,2,39,0.99966,3.40199
LoraWAN 1 gateways,0.2,1640,4,59,1000000,215,1644,139.958,1155,0,0,1644,11,0,0,0,3.89668
Multihop 1 gateways,0.2,2049,38,59,1000000,215,2131,99.2,1155,14,0,2087,10,3,27,0.999872,12.0484
LoraWAN 1 gateways,0.2,1643,6,59,1000000,215,1649,124.297,1155,0,0,1649,10,0,0,0,3.29059
Multihop 1 gateways,0.2,2055,34,59,1000000,215,2136,123.333,1155,13,0,2089,11,1,33,0.998886,3.61979
LoraWAN 1 gateways,0.2,1641,5,59,1000000,215,1646,144.195,1155,0,0,1646,11,0,0,0,3.88855
Multihop 1 gateways,0.2,2060,24,59,1000000,215,2131,99.2,1155,11,0,2085,10,5,31,0.999848,15.2469
LoraWAN 1 gateways,0.2,1668,3,59,1000000,215,1671,102.809,1155,0,0,1671,10,0,0,0,3.04375
Multihop 1 gateways,0.2,2063,30,59,1000000,215,2131,123.333,1155,3,0,2093,11,8,27,0.999882,3.27426
LoraWAN 1 gateways,0.2,1658,2,59,1000000,215,1660,145.192,1155,0,0,1660,11,0,0,0,4.04686
Multihop 1 gateways,0.2,2721,69,79,1000000,215,2874,123.333,1155,28,0,2790,11,12,44,0.997142,3.3956
LoraWAN 1 gateways,0.2,2175,10,79,1000000,215,2185,141.261,1155,0,0,2185,11,0,0,0,4.01297
Multihop 1 gateways,0.2,2737,47,79,1000000,215,2878,123.333,1155,30,0,2784,11,4,60,0.999016,4.04331
LoraWAN 1 gateways,0.2,2111,10,79,1000000,215,2121,134.414,1155,0,0,2121,11,0,0,0,4.14632
Multihop 1 gateways,0.2,2710,98,79,1000000,215,2878,147.286,1155,22,0,2808,11,3,45,0.999594,15.5854
LoraWAN 1 gateways,0.2,2100,4,79,1000000,215,2104,165.652,1155,0,0,2104,11,0,0,0,4.2855
Multihop 1 gateways,0.2,2773,32,79,1000000,215,2875,123.333,1155,19,0,2805,11,6,45,0.999665,3.6661
LoraWAN 1 gateways,0.2,2117,5,79,1000000,215,2123,139.424,1155,0,0,2123,11,1,0,0,4.15406
Multihop 1 gateways,0.2,2695,101,79,1000000,215,2879,123.333,1155,31,0,2796,11,1,51,0.999728,3.68002
LoraWAN 1 gateways,0.2,2116,8,79,1000000,215,2124,149.465,1155,0,0,2124,11,0,0,0,3.9286
Multihop 1 gateways,0.2,3358,72,100,1000000,215,3629,147.286,1155,49,0,3430,11,17,133,0.998313,11.7244
LoraWAN 1 gateways,0.2,2506,8,100,1000000,215,2514,211.58,1155,0,0,2514,11,0,0,0,4.31962
Multihop 1 gateways,0.2,3401,74,100,1000000,215,3632,147.286,1155,61,0,3475,11,2,94,0.999523,15.414
LoraWAN 1 gateways,0.2,2560,5,100,1000000,215,2565,221.385,1155,0,0,2565,11,0,0,0,4.17011
Multihop 1 gateways,0.2,3272,207,100,1000000,215,3632,147.286,1155,48,0,3479,11,3,102,0.999097,12.4051
LoraWAN 1 gateways,0.2,2504,6,100,1000000,215,2511,223.228,1155,0,0,2511,11,1,0,0,4.51289
Multihop 1 gateways,0.2,3280,170,100,1000000,215,3630,147.286,1155,74,0,3450,11,3,103,0.998477,15.3221
LoraWAN 1 gateways,0.2,2537,7,100,1000000,215,2545,219.403,1155,0,0,2545,11,1,0,0,4.16224
Multihop 1 gateways,0.2,3389,42,100,1000000,215,3635,194.889,1155,42,0,3432,12,5,157,0.998685,25.9393
LoraWAN 1 gateways,0.2,2482,9,100,1000000,215,2491,361.647,1155,0,0,2491,12,0,0,0,3.3335
Multihop 1 gateways,0.2,4021,74,118,1000000,215,4315,218.6,1155,56,0,4095,12,6,158,0.998985,26.3278
LoraWAN 1 gateways,0.2,2682,13,118,1000000,215,2696,449.144,1155,0,0,2696,12,1,0,0,3.94256
Multihop 1 gateways,0.2,3973,118,118,1000000,215,4315,171.125,1155,38,0,4091,12,9,177,0.999302,33.9909
LoraWAN 1 gateways,0.2,2727,5,118,1000000,215,2732,342.111,1155,0,0,2732,12,0,0,0,3.96692
Multihop 1 gateways,0.2,3857,213,118,1000000,215,4315,218.6,1155,51,0,4070,12,12,182,0.986059,27.8007
LoraWAN 1 gateways,0.2,2763,5,118,1000000,215,2778,448.039,1155,0,8,2770,12,2,0,0,3.76015
Multihop 1 gateways,0.2,3924,122,118,1000000,215,4308,147.286,1155,88,0,4046,11,1,173,0.998518,10.435
LoraWAN 1 gateways,0.2,2915,13,118,1000000,215,2931,200.571,1155,0,0,2931,11,3,0,0,4.58657
Multihop 1 gateways,0.2,3938,124,118,1000000,215,4311,194.889,1155,70,0,4062,12,7,172,0.995132,27.9646
LoraWAN 1 gateways,0.2,2800,4,118,1000000,215,2804,373.824,1155,0,0,2804,12,0,0,0,3.58402
Multihop 1 gateways,0.2,4471,148,138,1000000,215,5034,171.125,1155,112,0,4619,12,10,293,0.997472,11.175
LoraWAN 1 gateways,0.2,3112,8,138,1000000,215,3122,249.241,1155,0,0,3122,12,2,0,0,3.51294
Multihop 1 gateways,0.2,4466,153,138,1000000,215,5034,171.125,1155,99,0,4619,12,10,306,0.997627,11.7952
LoraWAN 1 gateways,0.2,3066,6,138,1000000,215,3072,247.764,1155,0,0,3072,12,0,0,0,3.86897
Multihop 1 gateways,0.2,4440,192,138,1000000,215,5030,218.6,1155,95,0,4632,12,11,292,0.993759,16.5612
LoraWAN 1 gateways,0.2,3178,6,138,1000000,215,3193,443.751,1155,0,8,3185,12,1,0,0,3.88364
Multihop 1 gateways,0.2,4489,203,138,1000000,215,5037,171.125,1155,92,0,4692,12,11,242,0.99855,34.687
LoraWAN 1 gateways,0.2,3162,9,138,1000000,215,3172,325.874,1155,0,0,3172,12,1,0,0,3.92875
Multihop 1 gateways,0.2,4440,190,138,1000000,215,5034,194.889,1155,119,0,4630,12,6,279,0.994644,31.8285
LoraWAN 1 gateways,0.2,3164,7,138,1000000,215,3173,283.078,1155,0,0,3173,12,2,0,0,4.23372
Multihop 1 gateways,0.2,5051,271,159,1000000,215,5779,147.286,1155,141,0,5323,11,14,302,0.997268,8.44982
LoraWAN 1 gateways,0.2,3638,6,159,1000000,215,3645,185.1,1155,0,0,3645,11,1,0,0,5.47739
Multihop 1 gateways,0.2,4891,426,159,1000000,215,5785,194.889,1155,132,0,5317,12,14,322,0.997853,32.8921
LoraWAN 1 gateways,0.2,3434,8,159,1000000,215,3442,387.516,1155,0,0,3442,12,0,0,0,4.27731
Multihop 1 gateways,0.2,5103,160,159,1000000,215,5781,218.6,1155,119,0,5264,12,20,379,0.987233,14.6509
LoraWAN 1 gateways,0.2,3550,10,159,1000000,215,3562,441.376,1155,0,0,3562,12,2,0,0,3.78098
Multihop 1 gateways,0.2,5100,186,159,1000000,215,5783,194.889,1155,136,0,5286,12,6,355,0.997325,32.8846
LoraWAN 1 gateways,0.2,3611,13,159,1000000,215,3624,309.452,1155,0,0,3624,12,0,0,0,3.74989
Multihop 1 gateways,0.2,4928,294,159,1000000,215,5784,218.6,1155,131,0,5222,12,12,419,0.997156,10.3737
LoraWAN 1 gateways,0.2,3332,10,159,1000000,215,3343,397.04,1155,0,0,3343,12,1,0,0,4.16379
