case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,3536,78,199,1000000,215,3879,218.6,1155,66,0,3614,12,8,191,0.996983,9.61588
LoraWAN 1 gateways,0.1,220,0,199,1000000,215,3884,9.2,1155,0,3664,220,7,0,0,0,30.8894
LoraWAN 2 gateways,0.1,1438,14,199,1000000,215,3884,40.25,1155,0,3884,1452,7,-1452,0,0,37.7408
LoraWAN 3 gateways,0.1,2197,7,199,1000000,215,3884,40.25,1155,0,3884,2204,7,-2204,0,0,37.7408
Multihop 1 gateways,0.2,5836,545,199,1000000,215,7244,218.6,1155,202,0,6381,7,14,647,0.994882,10.5985
LoraWAN 1 gateways,0.2,403,0,199,1000000,215,7158,9.2,1155,0,6755,403,7,0,0,0,32.1494
LoraWAN 2 gateways,0.2,2608,27,199,1000000,215,7158,40.25,1155,0,7158,2635,7,-2635,0,0,39.2805
LoraWAN 3 gateways,0.2,4047,37,199,1000000,215,7158,40.25,1155,0,7158,4084,7,-4084,0,0,39.2805
Multihop 1 gateways,0.3,8096,480,199,1000000,215,10212,218.6,1155,447,0,8576,7,50,1139,0.987687,11.4231
LoraWAN 1 gateways,0.3,545,0,199,1000000,215,9936,9.2,1155,0,9391,545,7,0,0,0,33.274
LoraWAN 2 gateways,0.3,3670,34,199,1000000,215,9936,40.25,1155,0,9936,3705,7,-3704,0,0,40.6546
LoraWAN 3 gateways,0.3,5687,71,199,1000000,215,9936,40.25,1155,0,9936,5759,7,-5758,0,0,40.6546
Multihop 1 gateways,0.4,9254,1103,199,1000000,215,12910,218.6,1155,682,0,10358,7,49,1822,0.981179,12.0904
LoraWAN 1 gateways,0.4,671,4,199,1000000,215,12339,9.2,1155,0,11664,675,7,0,0,0,34.2832
LoraWAN 2 gateways,0.4,4454,50,199,1000000,215,12339,40.25,1155,0,12339,4504,7,-4504,0,0,41.889
LoraWAN 3 gateways,0.4,6940,95,199,1000000,215,12339,40.25,1155,0,12339,7035,7,-7035,0,0,41.889
