case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.8,1923,34,20,1000000,215,1957,93930,1155,0,0,1957,7,0,0,0.999915
LoraWAN 1 gateways,0.8,1879,39,20,1000000,215,1918,89286,1155,0,0,1918,8,0,0,0
Multihop 1 gateways,0.8,1931,35,20,1000000,215,1967,99884,1155,0,0,1966,7,0,1,0.999993
LoraWAN 1 gateways,0.8,1864,24,20,1000000,215,1888,91862,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1926,38,20,1000000,215,1966,99255,1155,0,0,1964,7,0,2,0.999751
LoraWAN 1 gateways,0.8,1848,40,20,1000000,215,1888,91126,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1931,35,20,1000000,215,1967,99884,1155,0,0,1966,7,0,1,0.99994
LoraWAN 1 gateways,0.8,1850,38,20,1000000,215,1888,91218,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1925,32,20,1000000,215,1957,94763,1155,0,0,1957,7,0,0,0.999997
LoraWAN 1 gateways,0.8,1884,34,20,1000000,215,1918,89516,1155,0,0,1918,8,0,0,0
Multihop 1 gateways,0.8,1927,34,20,1000000,215,1963,99643,1155,0,0,1962,7,1,1,0.99994
LoraWAN 1 gateways,0.8,1846,42,20,1000000,215,1888,91034,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1927,36,20,1000000,215,1964,99643,1155,0,0,1963,7,0,1,0.999993
LoraWAN 1 gateways,0.8,1852,36,20,1000000,215,1888,91310,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1947,18,20,1000000,215,1966,100392,1155,0,0,1965,7,0,1,1
LoraWAN 1 gateways,0.8,1848,40,20,1000000,215,1888,91126,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1944,22,20,1000000,215,1967,100653,1155,0,0,1966,7,0,1,0.999999
LoraWAN 1 gateways,0.8,1856,32,20,1000000,215,1888,91494,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,1902,61,20,1000000,215,1964,97809,1155,0,0,1963,7,0,1,0.999996
LoraWAN 1 gateways,0.8,1872,16,20,1000000,215,1888,92138,1155,0,0,1888,8,0,0,0
Multihop 1 gateways,0.8,3881,227,40,1000000,215,4148,352445,1155,0,0,4108,7,0,40,0.998693
LoraWAN 1 gateways,0.8,3153,35,40,1000000,215,3188,217152,1155,0,0,3188,9,0,0,0
Multihop 1 gateways,0.8,3971,118,40,1000000,215,4133,354149,1155,0,0,4089,7,1,43,0.998323
LoraWAN 1 gateways,0.8,3151,32,40,1000000,215,3185,217364,1155,0,0,3185,9,2,0,0
Multihop 1 gateways,0.8,3955,140,40,1000000,215,4129,344425,1155,0,0,4095,7,0,34,0.999682
LoraWAN 1 gateways,0.8,3171,37,40,1000000,215,3209,215400,1155,0,0,3209,9,1,0,0
Multihop 1 gateways,0.8,3944,181,40,1000000,215,4157,354238,1155,0,0,4125,7,0,32,0.999935
LoraWAN 1 gateways,0.8,3159,32,40,1000000,215,3191,216346,1155,0,0,3191,9,0,0,0
Multihop 1 gateways,0.8,3981,154,40,1000000,215,4175,367793,1155,0,0,4135,7,0,40,0.998898
LoraWAN 1 gateways,0.8,3089,41,40,1000000,215,3130,219866,1155,0,0,3130,9,0,0,0
Multihop 1 gateways,0.8,3904,207,40,1000000,215,4151,345101,1155,0,0,4112,7,1,39,0.999883
LoraWAN 1 gateways,0.8,3173,25,40,1000000,215,3198,216536,1155,0,0,3198,9,0,0,0
Multihop 1 gateways,0.8,3948,157,40,1000000,215,4154,357564,1155,0,0,4105,7,0,49,0.999562
LoraWAN 1 gateways,0.8,3137,34,40,1000000,215,3172,218126,1155,0,0,3172,9,1,0,0
Multihop 1 gateways,0.8,4005,108,40,1000000,215,4148,365875,1155,0,0,4113,7,0,35,0.999857
LoraWAN 1 gateways,0.8,3126,44,40,1000000,215,3170,217680,1155,0,0,3170,9,0,0,0
Multihop 1 gateways,0.8,3954,148,40,1000000,215,4170,388264,1155,0,0,4102,7,0,68,0.998555
LoraWAN 1 gateways,0.8,3083,33,40,1000000,215,3116,221598,1155,0,0,3116,10,0,0,0
Multihop 1 gateways,0.8,3999,123,40,1000000,215,4157,367416,1155,0,0,4122,7,1,34,0.999867
LoraWAN 1 gateways,0.8,3124,23,40,1000000,215,3147,219736,1155,0,0,3147,9,0,0,0
Multihop 1 gateways,0.8,5867,420,60,1000000,215,6446,717588,1155,0,0,6287,7,0,159,0.999158
LoraWAN 1 gateways,0.8,4172,51,60,1000000,215,4223,356767,1155,0,0,4223,10,0,0,0
Multihop 1 gateways,0.8,5964,325,60,1000000,215,6454,742963,1155,0,0,6289,7,0,165,0.999747
LoraWAN 1 gateways,0.8,4086,75,60,1000000,215,4162,359613,1155,0,0,4162,10,1,0,0
Multihop 1 gateways,0.8,5961,339,60,1000000,215,6415,690980,1155,0,0,6301,7,1,114,0.999604
LoraWAN 1 gateways,0.8,4221,47,60,1000000,215,4269,354030,1155,0,0,4269,9,1,0,0
Multihop 1 gateways,0.8,5998,318,60,1000000,215,6460,738295,1155,0,0,6316,7,1,143,0.999249
LoraWAN 1 gateways,0.8,4127,47,60,1000000,215,4175,360003,1155,0,0,4175,10,1,0,0
Multihop 1 gateways,0.8,5999,303,60,1000000,215,6442,736417,1155,0,0,6303,7,1,139,0.999446
LoraWAN 1 gateways,0.8,4140,69,60,1000000,215,4209,356479,1155,0,0,4209,10,0,0,0
Multihop 1 gateways,0.8,5850,469,60,1000000,215,6419,668645,1155,0,0,6319,7,0,100,0.999537
LoraWAN 1 gateways,0.8,4242,70,60,1000000,215,4312,350838,1155,0,0,4312,9,0,0,0
Multihop 1 gateways,0.8,6067,241,60,1000000,215,6437,734943,1155,0,0,6308,7,0,129,0.999088
LoraWAN 1 gateways,0.8,4152,63,60,1000000,215,4215,356768,1155,0,0,4215,10,0,0,0
Multihop 1 gateways,0.8,6025,258,60,1000000,215,6417,705844,1155,0,0,6283,7,0,134,0.997471
LoraWAN 1 gateways,0.8,4201,70,60,1000000,215,4271,352336,1155,0,0,4271,10,0,0,0
Multihop 1 gateways,0.8,5735,565,60,1000000,215,6437,683611,1155,0,0,6300,7,0,137,0.997855
