case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.1,279,8,159,100000,21,299,171.125,1155,2,0,287,12,0,10,0.997388,0.372328
LoraWAN 1 gateways,0.1,233,0,159,100000,21,233,294.353,1155,0,0,233,12,0,0,0,0.370911
Multihop 1 gateways,0.2,485,40,159,100000,21,572,171.125,1155,13,0,525,12,5,29,0.991154,0.442225
LoraWAN 1 gateways,0.2,379,2,159,100000,21,383,290.692,1155,0,0,383,12,2,0,0,0.370198
Multihop 1 gateways,0.3,673,59,159,100000,21,825,171.125,1155,32,0,732,12,4,57,0.986423,0.273796
LoraWAN 1 gateways,0.3,504,1,159,100000,21,506,286.104,1155,0,0,506,12,1,0,0,0.399868
Multihop 1 gateways,0.4,856,62,159,100000,21,1059,171.125,1155,42,0,919,12,5,94,0.98413,0.556255
LoraWAN 1 gateways,0.4,585,1,159,100000,21,586,287.231,1155,0,0,586,12,0,0,0,0.408722
Multihop 1 gateways,0.5,975,68,159,100000,21,1238,171.125,1155,56,0,1043,12,8,131,0.990287,0.593267
LoraWAN 1 gateways,0.5,647,3,159,100000,21,650,288.514,1155,0,0,650,12,0,0,0,0.4168
Multihop 1 gateways,0.6,1087,90,159,100000,21,1429,171.125,1155,61,0,1178,12,10,181,0.987469,0.633787
LoraWAN 1 gateways,0.6,690,2,159,100000,21,695,285.593,1155,0,0,695,12,3,0,0,0.420566
Multihop 1 gateways,0.7,1152,132,159,100000,21,1589,171.125,1155,81,0,1285,12,10,214,0.963428,0.379959
LoraWAN 1 gateways,0.7,729,11,159,100000,21,740,285.688,1155,0,0,740,12,0,0,0,0.426662
Multihop 1 gateways,0.8,1292,102,159,100000,21,1758,171.125,1155,103,0,1394,12,9,252,0.972412,0.396045
LoraWAN 1 gateways,0.8,760,4,159,100000,21,764,285.093,1155,0,0,764,12,0,0,0,0.428742
Multihop 1 gateways,0.9,1290,237,159,100000,21,1912,171.125,1155,107,0,1527,12,12,266,0.960545,0.416875
LoraWAN 1 gateways,0.9,787,7,159,100000,21,795,284.661,1155,0,0,795,12,1,0,0,0.431809
Multihop 1 gateways,1,1255,330,159,100000,21,2044,171.125,1155,120,0,1585,12,11,328,0.975416,0.438006
LoraWAN 1 gateways,1,803,13,159,100000,21,818,284.89,1155,0,0,818,12,2,0,0,0.434003
Multihop 1 gateways,0.1,260,14,159,100000,21,299,194.889,1155,12,0,274,12,0,13,0.987758,0.204529
LoraWAN 1 gateways,0.1,221,0,159,100000,21,224,275.509,1155,0,0,224,12,3,0,0,0.383808
Multihop 1 gateways,0.2,492,20,159,100000,21,572,194.889,1155,26,0,512,12,0,34,0.992368,0.518575
LoraWAN 1 gateways,0.2,360,0,159,100000,21,361,371.86,1155,0,0,361,12,1,0,0,0.43688
Multihop 1 gateways,0.3,677,28,159,100000,21,826,194.889,1155,38,0,705,12,0,83,0.989144,0.590596
LoraWAN 1 gateways,0.3,465,1,159,100000,21,466,372.516,1155,0,0,466,12,0,0,0,0.452757
Multihop 1 gateways,0.4,824,34,159,100000,21,1056,194.889,1155,64,0,858,12,6,128,0.977264,0.657154
LoraWAN 1 gateways,0.4,533,3,159,100000,21,538,371.535,1155,0,0,538,12,2,0,0,0.466014
Multihop 1 gateways,0.5,931,80,159,100000,21,1237,194.889,1155,56,0,1013,12,7,163,0.993544,0.436587
LoraWAN 1 gateways,0.5,591,3,159,100000,21,594,371.821,1155,0,0,594,12,0,0,0,0.473453
Multihop 1 gateways,0.6,1031,105,159,100000,21,1430,194.889,1155,81,0,1136,12,11,202,0.946668,0.619483
LoraWAN 1 gateways,0.6,619,16,159,100000,21,637,371.505,1155,0,0,637,12,2,0,0,0.480576
Multihop 1 gateways,0.7,1010,191,159,100000,21,1585,194.889,1155,118,0,1201,12,8,258,0.950907,0.792754
LoraWAN 1 gateways,0.7,657,4,159,100000,21,661,370.568,1155,0,0,661,12,0,0,0,0.482943
Multihop 1 gateways,0.8,1211,130,159,100000,21,1755,194.889,1155,113,0,1342,12,1,300,0.963981,0.434384
LoraWAN 1 gateways,0.8,682,2,159,100000,21,684,370.097,1155,0,0,684,12,0,0,0,0.485111
Multihop 1 gateways,0.9,1209,217,159,100000,21,1911,194.889,1155,131,0,1427,12,-1,355,0.949968,0.874415
LoraWAN 1 gateways,0.9,702,8,159,100000,21,710,370.81,1155,0,0,710,12,0,0,0,0.489956
Multihop 1 gateways,1,1271,217,159,100000,21,2034,194.889,1155,143,0,1489,12,11,392,0.967269,0.752855
LoraWAN 1 gateways,1,723,5,159,100000,21,729,370.29,1155,0,0,729,12,1,0,0,0.492653
Multihop 1 gateways,0.1,268,8,159,100000,21,299,171.125,1155,5,0,276,12,0,18,0.996686,0.220422
LoraWAN 1 gateways,0.1,221,1,159,100000,21,224,251.853,1155,0,0,224,12,2,0,0,0.40637
Multihop 1 gateways,0.2,509,20,159,100000,21,572,171.125,1155,8,0,529,12,6,29,0.973518,0.426998
LoraWAN 1 gateways,0.2,368,0,159,100000,21,369,249.306,1155,0,0,369,12,1,0,0,0.430514
Multihop 1 gateways,0.3,695,26,159,100000,21,825,171.125,1155,17,0,722,12,6,81,0.993107,0.321704
LoraWAN 1 gateways,0.3,469,1,159,100000,21,472,245.798,1155,0,0,472,12,2,0,0,0.448532
Multihop 1 gateways,0.4,805,92,159,100000,21,1059,171.125,1155,44,0,899,12,11,107,0.974714,0.368886
LoraWAN 1 gateways,0.4,538,3,159,100000,21,542,248.865,1155,0,0,542,12,1,0,0,0.453896
Multihop 1 gateways,0.5,907,82,159,100000,21,1243,171.125,1155,51,0,989,12,8,195,0.982686,0.620705
LoraWAN 1 gateways,0.5,591,3,159,100000,21,594,250.423,1155,0,0,594,12,0,0,0,0.462582
Multihop 1 gateways,0.6,954,157,159,100000,21,1430,171.125,1155,71,0,1113,12,16,232,0.979975,0.481483
LoraWAN 1 gateways,0.6,636,2,159,100000,21,640,248.726,1155,0,0,640,12,2,0,0,0.468705
Multihop 1 gateways,0.7,1166,88,159,100000,21,1589,171.125,1155,89,0,1255,12,9,237,0.963981,0.850971
LoraWAN 1 gateways,0.7,654,6,159,100000,21,661,248.883,1155,0,0,661,12,1,0,0,0.471791
Multihop 1 gateways,0.8,1161,175,159,100000,21,1758,171.125,1155,96,0,1337,12,16,310,0.963267,0.766613
LoraWAN 1 gateways,0.8,675,5,159,100000,21,680,248.837,1155,0,0,680,12,0,0,0,0.474996
Multihop 1 gateways,0.9,1181,235,159,100000,21,1917,171.125,1155,118,0,1416,12,18,365,0.965441,0.570168
LoraWAN 1 gateways,0.9,710,5,159,100000,21,716,248.365,1155,0,0,716,12,1,0,0,0.479659
Multihop 1 gateways,1,1227,247,159,100000,21,2045,171.125,1155,154,0,1475,12,28,389,0.955392,0.518721
LoraWAN 1 gateways,1,722,5,159,100000,21,728,247.458,1155,0,0,728,12,1,0,0,0.481842
Multihop 1 gateways,0.1,272,12,159,100000,21,299,194.889,1155,2,0,284,12,1,12,0.993745,0.204336
LoraWAN 1 gateways,0.1,222,0,159,100000,21,224,380.997,1155,0,0,224,12,2,0,0,0.408866
Multihop 1 gateways,0.2,486,34,159,100000,21,572,194.889,1155,9,0,520,12,4,39,0.92938,0.505401
LoraWAN 1 gateways,0.2,363,1,159,100000,21,366,380.477,1155,0,0,366,12,2,0,0,0.433696
Multihop 1 gateways,0.3,662,57,159,100000,21,825,194.889,1155,25,0,720,12,2,79,0.98959,0.334864
LoraWAN 1 gateways,0.3,469,3,159,100000,21,473,380.364,1155,0,0,473,12,1,0,0,0.446825
Multihop 1 gateways,0.4,755,126,159,100000,21,1056,194.889,1155,47,0,881,12,1,127,0.940697,0.641614
LoraWAN 1 gateways,0.4,535,4,159,100000,21,539,379.919,1155,0,0,539,12,0,0,0,0.453999
Multihop 1 gateways,0.5,990,56,159,100000,21,1244,194.889,1155,49,0,1046,12,3,146,0.945175,0.410489
LoraWAN 1 gateways,0.5,592,3,159,100000,21,595,378.48,1155,0,0,595,12,0,0,0,0.466685
Multihop 1 gateways,0.6,995,146,159,100000,21,1433,194.889,1155,92,0,1144,12,14,186,0.950134,0.436726
LoraWAN 1 gateways,0.6,625,3,159,100000,21,629,378.354,1155,0,0,629,12,1,0,0,0.46899
Multihop 1 gateways,0.7,1094,172,159,100000,21,1575,194.889,1155,70,0,1267,12,1,238,0.971989,0.399114
LoraWAN 1 gateways,0.7,659,4,159,100000,21,663,378.515,1155,0,0,663,12,0,0,0,0.473906
Multihop 1 gateways,0.8,1207,136,159,100000,21,1752,194.889,1155,115,0,1343,12,3,291,0.941386,0.811456
LoraWAN 1 gateways,0.8,686,3,159,100000,21,691,378.214,1155,0,0,691,12,2,0,0,0.477427
Multihop 1 gateways,0.9,1317,161,159,100000,21,1917,194.889,1155,117,0,1478,12,8,314,0.965947,0.711476
LoraWAN 1 gateways,0.9,715,6,159,100000,21,721,378.57,1155,0,0,721,12,0,0,0,0.481505
Multihop 1 gateways,1,1247,259,159,100000,21,2034,194.889,1155,151,0,1507,12,14,363,0.915753,0.727706
LoraWAN 1 gateways,1,725,7,159,100000,21,733,378.602,1155,0,0,733,12,1,0,0,0.484136
Multihop 1 gateways,0.1,277,12,159,100000,21,299,171.125,1155,5,0,289,12,0,5,0.998317,0.215365
LoraWAN 1 gateways,0.1,223,0,159,100000,21,225,262.26,1155,0,0,225,12,2,0,0,0.404314
Multihop 1 gateways,0.2,522,8,159,100000,21,573,171.125,1155,8,0,530,12,2,33,0.97287,0.419
LoraWAN 1 gateways,0.2,363,1,159,100000,21,366,256.102,1155,0,0,366,12,2,0,0,0.423565
Multihop 1 gateways,0.3,667,57,159,100000,21,829,171.125,1155,19,0,725,12,9,77,0.982713,0.613829
LoraWAN 1 gateways,0.3,467,1,159,100000,21,469,248.498,1155,0,0,469,12,1,0,0,0.440809
Multihop 1 gateways,0.4,839,46,159,100000,21,1062,171.125,1155,52,0,885,12,12,113,0.990723,0.55924
LoraWAN 1 gateways,0.4,541,1,159,100000,21,542,252.815,1155,0,0,542,12,0,0,0,0.450217
Multihop 1 gateways,0.5,837,190,159,100000,21,1243,171.125,1155,49,0,1029,12,10,157,0.986293,0.434191
LoraWAN 1 gateways,0.5,592,0,159,100000,21,592,252.039,1155,0,0,592,12,0,0,0,0.456981
Multihop 1 gateways,0.6,1074,74,159,100000,21,1444,171.125,1155,80,0,1149,12,14,202,0.982356,0.660712
LoraWAN 1 gateways,0.6,642,1,159,100000,21,645,250.537,1155,0,0,645,12,2,0,0,0.462792
Multihop 1 gateways,0.7,1089,165,159,100000,21,1594,171.125,1155,76,0,1256,12,21,243,0.951131,0.492453
LoraWAN 1 gateways,0.7,665,3,159,100000,21,669,251.871,1155,0,0,669,12,1,0,0,0.468278
Multihop 1 gateways,0.8,1169,199,159,100000,21,1775,171.125,1155,95,0,1368,12,16,296,0.98305,0.455915
LoraWAN 1 gateways,0.8,690,3,159,100000,21,694,251.448,1155,0,0,694,12,1,0,0,0.471231
Multihop 1 gateways,0.9,1283,207,159,100000,21,1942,171.125,1155,92,0,1490,12,15,345,0.968392,0.48537
LoraWAN 1 gateways,0.9,707,3,159,100000,21,710,251.305,1155,0,0,710,12,0,0,0,0.472948
Multihop 1 gateways,1,1238,301,159,100000,21,2061,171.125,1155,142,0,1539,12,22,358,0.968527,0.568978
LoraWAN 1 gateways,1,729,3,159,100000,21,733,251.74,1155,0,0,733,12,1,0,0,0.477317
