case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.2,1070,14,30,1000000,215,1084,71040,1155,0,0,1084,7,0,0,0.99996
LoraWAN 1 gateways,0.2,1018,11,30,1000000,215,1029,61088,1155,0,0,1029,8,0,0,0
Multihop 1 gateways,0.2,1071,12,30,1000000,215,1084,78369,1155,0,0,1083,7,0,1,0.999933
LoraWAN 1 gateways,0.2,1011,9,30,1000000,215,1020,62698,1155,0,0,1020,8,0,0,0
Multihop 1 gateways,0.2,1076,6,30,1000000,215,1084,75100,1155,0,0,1082,7,1,1,0.999987
LoraWAN 1 gateways,0.2,1007,15,30,1000000,215,1022,62100,1155,0,0,1022,8,0,0,0
Multihop 1 gateways,0.2,1074,10,30,1000000,215,1086,80926,1155,0,0,1084,7,0,2,0.999878
LoraWAN 1 gateways,0.2,1019,2,30,1000000,215,1021,63046,1155,0,0,1021,9,0,0,0
Multihop 1 gateways,0.2,1072,12,30,1000000,215,1084,78780,1155,0,0,1084,7,0,0,0.999908
LoraWAN 1 gateways,0.2,1004,7,30,1000000,215,1012,64072,1155,0,0,1012,9,1,0,0
Multihop 1 gateways,0.2,1078,4,30,1000000,215,1084,78340,1155,0,0,1082,7,0,2,0.99999
LoraWAN 1 gateways,0.2,1016,6,30,1000000,215,1022,62788,1155,0,0,1022,9,0,0,0
Multihop 1 gateways,0.2,1076,8,30,1000000,215,1084,80364,1155,0,0,1084,7,0,0,0.999986
LoraWAN 1 gateways,0.2,1012,4,30,1000000,215,1016,63598,1155,0,0,1016,9,0,0,0
Multihop 1 gateways,0.2,1077,6,30,1000000,215,1084,77183,1155,0,0,1083,7,0,1,0.999977
LoraWAN 1 gateways,0.2,1020,6,30,1000000,215,1026,62238,1155,0,0,1026,8,0,0,0
Multihop 1 gateways,0.2,1054,26,30,1000000,215,1084,80659,1155,0,0,1080,7,0,4,0.99979
LoraWAN 1 gateways,0.2,1011,2,30,1000000,215,1013,64208,1155,0,0,1013,9,0,0,0
Multihop 1 gateways,0.2,1069,8,30,1000000,215,1084,84940,1155,0,0,1077,7,0,7,0.999609
LoraWAN 1 gateways,0.2,1002,1,30,1000000,215,1003,66718,1155,0,0,1003,9,0,0,0
Multihop 1 gateways,0.2,2118,40,60,1000000,215,2171,252803,1155,0,0,2158,7,0,13,0.999942
LoraWAN 1 gateways,0.2,1868,14,60,1000000,215,1882,166372,1155,0,0,1882,9,0,0,0
Multihop 1 gateways,0.2,2129,24,60,1000000,215,2169,258382,1155,0,0,2153,7,0,16,0.999724
LoraWAN 1 gateways,0.2,1854,6,60,1000000,215,1861,171766,1155,0,0,1861,10,1,0,0
Multihop 1 gateways,0.2,2113,42,60,1000000,215,2169,248098,1155,0,0,2155,7,0,14,0.999859
LoraWAN 1 gateways,0.2,1885,10,60,1000000,215,1895,164078,1155,0,0,1895,9,0,0,0
Multihop 1 gateways,0.2,2118,32,60,1000000,215,2168,254894,1155,0,0,2150,7,0,18,0.999897
LoraWAN 1 gateways,0.2,1867,10,60,1000000,215,1877,168225,1155,0,0,1877,10,0,0,0
Multihop 1 gateways,0.2,2124,32,60,1000000,215,2170,266122,1155,0,0,2156,7,1,13,0.999871
LoraWAN 1 gateways,0.2,1843,15,60,1000000,215,1858,171286,1155,0,0,1858,10,0,0,0
Multihop 1 gateways,0.2,2194,40,60,1000000,215,2168,239156,1155,0,0,2162,7,-71,5,0.997789
LoraWAN 1 gateways,0.2,1884,8,60,1000000,215,1892,164583,1155,0,0,1892,10,0,0,0
Multihop 1 gateways,0.2,2116,37,60,1000000,215,2168,250086,1155,0,0,2153,7,0,15,0.99995
LoraWAN 1 gateways,0.2,1891,8,60,1000000,215,1899,162254,1155,0,0,1899,9,0,0,0
Multihop 1 gateways,0.2,2139,16,60,1000000,215,2171,260053,1155,0,0,2156,7,1,15,0.999957
LoraWAN 1 gateways,0.2,1857,13,60,1000000,215,1870,168660,1155,0,0,1870,10,0,0,0
Multihop 1 gateways,0.2,2114,38,60,1000000,215,2168,256653,1155,0,0,2153,7,1,15,0.999979
LoraWAN 1 gateways,0.2,1853,10,60,1000000,215,1864,170745,1155,0,0,1864,10,1,0,0
