case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.5,2153,91,30,1000000,215,2249,161784,1155,0,0,2244,7,0,5,0.998393
LoraWAN 1 gateways,0.5,1945,23,30,1000000,215,1968,121416,1155,0,0,1968,9,0,0,0
Multihop 1 gateways,0.5,2187,49,30,1000000,215,2241,152185,1155,0,0,2236,7,0,5,0.999973
LoraWAN 1 gateways,0.5,1958,38,30,1000000,215,1996,117576,1155,0,0,1996,8,0,0,0
Multihop 1 gateways,0.5,2212,30,30,1000000,215,2250,159022,1155,0,0,2242,7,0,8,0.999821
LoraWAN 1 gateways,0.5,1953,25,30,1000000,215,1978,120198,1155,0,0,1978,8,0,0,0
Multihop 1 gateways,0.5,2183,61,30,1000000,215,2251,159664,1155,0,0,2244,7,0,7,0.999629
LoraWAN 1 gateways,0.5,1939,27,30,1000000,215,1966,121290,1155,0,0,1966,9,0,0,0
Multihop 1 gateways,0.5,2128,111,30,1000000,215,2248,148532,1155,0,0,2239,7,0,9,0.999965
LoraWAN 1 gateways,0.5,1967,11,30,1000000,215,1978,121026,1155,0,0,1978,8,0,0,0
Multihop 1 gateways,0.5,2193,52,30,1000000,215,2254,164903,1155,0,0,2245,7,1,8,0.999884
LoraWAN 1 gateways,0.5,1955,23,30,1000000,215,1978,120566,1155,0,0,1978,8,0,0,0
Multihop 1 gateways,0.5,2173,60,30,1000000,215,2241,150350,1155,0,0,2233,7,0,8,0.999993
LoraWAN 1 gateways,0.5,1965,31,30,1000000,215,1996,117852,1155,0,0,1996,8,0,0,0
Multihop 1 gateways,0.5,2198,56,30,1000000,215,2264,163197,1155,0,0,2254,7,0,10,0.999965
LoraWAN 1 gateways,0.5,1947,31,30,1000000,215,1978,120290,1155,0,0,1978,8,0,0,0
Multihop 1 gateways,0.5,2181,53,30,1000000,215,2241,147965,1155,0,0,2234,7,0,7,0.999814
LoraWAN 1 gateways,0.5,1984,18,30,1000000,215,2002,118496,1155,0,0,2002,8,0,0,0
Multihop 1 gateways,0.5,2225,30,30,1000000,215,2261,165472,1155,0,0,2255,7,0,6,0.999923
LoraWAN 1 gateways,0.5,1947,31,30,1000000,215,1978,119922,1155,0,0,1978,8,0,0,0
Multihop 1 gateways,0.5,4325,225,60,1000000,215,4612,513528,1155,0,0,4550,7,0,62,0.998695
LoraWAN 1 gateways,0.5,3331,66,60,1000000,215,3399,289010,1155,0,0,3399,10,2,0,0
