case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,1871,34,100,1000000,215,1919,236672,1155,2,0,1905,7,1,11,0.999953
LoraWAN 1 gateways,0.1,422,0,100,1000000,215,1917,19412,1155,0,1495,422,7,0,0,0
LoraWAN 2 gateways,0.1,1520,13,100,1000000,215,1917,69920,1155,0,1917,1533,7,-1533,0,0
LoraWAN 3 gateways,0.1,1854,9,100,1000000,215,1917,85284,1155,0,1917,1861,7,-1863,0,0
Multihop 1 gateways,0.2,3463,87,100,1000000,215,3629,429109,1155,22,0,3550,7,2,55,0.999842
LoraWAN 1 gateways,0.2,765,6,100,1000000,215,3595,35190,1155,0,2824,771,7,0,0,0
LoraWAN 2 gateways,0.2,2853,23,100,1000000,215,3595,131238,1155,0,3595,2876,7,-2876,0,0
LoraWAN 3 gateways,0.2,3456,39,100,1000000,215,3595,158976,1155,0,3595,3487,7,-3495,0,0
Multihop 1 gateways,0.3,4683,263,100,1000000,215,5097,578773,1155,45,0,4946,7,2,104,0.999583
LoraWAN 1 gateways,0.3,1113,8,100,1000000,215,5002,51198,1155,0,3881,1121,7,0,0,0
LoraWAN 2 gateways,0.3,3973,53,100,1000000,215,5002,182758,1155,0,5002,4026,7,-4026,0,0
LoraWAN 3 gateways,0.3,4812,52,100,1000000,215,5002,221352,1155,0,5002,4849,7,-4864,0,0
Multihop 1 gateways,0.4,5867,311,100,1000000,215,6433,723295,1155,74,0,6178,7,14,167,0.998272
LoraWAN 1 gateways,0.4,1333,20,100,1000000,215,6204,61318,1155,0,4851,1353,7,0,0,0
LoraWAN 2 gateways,0.4,4861,85,100,1000000,215,6204,223606,1155,0,6204,4946,7,-4946,0,0
LoraWAN 3 gateways,0.4,5900,119,100,1000000,215,6204,271400,1155,0,6204,6004,7,-6019,0,0
Multihop 1 gateways,0.5,6663,599,100,1000000,215,7598,814586,1155,114,0,7262,7,3,219,0.99943
LoraWAN 1 gateways,0.5,1576,24,100,1000000,215,7238,72496,1155,0,5638,1600,7,0,0,0
LoraWAN 2 gateways,0.5,5656,98,100,1000000,215,7238,260176,1155,0,7238,5754,7,-5754,0,0
LoraWAN 3 gateways,0.5,6898,130,100,1000000,215,7238,317308,1155,0,7238,7006,7,-7028,0,0
Multihop 1 gateways,0.6,7625,646,100,1000000,215,8694,927446,1155,125,0,8271,7,17,281,0.99777
LoraWAN 1 gateways,0.6,1757,28,100,1000000,215,8155,80822,1155,0,6370,1785,7,0,0,0
LoraWAN 2 gateways,0.6,6390,139,100,1000000,215,8155,293940,1155,0,8155,6529,7,-6529,0,0
LoraWAN 3 gateways,0.6,7790,160,100,1000000,215,8155,358340,1155,0,8155,7912,7,-7950,0,0
Multihop 1 gateways,0.7,8422,693,100,1000000,215,9640,1025207,1155,158,0,9115,7,26,341,0.999162
LoraWAN 1 gateways,0.7,1921,28,100,1000000,215,8948,88366,1155,0,6999,1949,7,0,0,0
LoraWAN 2 gateways,0.7,6996,146,100,1000000,215,8948,321816,1155,0,8948,7143,7,-7142,0,0
LoraWAN 3 gateways,0.7,8479,230,100,1000000,215,8948,390034,1155,0,8948,8669,7,-8709,0,0
Multihop 1 gateways,0.8,9164,726,100,1000000,215,10548,1111620,1155,188,0,9890,7,9,461,0.99839
LoraWAN 1 gateways,0.8,2061,56,100,1000000,215,9681,94806,1155,0,7564,2117,7,0,0,0
LoraWAN 2 gateways,0.8,7578,173,100,1000000,215,9681,348588,1155,0,9681,7752,7,-7751,0,0
LoraWAN 3 gateways,0.8,9222,221,100,1000000,215,9681,424212,1155,0,9681,9403,7,-9443,0,0
Multihop 1 gateways,0.9,9683,1053,100,1000000,215,11419,1163946,1155,148,0,10739,7,25,510,0.995896
LoraWAN 1 gateways,0.9,2185,42,100,1000000,215,10285,100510,1155,0,8058,2227,7,0,0,0
LoraWAN 2 gateways,0.9,8072,204,100,1000000,215,10285,371312,1155,0,10285,8276,7,-8276,0,0
LoraWAN 3 gateways,0.9,9809,220,100,1000000,215,10285,451214,1155,0,10285,9989,7,-10029,0,0
Multihop 1 gateways,1,10353,1073,100,1000000,215,12226,1228470,1155,230,0,11426,7,17,553,0.996501
LoraWAN 1 gateways,1,2307,65,100,1000000,215,10852,106122,1155,0,8480,2372,7,0,0,0
LoraWAN 2 gateways,1,8381,272,100,1000000,215,10852,385526,1155,0,10852,8653,7,-8653,0,0
LoraWAN 3 gateways,1,10265,316,100,1000000,215,10852,472190,1155,0,10852,10521,7,-10581,0,0
Multihop 1 gateways,0.1,1830,53,100,1000000,215,1919,224263,1155,14,0,1883,7,1,21,0.999727
LoraWAN 1 gateways,0.1,479,0,100,1000000,215,1917,22034,1155,0,1438,479,7,0,0,0
