case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,1137,12,60,1000000,215,1158,127293,1155,2,0,1149,7,0,7,0.999905
LoraWAN 1 gateways,0.1,327,4,60,1000000,215,1154,15042,1155,0,823,331,7,0,0,0
LoraWAN 2 gateways,0.1,917,3,60,1000000,215,1154,42182,1155,0,1154,920,7,-920,0,0
LoraWAN 3 gateways,0.1,1090,4,60,1000000,215,1154,50140,1155,0,1154,1092,7,-1094,0,0
Multihop 1 gateways,0.2,2113,28,60,1000000,215,2164,240363,1155,6,0,2141,7,4,13,0.999826
LoraWAN 1 gateways,0.2,566,6,60,1000000,215,2145,26036,1155,0,1573,572,7,0,0,0
LoraWAN 2 gateways,0.2,1700,7,60,1000000,215,2145,78200,1155,0,2145,1708,7,-1707,0,0
LoraWAN 3 gateways,0.2,2035,3,60,1000000,215,2145,93610,1155,0,2145,2039,7,-2038,0,0
Multihop 1 gateways,0.3,2913,70,60,1000000,215,3062,326375,1155,29,0,2983,7,4,46,0.998973
LoraWAN 1 gateways,0.3,792,6,60,1000000,215,2997,36432,1155,0,2199,798,7,0,0,0
LoraWAN 2 gateways,0.3,2391,17,60,1000000,215,2997,109986,1155,0,2997,2408,7,-2408,0,0
LoraWAN 3 gateways,0.3,2835,17,60,1000000,215,2997,130410,1155,0,2997,2849,7,-2852,0,0
Multihop 1 gateways,0.4,3733,30,60,1000000,215,3866,419000,1155,24,0,3764,7,7,72,0.999017
LoraWAN 1 gateways,0.4,983,8,60,1000000,215,3743,45218,1155,0,2752,991,7,0,0,0
LoraWAN 2 gateways,0.4,2965,34,60,1000000,215,3743,136390,1155,0,3743,2999,7,-2999,0,0
LoraWAN 3 gateways,0.4,3533,27,60,1000000,215,3743,162518,1155,0,3743,3558,7,-3560,0,0
Multihop 1 gateways,0.5,4250,161,60,1000000,215,4555,470137,1155,31,0,4411,7,4,109,0.997567
LoraWAN 1 gateways,0.5,1181,8,60,1000000,215,4360,54326,1155,0,3171,1189,7,0,0,0
LoraWAN 2 gateways,0.5,3466,37,60,1000000,215,4360,159436,1155,0,4360,3503,7,-3503,0,0
LoraWAN 3 gateways,0.5,4118,25,60,1000000,215,4360,189428,1155,0,4360,4138,7,-4143,0,0
Multihop 1 gateways,0.6,4804,173,60,1000000,215,5187,529687,1155,52,0,4977,7,12,146,0.99802
LoraWAN 1 gateways,0.6,1305,14,60,1000000,215,4902,60030,1155,0,3583,1319,7,0,0,0
LoraWAN 2 gateways,0.6,3898,48,60,1000000,215,4902,179308,1155,0,4902,3946,7,-3946,0,0
LoraWAN 3 gateways,0.6,4641,51,60,1000000,215,4902,213486,1155,0,4902,4681,7,-4692,0,0
Multihop 1 gateways,0.7,5322,179,60,1000000,215,5737,589753,1155,66,0,5501,7,6,164,0.999571
LoraWAN 1 gateways,0.7,1391,36,60,1000000,215,5371,63986,1155,0,3944,1427,7,0,0,0
LoraWAN 2 gateways,0.7,4216,60,60,1000000,215,5371,193936,1155,0,5371,4277,7,-4276,0,0
LoraWAN 3 gateways,0.7,5053,53,60,1000000,215,5371,232438,1155,0,5371,5096,7,-5106,0,0
Multihop 1 gateways,0.8,5832,180,60,1000000,215,6286,639808,1155,60,0,6012,7,25,189,0.994753
LoraWAN 1 gateways,0.8,1554,10,60,1000000,215,5807,71484,1155,0,4243,1564,7,0,0,0
LoraWAN 2 gateways,0.8,4583,71,60,1000000,215,5807,210818,1155,0,5807,4654,7,-4654,0,0
LoraWAN 3 gateways,0.8,5469,58,60,1000000,215,5807,251574,1155,0,5807,5509,7,-5527,0,0
Multihop 1 gateways,0.9,6057,360,60,1000000,215,6767,660197,1155,93,0,6417,7,14,243,0.998338
LoraWAN 1 gateways,0.9,1640,10,60,1000000,215,6197,75440,1155,0,4547,1650,7,0,0,0
LoraWAN 2 gateways,0.9,4906,64,60,1000000,215,6197,225676,1155,0,6197,4971,7,-4970,0,0
LoraWAN 3 gateways,0.9,5834,56,60,1000000,215,6197,268364,1155,0,6197,5879,7,-5890,0,0
Multihop 1 gateways,1,6629,268,60,1000000,215,7254,717474,1155,73,0,6898,7,24,260,0.996584
LoraWAN 1 gateways,1,1701,46,60,1000000,215,6541,78246,1155,0,4794,1747,7,0,0,0
LoraWAN 2 gateways,1,5180,75,60,1000000,215,6541,238280,1155,0,6541,5256,7,-5255,0,0
LoraWAN 3 gateways,1,6171,73,60,1000000,215,6541,283866,1155,0,6541,6219,7,-6244,0,0
Multihop 1 gateways,0.1,1141,4,60,1000000,215,1158,128805,1155,4,0,1145,7,2,7,0.999937
LoraWAN 1 gateways,0.1,320,2,60,1000000,215,1154,14720,1155,0,832,322,7,0,0,0
LoraWAN 2 gateways,0.1,903,9,60,1000000,215,1154,41538,1155,0,1154,912,7,-912,0,0
LoraWAN 3 gateways,0.1,1108,2,60,1000000,215,1154,50968,1155,0,1154,1110,7,-1110,0,0
Multihop 1 gateways,0.2,2096,28,60,1000000,215,2165,235910,1155,16,0,2124,7,2,23,0.999717
LoraWAN 1 gateways,0.2,555,2,60,1000000,215,2145,25530,1155,0,1588,557,7,0,0,0
LoraWAN 2 gateways,0.2,1739,22,60,1000000,215,2145,79994,1155,0,2145,1762,7,-1761,0,0
LoraWAN 3 gateways,0.2,2058,16,60,1000000,215,2145,94668,1155,0,2145,2074,7,-2074,0,0
Multihop 1 gateways,0.3,2891,87,60,1000000,215,3062,322184,1155,19,0,2978,7,8,57,0.999889
LoraWAN 1 gateways,0.3,803,8,60,1000000,215,2997,36938,1155,0,2186,811,7,0,0,0
LoraWAN 2 gateways,0.3,2433,28,60,1000000,215,2997,111918,1155,0,2997,2461,7,-2461,0,0
LoraWAN 3 gateways,0.3,2881,18,60,1000000,215,2997,132526,1155,0,2997,2898,7,-2899,0,0
Multihop 1 gateways,0.4,3697,42,60,1000000,215,3866,414688,1155,18,0,3740,7,15,94,0.99975
LoraWAN 1 gateways,0.4,950,16,60,1000000,215,3743,43700,1155,0,2777,966,7,0,0,0
LoraWAN 2 gateways,0.4,3046,51,60,1000000,215,3743,140116,1155,0,3743,3097,7,-3097,0,0
LoraWAN 3 gateways,0.4,3595,39,60,1000000,215,3743,165370,1155,0,3743,3632,7,-3634,0,0
Multihop 1 gateways,0.5,4257,120,60,1000000,215,4555,468913,1155,27,0,4377,7,23,128,0.999281
LoraWAN 1 gateways,0.5,1182,24,60,1000000,215,4360,54372,1155,0,3154,1206,7,0,0,0
LoraWAN 2 gateways,0.5,3491,83,60,1000000,215,4360,160586,1155,0,4360,3574,7,-3574,0,0
LoraWAN 3 gateways,0.5,4152,69,60,1000000,215,4360,190992,1155,0,4360,4219,7,-4221,0,0
Multihop 1 gateways,0.6,4544,441,60,1000000,215,5187,493329,1155,34,0,4985,7,29,139,0.998116
LoraWAN 1 gateways,0.6,1290,14,60,1000000,215,4902,59340,1155,0,3598,1304,7,0,0,0
LoraWAN 2 gateways,0.6,3906,82,60,1000000,215,4902,179676,1155,0,4902,3988,7,-3988,0,0
LoraWAN 3 gateways,0.6,4651,78,60,1000000,215,4902,213946,1155,0,4902,4717,7,-4729,0,0
Multihop 1 gateways,0.7,5278,187,60,1000000,215,5727,578884,1155,37,0,5465,7,46,179,0.999356
LoraWAN 1 gateways,0.7,1425,16,60,1000000,215,5371,65550,1155,0,3929,1442,7,1,0,0
LoraWAN 2 gateways,0.7,4282,80,60,1000000,215,5371,196972,1155,0,5371,4363,7,-4362,0,0
LoraWAN 3 gateways,0.7,5089,100,60,1000000,215,5371,234094,1155,0,5371,5190,7,-5189,0,0
Multihop 1 gateways,0.8,5611,357,60,1000000,215,6284,613235,1155,56,0,5969,7,47,213,0.998857
LoraWAN 1 gateways,0.8,1538,20,60,1000000,215,5807,70748,1155,0,4249,1558,7,0,0,0
LoraWAN 2 gateways,0.8,4632,117,60,1000000,215,5807,213072,1155,0,5807,4749,7,-4749,0,0
LoraWAN 3 gateways,0.8,5507,112,60,1000000,215,5807,253322,1155,0,5807,5614,7,-5619,0,0
Multihop 1 gateways,0.9,6200,197,60,1000000,215,6771,672522,1155,77,0,6397,7,53,244,0.998529
LoraWAN 1 gateways,0.9,1616,20,60,1000000,215,6197,74336,1155,0,4561,1636,7,0,0,0
LoraWAN 2 gateways,0.9,4946,121,60,1000000,215,6197,227516,1155,0,6197,5068,7,-5067,0,0
LoraWAN 3 gateways,0.9,5873,120,60,1000000,215,6197,270158,1155,0,6197,5984,7,-5993,0,0
Multihop 1 gateways,1,6549,265,60,1000000,215,7225,710035,1155,70,0,6814,7,55,286,0.999226
LoraWAN 1 gateways,1,1702,34,60,1000000,215,6541,78292,1155,0,4805,1736,7,0,0,0
LoraWAN 2 gateways,1,5213,124,60,1000000,215,6541,239798,1155,0,6541,5337,7,-5337,0,0
LoraWAN 3 gateways,1,6184,146,60,1000000,215,6541,284464,1155,0,6541,6324,7,-6330,0,0
Multihop 1 gateways,0.1,1136,12,60,1000000,215,1158,130551,1155,3,0,1148,7,0,7,0.999169
LoraWAN 1 gateways,0.1,386,0,60,1000000,215,1154,17756,1155,0,768,386,7,0,0,0
LoraWAN 2 gateways,0.1,578,3,60,1000000,215,1154,26588,1155,0,1154,581,7,-581,0,0
LoraWAN 3 gateways,0.1,980,1,60,1000000,215,1154,45080,1155,0,1154,981,7,-981,0,0
