case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.2,77,0,20,100000,21,78,23,1155,0,0,77,8,0,1,0.999938
LoraWAN 1 gateways,0.2,77,0,20,100000,21,77,23,1155,0,0,77,8,0,0,0
Multihop 1 gateways,0.2,78,0,20,100000,21,78,23,1155,0,0,78,8,0,0,1
LoraWAN 1 gateways,0.2,76,0,20,100000,21,76,23,1155,0,0,76,8,0,0,0
Multihop 1 gateways,0.2,78,0,20,100000,21,78,23,1155,0,0,78,8,0,0,1
LoraWAN 1 gateways,0.2,76,0,20,100000,21,76,23,1155,0,0,76,8,0,0,0
Multihop 1 gateways,0.2,74,4,20,100000,21,78,23,1155,0,0,78,8,0,0,0.998726
LoraWAN 1 gateways,0.2,76,0,20,100000,21,76,23,1155,0,0,76,8,0,0,0
Multihop 1 gateways,0.2,77,0,20,100000,21,78,23,1155,0,0,77,8,0,1,0.999929
LoraWAN 1 gateways,0.2,76,0,20,100000,21,76,23,1155,0,0,76,8,0,0,0
Multihop 1 gateways,0.2,77,0,20,100000,21,78,23,1155,0,0,77,8,0,1,0.999927
LoraWAN 1 gateways,0.2,75,1,20,100000,21,76,23,1155,0,0,76,8,0,0,0
Multihop 1 gateways,0.2,77,0,20,100000,21,79,23,1155,0,0,78,8,1,1,0.999692
LoraWAN 1 gateways,0.2,76,0,20,100000,21,76,23,1155,0,0,76,8,0,0,0
Multihop 1 gateways,0.2,143,0,40,100000,21,143,49.6667,1155,0,0,143,9,0,0,1
LoraWAN 1 gateways,0.2,131,0,40,100000,21,131,46,1155,0,0,131,9,0,0,0
Multihop 1 gateways,0.2,140,0,40,100000,21,143,49.6667,1155,2,0,140,9,0,1,0.999703
LoraWAN 1 gateways,0.2,127,0,40,100000,21,127,46,1155,0,0,127,9,0,0,0
Multihop 1 gateways,0.2,141,2,40,100000,21,143,49.6667,1155,0,0,143,9,0,0,0.999818
LoraWAN 1 gateways,0.2,123,0,40,100000,21,123,46,1155,0,0,123,9,0,0,0
Multihop 1 gateways,0.2,143,0,40,100000,21,143,49.6667,1155,0,0,143,9,0,0,1
LoraWAN 1 gateways,0.2,128,0,40,100000,21,128,46,1155,0,0,128,9,0,0,0
Multihop 1 gateways,0.2,141,2,40,100000,21,143,49.6667,1155,0,0,143,9,0,0,0.999481
LoraWAN 1 gateways,0.2,130,0,40,100000,21,130,46,1155,0,0,130,9,0,0,0
Multihop 1 gateways,0.2,138,2,40,100000,21,143,49.6667,1155,0,0,140,9,0,3,0.999914
LoraWAN 1 gateways,0.2,123,0,40,100000,21,123,46,1155,0,0,123,9,0,0,0
Multihop 1 gateways,0.2,142,0,40,100000,21,143,49.6667,1155,0,0,142,9,0,1,0.999971
LoraWAN 1 gateways,0.2,123,1,40,100000,21,124,46,1155,0,0,124,9,0,0,0
Multihop 1 gateways,0.2,214,6,60,100000,21,222,74.75,1155,0,0,220,10,1,1,0.999634
LoraWAN 1 gateways,0.2,175,0,60,100000,21,175,75.5,1155,0,0,175,10,0,0,0
Multihop 1 gateways,0.2,213,2,60,100000,21,219,74.75,1155,2,0,215,9,1,1,0.999394
LoraWAN 1 gateways,0.2,177,4,60,100000,21,181,70.1545,1155,0,0,181,9,0,0,0
Multihop 1 gateways,0.2,207,9,60,100000,21,219,74.75,1155,0,0,216,9,0,3,0.998116
LoraWAN 1 gateways,0.2,180,1,60,100000,21,181,57.5,1155,0,0,181,9,0,0,0
Multihop 1 gateways,0.2,208,8,60,100000,21,221,74.75,1155,0,0,216,9,0,5,0.999862
LoraWAN 1 gateways,0.2,174,0,60,100000,21,175,75.5,1155,0,0,175,9,1,0,0
Multihop 1 gateways,0.2,209,4,60,100000,21,219,74.75,1155,0,0,213,9,0,6,0.999065
LoraWAN 1 gateways,0.2,182,0,60,100000,21,182,66.5,1155,0,0,182,9,0,0,0
Multihop 1 gateways,0.2,208,6,60,100000,21,220,74.75,1155,0,0,214,10,1,5,0.999718
LoraWAN 1 gateways,0.2,175,0,60,100000,21,175,75.5,1155,0,0,175,10,0,0,0
Multihop 1 gateways,0.2,210,6,60,100000,21,220,74.75,1155,2,0,217,9,1,1,0.999172
LoraWAN 1 gateways,0.2,174,1,60,100000,21,175,61.6538,1155,0,0,175,9,0,0,0
Multihop 1 gateways,0.2,277,12,80,100000,21,294,99.2,1155,0,0,289,10,1,4,0.998164
LoraWAN 1 gateways,0.2,229,1,80,100000,21,230,87.5652,1155,0,0,230,10,0,0,0
Multihop 1 gateways,0.2,273,14,80,100000,21,292,99.2,1155,2,0,287,10,0,3,0.999055
LoraWAN 1 gateways,0.2,227,0,80,100000,21,227,92,1155,0,0,227,10,0,0,0
Multihop 1 gateways,0.2,278,6,80,100000,21,294,99.2,1155,4,0,284,10,1,5,0.994079
LoraWAN 1 gateways,0.2,224,4,80,100000,21,228,91.2,1155,0,0,228,10,0,0,0
Multihop 1 gateways,0.2,270,16,80,100000,21,293,99.2,1155,2,0,286,10,3,2,0.998713
LoraWAN 1 gateways,0.2,224,0,80,100000,21,224,110.508,1155,0,0,224,10,0,0,0
Multihop 1 gateways,0.2,278,6,80,100000,21,294,99.2,1155,4,0,285,10,2,4,0.999176
LoraWAN 1 gateways,0.2,225,3,80,100000,21,228,91.1429,1155,0,0,228,10,0,0,0
Multihop 1 gateways,0.2,282,4,80,100000,21,294,99.2,1155,4,0,286,10,0,4,0.998585
LoraWAN 1 gateways,0.2,228,0,80,100000,21,228,93.8646,1155,0,0,228,10,0,0,0
Multihop 1 gateways,0.2,287,0,80,100000,21,294,99.2,1155,0,0,287,10,2,5,0.99947
LoraWAN 1 gateways,0.2,222,2,80,100000,21,224,91.9699,1155,0,0,224,10,0,0,0
Multihop 1 gateways,0.2,328,12,100,100000,21,360,123.333,1155,7,0,340,11,1,12,0.996551
LoraWAN 1 gateways,0.2,271,1,100,100000,21,272,141.629,1155,0,0,272,11,0,0,0
Multihop 1 gateways,0.2,320,24,100,100000,21,360,123.333,1155,6,0,344,11,0,10,0.997775
LoraWAN 1 gateways,0.2,271,0,100,100000,21,272,139.155,1155,0,0,272,11,1,0,0
Multihop 1 gateways,0.2,339,6,100,100000,21,360,123.333,1155,8,0,345,11,0,7,0.999245
LoraWAN 1 gateways,0.2,265,1,100,100000,21,267,160.214,1155,0,0,267,11,1,0,0
Multihop 1 gateways,0.2,330,17,100,100000,21,361,123.333,1155,4,0,347,11,2,8,0.999364
LoraWAN 1 gateways,0.2,275,2,100,100000,21,277,145.169,1155,0,0,277,11,0,0,0
Multihop 1 gateways,0.2,340,4,100,100000,21,364,123.333,1155,4,0,344,11,3,13,0.996656
LoraWAN 1 gateways,0.2,270,0,100,100000,21,270,145.43,1155,0,0,270,11,0,0,0
Multihop 1 gateways,0.2,324,24,100,100000,21,364,123.333,1155,2,0,348,11,0,14,0.9994
LoraWAN 1 gateways,0.2,268,4,100,100000,21,272,138.079,1155,0,0,272,11,0,0,0
Multihop 1 gateways,0.2,346,6,100,100000,21,360,123.333,1155,0,0,352,11,0,8,0.999169
LoraWAN 1 gateways,0.2,274,3,100,100000,21,277,148.112,1155,0,0,277,11,0,0,0
Multihop 1 gateways,0.2,394,10,120,100000,21,430,147.286,1155,9,0,404,11,2,15,0.994489
LoraWAN 1 gateways,0.2,307,2,120,100000,21,309,175.119,1155,0,0,309,11,0,0,0
Multihop 1 gateways,0.2,397,14,120,100000,21,430,147.286,1155,2,0,411,11,1,16,0.9961
LoraWAN 1 gateways,0.2,300,0,120,100000,21,301,213.594,1155,0,0,301,11,1,0,0
Multihop 1 gateways,0.2,397,12,120,100000,21,430,147.286,1155,2,0,410,11,1,18,0.998374
LoraWAN 1 gateways,0.2,306,0,120,100000,21,306,223.441,1155,0,0,306,11,0,0,0
Multihop 1 gateways,0.2,403,12,120,100000,21,430,147.286,1155,6,0,415,11,0,9,0.998737
LoraWAN 1 gateways,0.2,312,0,120,100000,21,312,170.697,1155,0,0,312,11,0,0,0
Multihop 1 gateways,0.2,386,18,120,100000,21,430,147.286,1155,8,0,404,11,3,15,0.989483
LoraWAN 1 gateways,0.2,304,0,120,100000,21,304,196.311,1155,0,0,304,11,0,0,0
Multihop 1 gateways,0.2,399,18,120,100000,21,430,147.286,1155,5,0,417,11,2,6,0.99844
LoraWAN 1 gateways,0.2,310,0,120,100000,21,310,197.568,1155,0,0,310,11,0,0,0
Multihop 1 gateways,0.2,396,22,120,100000,21,430,147.286,1155,0,0,418,11,0,12,0.997565
LoraWAN 1 gateways,0.2,316,3,120,100000,21,320,211.55,1155,0,0,320,11,1,0,0
Multihop 1 gateways,0.2,465,8,140,100000,21,509,171.125,1155,5,0,473,12,2,29,0.997546
LoraWAN 1 gateways,0.2,341,0,140,100000,21,342,260.793,1155,0,0,342,12,1,0,0
Multihop 1 gateways,0.2,456,9,140,100000,21,509,171.125,1155,12,0,465,12,1,31,0.993569
LoraWAN 1 gateways,0.2,329,1,140,100000,21,331,272.068,1155,0,0,331,12,1,0,0
Multihop 1 gateways,0.2,462,20,140,100000,21,509,171.125,1155,2,0,482,12,1,24,0.99753
LoraWAN 1 gateways,0.2,334,2,140,100000,21,337,252.547,1155,0,0,337,12,1,0,0
Multihop 1 gateways,0.2,464,10,140,100000,21,509,171.125,1155,6,0,474,12,0,29,0.996231
LoraWAN 1 gateways,0.2,327,1,140,100000,21,328,269.941,1155,0,0,328,12,0,0,0
Multihop 1 gateways,0.2,436,30,140,100000,21,509,171.125,1155,8,0,466,12,2,33,0.996129
LoraWAN 1 gateways,0.2,335,1,140,100000,21,337,268.603,1155,0,0,337,12,1,0,0
Multihop 1 gateways,0.2,428,49,140,100000,21,508,171.125,1155,10,0,477,12,1,20,0.992775
LoraWAN 1 gateways,0.2,335,1,140,100000,21,336,269.513,1155,0,0,336,12,0,0,0
Multihop 1 gateways,0.2,452,16,140,100000,21,508,171.125,1155,13,0,468,12,1,26,0.998746
LoraWAN 1 gateways,0.2,340,0,140,100000,21,341,254.983,1155,0,0,341,12,1,0,0
Multihop 1 gateways,0.2,519,8,160,100000,21,574,194.889,1155,10,0,527,12,2,35,0.996888
LoraWAN 1 gateways,0.2,354,0,160,100000,21,355,352.796,1155,0,0,355,12,1,0,0
Multihop 1 gateways,0.2,510,25,160,100000,21,574,194.889,1155,9,0,535,12,2,28,0.994278
LoraWAN 1 gateways,0.2,362,4,160,100000,21,369,355.211,1155,0,0,369,12,3,0,0
Multihop 1 gateways,0.2,522,12,160,100000,21,574,194.889,1155,4,0,534,12,4,32,0.992812
LoraWAN 1 gateways,0.2,358,0,160,100000,21,359,375.547,1155,0,0,359,12,1,0,0
Multihop 1 gateways,0.2,501,22,160,100000,21,574,194.889,1155,13,0,523,12,0,38,0.992649
LoraWAN 1 gateways,0.2,356,1,160,100000,21,358,319.134,1155,0,0,358,12,1,0,0
Multihop 1 gateways,0.2,501,18,160,100000,21,574,194.889,1155,18,0,519,12,0,37,0.993539
LoraWAN 1 gateways,0.2,355,0,160,100000,21,355,361.543,1155,0,0,355,12,0,0,0
Multihop 1 gateways,0.2,495,34,160,100000,21,576,194.889,1155,10,0,530,12,2,35,0.997325
LoraWAN 1 gateways,0.2,348,0,160,100000,21,349,375.283,1155,0,0,349,12,1,0,0
Multihop 1 gateways,0.2,496,30,160,100000,21,574,194.889,1155,7,0,526,12,2,39,0.992589
LoraWAN 1 gateways,0.2,353,0,160,100000,21,354,374.087,1155,0,0,354,12,1,0,0
