case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,748,4,40,1000000,215,760,89662,1155,3,0,752,7,0,5,0.999767
LoraWAN 1 gateways,0.1,214,0,40,1000000,215,758,9844,1155,0,544,214,7,0,0,0
LoraWAN 2 gateways,0.1,507,5,40,1000000,215,758,23322,1155,0,758,512,7,-512,0,0
LoraWAN 3 gateways,0.1,657,3,40,1000000,215,758,30222,1155,0,758,660,7,-660,0,0
Multihop 1 gateways,0.2,1429,6,40,1000000,215,1447,165583,1155,4,0,1435,7,0,8,0.999948
LoraWAN 1 gateways,0.2,416,2,40,1000000,215,1434,19136,1155,0,1016,418,7,0,0,0
LoraWAN 2 gateways,0.2,964,4,40,1000000,215,1434,44344,1155,0,1434,968,7,-968,0,0
LoraWAN 3 gateways,0.2,1255,4,40,1000000,215,1434,57730,1155,0,1434,1259,7,-1259,0,0
Multihop 1 gateways,0.3,2013,6,40,1000000,215,2050,232026,1155,4,0,2019,7,1,26,0.999485
LoraWAN 1 gateways,0.3,615,6,40,1000000,215,2016,28290,1155,0,1395,621,7,0,0,0
LoraWAN 2 gateways,0.3,1323,11,40,1000000,215,2016,60858,1155,0,2016,1334,7,-1334,0,0
LoraWAN 3 gateways,0.3,1741,16,40,1000000,215,2016,80086,1155,0,2016,1757,7,-1757,0,0
Multihop 1 gateways,0.4,2484,62,40,1000000,215,2607,286267,1155,15,0,2546,7,1,45,0.999466
LoraWAN 1 gateways,0.4,749,4,40,1000000,215,2526,34454,1155,0,1773,753,7,0,0,0
LoraWAN 2 gateways,0.4,1699,15,40,1000000,215,2526,78154,1155,0,2526,1714,7,-1714,0,0
LoraWAN 3 gateways,0.4,2185,11,40,1000000,215,2526,100510,1155,0,2526,2196,7,-2196,0,0
Multihop 1 gateways,0.5,2901,99,40,1000000,215,3088,333906,1155,25,0,3000,7,0,63,0.999125
LoraWAN 1 gateways,0.5,876,2,40,1000000,215,2938,40296,1155,0,2060,878,7,0,0,0
LoraWAN 2 gateways,0.5,1956,32,40,1000000,215,2938,89976,1155,0,2938,1988,7,-1988,0,0
LoraWAN 3 gateways,0.5,2542,37,40,1000000,215,2938,116932,1155,0,2938,2579,7,-2579,0,0
Multihop 1 gateways,0.6,3290,151,40,1000000,215,3538,374612,1155,16,0,3441,7,3,78,0.999421
LoraWAN 1 gateways,0.6,947,16,40,1000000,215,3301,43562,1155,0,2338,963,7,0,0,0
LoraWAN 2 gateways,0.6,2168,30,40,1000000,215,3301,99728,1155,0,3301,2198,7,-2198,0,0
LoraWAN 3 gateways,0.6,2861,39,40,1000000,215,3301,131606,1155,0,3301,2900,7,-2900,0,0
Multihop 1 gateways,0.7,3602,154,40,1000000,215,3886,409834,1155,29,0,3756,7,1,100,0.999581
LoraWAN 1 gateways,0.7,1071,6,40,1000000,215,3585,49266,1155,0,2508,1077,7,0,0,0
LoraWAN 2 gateways,0.7,2384,28,40,1000000,215,3585,109664,1155,0,3585,2412,7,-2412,0,0
LoraWAN 3 gateways,0.7,3103,51,40,1000000,215,3585,142738,1155,0,3585,3154,7,-3154,0,0
Multihop 1 gateways,0.8,3768,344,40,1000000,215,4259,423207,1155,30,0,4112,7,3,114,0.998016
LoraWAN 1 gateways,0.8,1169,8,40,1000000,215,3887,53774,1155,0,2710,1177,7,0,0,0
LoraWAN 2 gateways,0.8,2602,21,40,1000000,215,3887,119692,1155,0,3887,2623,7,-2623,0,0
LoraWAN 3 gateways,0.8,3380,36,40,1000000,215,3887,155480,1155,0,3887,3416,7,-3416,0,0
Multihop 1 gateways,0.9,4338,94,40,1000000,215,4587,487717,1155,26,0,4432,7,3,126,0.999242
LoraWAN 1 gateways,0.9,1236,6,40,1000000,215,4149,56856,1155,0,2907,1242,7,0,0,0
LoraWAN 2 gateways,0.9,2768,39,40,1000000,215,4149,127328,1155,0,4149,2807,7,-2807,0,0
LoraWAN 3 gateways,0.9,3576,62,40,1000000,215,4149,164496,1155,0,4149,3638,7,-3638,0,0
Multihop 1 gateways,1,4583,130,40,1000000,215,4904,520704,1155,40,0,4713,7,0,151,0.999532
LoraWAN 1 gateways,1,1285,24,40,1000000,215,4361,59110,1155,0,3051,1310,7,1,0,0
LoraWAN 2 gateways,1,2930,40,40,1000000,215,4361,134780,1155,0,4361,2971,7,-2970,0,0
LoraWAN 3 gateways,1,3808,41,40,1000000,215,4361,175168,1155,0,4361,3850,7,-3849,0,0
Multihop 1 gateways,0.1,750,0,40,1000000,215,760,91270,1155,6,0,750,7,2,2,0.999475
LoraWAN 1 gateways,0.1,181,0,40,1000000,215,758,8326,1155,0,577,181,7,0,0,0
LoraWAN 2 gateways,0.1,584,4,40,1000000,215,758,26864,1155,0,758,588,7,-588,0,0
LoraWAN 3 gateways,0.1,616,4,40,1000000,215,758,28336,1155,0,758,620,7,-620,0,0
Multihop 1 gateways,0.2,1412,19,40,1000000,215,1447,173120,1155,0,0,1431,7,0,16,0.999464
LoraWAN 1 gateways,0.2,343,8,40,1000000,215,1434,15778,1155,0,1083,351,7,0,0,0
LoraWAN 2 gateways,0.2,1077,11,40,1000000,215,1434,49542,1155,0,1434,1088,7,-1088,0,0
LoraWAN 3 gateways,0.2,1157,5,40,1000000,215,1434,53222,1155,0,1434,1162,7,-1162,0,0
Multihop 1 gateways,0.3,1934,64,40,1000000,215,2051,231225,1155,21,0,1999,7,1,31,0.99907
LoraWAN 1 gateways,0.3,493,2,40,1000000,215,2016,22678,1155,0,1521,495,7,0,0,0
LoraWAN 2 gateways,0.3,1551,15,40,1000000,215,2016,71346,1155,0,2016,1566,7,-1566,0,0
LoraWAN 3 gateways,0.3,1645,13,40,1000000,215,2016,75670,1155,0,2016,1658,7,-1658,0,0
Multihop 1 gateways,0.4,2471,40,40,1000000,215,2616,292945,1155,37,0,2511,7,2,66,0.997706
LoraWAN 1 gateways,0.4,643,4,40,1000000,215,2526,29578,1155,0,1879,647,7,0,0,0
LoraWAN 2 gateways,0.4,1941,22,40,1000000,215,2526,89286,1155,0,2526,1963,7,-1963,0,0
LoraWAN 3 gateways,0.4,2067,26,40,1000000,215,2526,95082,1155,0,2526,2093,7,-2093,0,0
Multihop 1 gateways,0.5,2742,247,40,1000000,215,3097,325003,1155,32,0,2989,7,10,66,0.997864
LoraWAN 1 gateways,0.5,743,2,40,1000000,215,2938,34178,1155,0,2193,745,7,0,0,0
LoraWAN 2 gateways,0.5,2259,38,40,1000000,215,2938,103914,1155,0,2938,2297,7,-2297,0,0
LoraWAN 3 gateways,0.5,2409,26,40,1000000,215,2938,110814,1155,0,2938,2435,7,-2435,0,0
Multihop 1 gateways,0.6,3294,44,40,1000000,215,3516,389844,1155,53,0,3338,7,10,115,0.999121
