case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
LoraWAN 3 gateways,0.3,1261,18,199,200000,43,2010,41.4,1155,0,2010,1281,7,-1279,0,0,1.50965
Multihop 1 gateways,0.4,1907,167,199,200000,43,2635,218.6,1155,142,0,2076,7,19,400,0.983333,2.0445
LoraWAN 1 gateways,0.4,155,0,199,200000,43,2522,9.2,1155,0,2367,155,7,0,0,0,3.18566
LoraWAN 2 gateways,0.4,1003,10,199,200000,43,2522,40.25,1155,0,2522,1013,7,-1013,0,0,4.29401
LoraWAN 3 gateways,0.4,1583,25,199,200000,43,2522,41.4,1155,0,2522,1608,7,-1608,0,0,1.56376
Multihop 1 gateways,0.5,2149,285,199,200000,43,3148,218.6,1155,182,0,2434,7,29,503,0.955779,2.1564
LoraWAN 1 gateways,0.5,165,0,199,200000,43,2933,9.2,1155,0,2768,165,7,0,0,0,3.26698
LoraWAN 2 gateways,0.5,1142,15,199,200000,43,2933,40.25,1155,0,2933,1158,7,-1157,0,0,4.40466
LoraWAN 3 gateways,0.5,1829,46,199,200000,43,2933,41.4,1155,0,2933,1877,7,-1875,0,0,1.60217
Multihop 1 gateways,0.6,2436,211,199,200000,43,3592,218.6,1155,251,0,2648,7,14,680,0.971024,2.26468
LoraWAN 1 gateways,0.6,211,4,199,200000,43,3300,9.2,1155,0,3085,215,7,0,0,0,3.32519
LoraWAN 2 gateways,0.6,1277,36,199,200000,43,3300,40.25,1155,0,3300,1313,7,-1313,0,0,4.48183
LoraWAN 3 gateways,0.6,2063,50,199,200000,43,3300,41.4,1155,0,3300,2113,7,-2113,0,0,1.63261
Multihop 1 gateways,0.7,2647,248,199,200000,43,3997,218.6,1155,254,0,2896,7,41,807,0.949817,2.33597
LoraWAN 1 gateways,0.7,213,0,199,200000,43,3579,9.2,1155,0,3365,213,7,1,0,0,3.39507
LoraWAN 2 gateways,0.7,1433,35,199,200000,43,3579,40.25,1155,0,3578,1468,7,-1467,0,0,4.57855
LoraWAN 3 gateways,0.7,2272,57,199,200000,43,3579,41.4,1155,0,3578,2329,7,-2328,0,0,1.66323
Multihop 1 gateways,0.8,2470,624,199,200000,43,4400,218.6,1155,314,0,3094,7,22,970,0.914342,2.41404
LoraWAN 1 gateways,0.8,230,4,199,200000,43,3885,9.2,1155,0,3651,234,7,0,0,0,3.45039
LoraWAN 2 gateways,0.8,1567,33,199,200000,43,3885,40.25,1155,0,3885,1600,7,-1600,0,0,4.65254
LoraWAN 3 gateways,0.8,2438,75,199,200000,43,3885,41.4,1155,0,3885,2514,7,-2513,0,0,1.69124
Multihop 1 gateways,0.9,2977,284,199,200000,43,4770,218.6,1155,411,0,3263,7,28,1070,0.944932,2.48445
LoraWAN 1 gateways,0.9,243,2,199,200000,43,4145,9.2,1155,0,3900,245,7,0,0,0,3.49358
LoraWAN 2 gateways,0.9,1649,46,199,200000,43,4145,40.25,1155,0,4145,1695,7,-1695,0,0,4.71043
LoraWAN 3 gateways,0.9,2593,77,199,200000,43,4145,41.4,1155,0,4145,2670,7,-2670,0,0,1.71292
Multihop 1 gateways,1,2930,488,199,200000,43,5126,218.6,1155,422,0,3419,7,53,1233,0.925512,2.54913
LoraWAN 1 gateways,1,260,4,199,200000,43,4360,9.2,1155,0,4096,264,7,0,0,0,3.52395
LoraWAN 2 gateways,1,1685,66,199,200000,43,4360,40.25,1155,0,4360,1751,7,-1751,0,0,4.75106
LoraWAN 3 gateways,1,2724,82,199,200000,43,4360,41.4,1155,0,4360,2806,7,-2806,0,0,1.72827
Multihop 1 gateways,0.1,683,34,199,200000,43,756,218.6,1155,7,0,717,7,1,31,0.987542,1.99693
