case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
LoraWAN 3 gateways,0.4,9018,214,180,1000000,215,11137,414828,1155,0,11137,9193,7,-9232,0,0
Multihop 1 gateways,0.5,11771,1378,180,1000000,215,13544,1228730,1155,131,0,13149,7,21,243,0.998941
LoraWAN 1 gateways,0.5,3443,114,180,1000000,215,12995,158378,1155,0,9438,3557,7,0,0,0
LoraWAN 2 gateways,0.5,8375,199,180,1000000,215,12995,385250,1155,0,12995,8574,7,-8574,0,0
LoraWAN 3 gateways,0.5,10562,295,180,1000000,215,12995,485852,1155,0,12995,10807,7,-10857,0,0
Multihop 1 gateways,0.6,13049,1783,180,1000000,215,15393,1368395,1155,170,0,14834,7,29,362,0.999624
LoraWAN 1 gateways,0.6,3868,135,180,1000000,215,14613,177928,1155,0,10610,4003,7,0,0,0
LoraWAN 2 gateways,0.6,9325,270,180,1000000,215,14613,428950,1155,0,14613,9595,7,-9595,0,0
LoraWAN 3 gateways,0.6,11818,339,180,1000000,215,14613,543628,1155,0,14613,12100,7,-12157,0,0
Multihop 1 gateways,0.7,13853,2494,180,1000000,215,17020,1436086,1155,202,0,16348,7,42,429,0.999673
LoraWAN 1 gateways,0.7,4162,155,180,1000000,215,16010,191452,1155,0,11693,4317,7,0,0,0
LoraWAN 2 gateways,0.7,10044,396,180,1000000,215,16010,462024,1155,0,16010,10440,7,-10440,0,0
LoraWAN 3 gateways,0.7,12858,424,180,1000000,215,16010,591468,1155,0,16010,13218,7,-13282,0,0
Multihop 1 gateways,0.8,15247,2627,180,1000000,215,18642,1573728,1155,239,0,17875,7,35,494,0.998457
LoraWAN 1 gateways,0.8,4546,152,180,1000000,215,17340,209116,1155,0,12642,4698,7,0,0,0
LoraWAN 2 gateways,0.8,11015,378,180,1000000,215,17340,506690,1155,0,17340,11393,7,-11393,0,0
LoraWAN 3 gateways,0.8,13944,505,180,1000000,215,17340,641424,1155,0,17340,14371,7,-14449,0,0
Multihop 1 gateways,0.9,15959,3263,180,1000000,215,20138,1647322,1155,280,0,19223,7,56,580,0.996465
LoraWAN 1 gateways,0.9,4842,254,180,1000000,215,18474,222732,1155,0,13378,5096,7,0,0,0
