case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness
Multihop 1 gateways,0.1,276,10,160,100000,21,301,218.6,1155,0,0,286,12,0,15,0.964451
LoraWAN 1 gateways,0.1,15,0,160,100000,21,301,9.2,1155,0,286,15,7,0,0,0
LoraWAN 2 gateways,0.1,112,0,160,100000,21,301,40.8889,1155,0,301,112,7,-112,0,0
LoraWAN 3 gateways,0.1,183,0,160,100000,21,301,41.4,1155,0,301,183,7,-183,0,0
Multihop 1 gateways,0.2,522,4,160,100000,21,574,218.6,1155,10,0,526,7,3,35,0.990084
LoraWAN 1 gateways,0.2,39,0,160,100000,21,572,9.2,1155,0,533,39,7,0,0,0
LoraWAN 2 gateways,0.2,216,3,160,100000,21,572,40.8889,1155,0,572,219,7,-219,0,0
LoraWAN 3 gateways,0.2,361,3,160,100000,21,572,41.4,1155,0,572,364,7,-364,0,0
Multihop 1 gateways,0.3,688,50,160,100000,21,832,218.6,1155,14,0,739,7,5,75,0.996355
LoraWAN 1 gateways,0.3,50,0,160,100000,21,807,9.2,1155,0,757,50,7,0,0,0
LoraWAN 2 gateways,0.3,280,4,160,100000,21,807,40.8889,1155,0,807,284,7,-284,0,0
LoraWAN 3 gateways,0.3,489,5,160,100000,21,807,41.4,1155,0,807,494,7,-494,0,0
Multihop 1 gateways,0.4,868,38,160,100000,21,1070,218.6,1155,28,0,907,7,9,127,0.98796
LoraWAN 1 gateways,0.4,76,0,160,100000,21,1013,9.2,1155,0,937,76,7,0,0,0
LoraWAN 2 gateways,0.4,369,9,160,100000,21,1013,40.8889,1155,0,1013,378,7,-378,0,0
LoraWAN 3 gateways,0.4,604,10,160,100000,21,1013,41.4,1155,0,1013,614,7,-614,0,0
Multihop 1 gateways,0.5,944,116,160,100000,21,1252,218.6,1155,43,0,1060,7,6,143,0.990668
LoraWAN 1 gateways,0.5,85,0,160,100000,21,1174,9.2,1155,0,1089,85,7,0,0,0
LoraWAN 2 gateways,0.5,429,4,160,100000,21,1174,40.8889,1155,0,1174,433,7,-433,0,0
LoraWAN 3 gateways,0.5,699,13,160,100000,21,1174,41.4,1155,0,1174,712,7,-712,0,0
Multihop 1 gateways,0.6,1130,70,160,100000,21,1456,218.6,1155,54,0,1200,7,11,191,0.990438
LoraWAN 1 gateways,0.6,95,2,160,100000,21,1333,9.2,1155,0,1236,97,7,0,0,0
LoraWAN 2 gateways,0.6,467,6,160,100000,21,1333,40.8889,1155,0,1333,474,7,-473,0,0
LoraWAN 3 gateways,0.6,770,12,160,100000,21,1333,41.4,1155,0,1333,783,7,-782,0,0
Multihop 1 gateways,0.7,1045,257,160,100000,21,1623,218.6,1155,71,0,1302,7,17,233,0.97622
LoraWAN 1 gateways,0.7,94,0,160,100000,21,1458,9.2,1155,0,1364,94,7,0,0,0
LoraWAN 2 gateways,0.7,494,6,160,100000,21,1458,40.8889,1155,0,1458,502,7,-500,0,0
LoraWAN 3 gateways,0.7,844,12,160,100000,21,1458,41.4,1155,0,1458,858,7,-856,0,0
Multihop 1 gateways,0.8,1241,171,160,100000,21,1792,218.6,1155,87,0,1412,7,7,286,0.966574
LoraWAN 1 gateways,0.8,104,2,160,100000,21,1567,9.2,1155,0,1461,106,7,0,0,0
LoraWAN 2 gateways,0.8,545,2,160,100000,21,1567,40.8889,1155,0,1567,547,7,-547,0,0
LoraWAN 3 gateways,0.8,933,13,160,100000,21,1567,41.4,1155,0,1567,946,7,-946,0,0
Multihop 1 gateways,0.9,1310,207,160,100000,21,1956,218.6,1155,103,0,1518,7,19,317,0.972538
LoraWAN 1 gateways,0.9,120,0,160,100000,21,1688,9.2,1155,0,1568,120,7,0,0,0
LoraWAN 2 gateways,0.9,599,12,160,100000,21,1688,40.8889,1155,0,1688,611,7,-611,0,0
LoraWAN 3 gateways,0.9,1008,17,160,100000,21,1688,41.4,1155,0,1688,1025,7,-1025,0,0
Multihop 1 gateways,1,1343,244,160,100000,21,2095,218.6,1155,119,0,1589,7,22,367,0.983369
LoraWAN 1 gateways,1,106,6,160,100000,21,1780,9.2,1155,0,1668,112,7,0,0,0
LoraWAN 2 gateways,1,639,12,160,100000,21,1780,40.8889,1155,0,1780,651,7,-651,0,0
LoraWAN 3 gateways,1,1031,27,160,100000,21,1780,41.4,1155,0,1780,1058,7,-1058,0,0
Multihop 1 gateways,0.1,279,2,160,100000,21,301,194.889,1155,3,0,282,7,3,14,0.973151
LoraWAN 1 gateways,0.1,21,0,160,100000,21,301,9.2,1155,0,280,21,7,0,0,0
LoraWAN 2 gateways,0.1,113,0,160,100000,21,301,40.8889,1155,0,301,113,7,-113,0,0
LoraWAN 3 gateways,0.1,189,0,160,100000,21,301,40.25,1155,0,301,189,7,-189,0,0
Multihop 1 gateways,0.2,507,28,160,100000,21,574,194.889,1155,7,0,536,7,3,29,0.992994
LoraWAN 1 gateways,0.2,47,2,160,100000,21,572,9.2,1155,0,523,49,7,0,0,0
LoraWAN 2 gateways,0.2,211,2,160,100000,21,572,40.8889,1155,0,572,213,7,-213,0,0
LoraWAN 3 gateways,0.2,338,2,160,100000,21,572,40.25,1155,0,572,340,7,-340,0,0
Multihop 1 gateways,0.3,715,36,160,100000,21,830,194.889,1155,10,0,751,7,8,61,0.987273
LoraWAN 1 gateways,0.3,56,0,160,100000,21,807,9.2,1155,0,751,56,7,0,0,0
LoraWAN 2 gateways,0.3,311,3,160,100000,21,807,40.8889,1155,0,807,314,7,-314,0,0
LoraWAN 3 gateways,0.3,500,4,160,100000,21,807,40.25,1155,0,807,504,7,-504,0,0
Multihop 1 gateways,0.4,809,101,160,100000,21,1067,194.889,1155,40,0,910,7,5,112,0.988354
LoraWAN 1 gateways,0.4,91,0,160,100000,21,1013,9.2,1155,0,922,91,7,0,0,0
LoraWAN 2 gateways,0.4,386,6,160,100000,21,1013,40.8889,1155,0,1013,392,7,-392,0,0
LoraWAN 3 gateways,0.4,617,16,160,100000,21,1013,40.25,1155,0,1013,633,7,-633,0,0
Multihop 1 gateways,0.5,968,84,160,100000,21,1249,194.889,1155,47,0,1053,7,4,146,0.991954
LoraWAN 1 gateways,0.5,102,0,160,100000,21,1174,9.2,1155,0,1072,102,7,0,0,0
LoraWAN 2 gateways,0.5,445,13,160,100000,21,1174,40.8889,1155,0,1174,458,7,-458,0,0
LoraWAN 3 gateways,0.5,728,11,160,100000,21,1174,40.25,1155,0,1174,739,7,-739,0,0
Multihop 1 gateways,0.6,1096,95,160,100000,21,1448,194.889,1155,53,0,1191,7,10,194,0.982151
LoraWAN 1 gateways,0.6,109,2,160,100000,21,1333,9.2,1155,0,1222,111,7,0,0,0
LoraWAN 2 gateways,0.6,495,11,160,100000,21,1333,40.8889,1155,0,1333,506,7,-506,0,0
LoraWAN 3 gateways,0.6,796,13,160,100000,21,1333,40.25,1155,0,1333,809,7,-809,0,0
Multihop 1 gateways,0.7,1222,99,160,100000,21,1614,194.889,1155,76,0,1324,7,17,200,0.987615
LoraWAN 1 gateways,0.7,114,0,160,100000,21,1458,9.2,1155,0,1344,114,7,0,0,0
LoraWAN 2 gateways,0.7,576,9,160,100000,21,1458,40.8889,1155,0,1458,585,7,-585,0,0
LoraWAN 3 gateways,0.7,901,16,160,100000,21,1458,40.25,1155,0,1458,918,7,-917,0,0
Multihop 1 gateways,0.8,1343,74,160,100000,21,1778,194.889,1155,73,0,1418,7,6,282,0.97743
LoraWAN 1 gateways,0.8,121,0,160,100000,21,1567,9.2,1155,0,1446,121,7,0,0,0
LoraWAN 2 gateways,0.8,578,14,160,100000,21,1567,40.8889,1155,0,1567,592,7,-592,0,0
LoraWAN 3 gateways,0.8,961,20,160,100000,21,1567,40.25,1155,0,1567,981,7,-981,0,0
Multihop 1 gateways,0.9,1344,167,160,100000,21,1937,194.889,1155,92,0,1511,7,9,325,0.968191
LoraWAN 1 gateways,0.9,137,0,160,100000,21,1688,9.2,1155,0,1551,137,7,0,0,0
LoraWAN 2 gateways,0.9,639,11,160,100000,21,1688,40.8889,1155,0,1688,650,7,-650,0,0
LoraWAN 3 gateways,0.9,1018,26,160,100000,21,1688,40.25,1155,0,1688,1044,7,-1044,0,0
Multihop 1 gateways,1,1338,299,160,100000,21,2098,194.889,1155,95,0,1639,7,13,353,0.974813
LoraWAN 1 gateways,1,135,0,160,100000,21,1780,9.2,1155,0,1645,135,7,0,0,0
LoraWAN 2 gateways,1,655,23,160,100000,21,1780,40.8889,1155,0,1780,678,7,-678,0,0
LoraWAN 3 gateways,1,1059,32,160,100000,21,1780,40.25,1155,0,1780,1091,7,-1091,0,0
Multihop 1 gateways,0.1,281,7,160,100000,21,301,194.889,1155,2,0,288,7,0,11,0.997441
LoraWAN 1 gateways,0.1,16,0,160,100000,21,301,9.2,1155,0,285,16,7,0,0,0
LoraWAN 2 gateways,0.1,133,1,160,100000,21,301,40.8889,1155,0,301,134,7,-134,0,0
LoraWAN 3 gateways,0.1,200,1,160,100000,21,301,40.8889,1155,0,301,201,7,-201,0,0
Multihop 1 gateways,0.2,514,16,160,100000,21,574,194.889,1155,18,0,530,7,1,25,0.996046
LoraWAN 1 gateways,0.2,45,2,160,100000,21,572,9.2,1155,0,525,47,7,0,0,0
LoraWAN 2 gateways,0.2,228,0,160,100000,21,572,40.8889,1155,0,572,228,7,-228,0,0
LoraWAN 3 gateways,0.2,387,1,160,100000,21,572,40.8889,1155,0,572,388,7,-388,0,0
Multihop 1 gateways,0.3,693,44,160,100000,21,834,194.889,1155,29,0,737,7,2,66,0.983334
LoraWAN 1 gateways,0.3,52,0,160,100000,21,807,9.2,1155,0,755,52,7,0,0,0
LoraWAN 2 gateways,0.3,325,4,160,100000,21,807,40.8889,1155,0,807,329,7,-329,0,0
LoraWAN 3 gateways,0.3,539,8,160,100000,21,807,40.8889,1155,0,807,547,7,-547,0,0
Multihop 1 gateways,0.4,849,49,160,100000,21,1067,194.889,1155,61,0,898,7,2,106,0.981241
LoraWAN 1 gateways,0.4,85,0,160,100000,21,1013,9.2,1155,0,928,85,7,0,0,0
LoraWAN 2 gateways,0.4,409,6,160,100000,21,1013,40.8889,1155,0,1013,415,7,-415,0,0
LoraWAN 3 gateways,0.4,658,9,160,100000,21,1013,40.8889,1155,0,1013,667,7,-667,0,0
Multihop 1 gateways,0.5,929,130,160,100000,21,1258,194.889,1155,45,0,1059,7,8,146,0.983005
LoraWAN 1 gateways,0.5,93,2,160,100000,21,1174,9.2,1155,0,1079,95,7,0,0,0
LoraWAN 2 gateways,0.5,475,8,160,100000,21,1174,40.8889,1155,0,1174,483,7,-483,0,0
LoraWAN 3 gateways,0.5,767,14,160,100000,21,1174,40.8889,1155,0,1174,781,7,-781,0,0
Multihop 1 gateways,0.6,1074,94,160,100000,21,1457,194.889,1155,71,0,1168,7,9,209,0.983023
LoraWAN 1 gateways,0.6,106,0,160,100000,21,1333,9.2,1155,0,1227,106,7,0,0,0
LoraWAN 2 gateways,0.6,538,6,160,100000,21,1333,40.8889,1155,0,1333,545,7,-544,0,0
LoraWAN 3 gateways,0.6,852,25,160,100000,21,1333,40.8889,1155,0,1333,878,7,-877,0,0
Multihop 1 gateways,0.7,1214,82,160,100000,21,1605,194.889,1155,76,0,1297,7,20,213,0.984215
LoraWAN 1 gateways,0.7,104,2,160,100000,21,1458,9.2,1155,0,1352,106,7,0,0,0
LoraWAN 2 gateways,0.7,600,9,160,100000,21,1458,40.8889,1155,0,1458,609,7,-609,0,0
LoraWAN 3 gateways,0.7,938,14,160,100000,21,1458,40.8889,1155,0,1458,954,7,-952,0,0
Multihop 1 gateways,0.8,1167,219,160,100000,21,1789,194.889,1155,102,0,1386,7,23,278,0.972302
LoraWAN 1 gateways,0.8,113,0,160,100000,21,1567,9.2,1155,0,1454,113,7,0,0,0
LoraWAN 2 gateways,0.8,634,17,160,100000,21,1567,40.8889,1155,0,1567,651,7,-651,0,0
LoraWAN 3 gateways,0.8,1018,23,160,100000,21,1567,40.8889,1155,0,1567,1041,7,-1041,0,0
Multihop 1 gateways,0.9,1309,146,160,100000,21,1942,194.889,1155,128,0,1456,7,38,321,0.959524
LoraWAN 1 gateways,0.9,130,0,160,100000,21,1688,9.2,1155,0,1558,130,7,0,0,0
LoraWAN 2 gateways,0.9,665,14,160,100000,21,1688,40.8889,1155,0,1688,679,7,-679,0,0
