case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge,max_sf,time_out,drop_p_async,fairness,power_consumption
Multihop 1 gateways,0.2,143,0,20,200000,43,143,23,1155,0,0,143,8,0,0,1,0.145775
LoraWAN 1 gateways,0.2,133,0,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,142,0,20,200000,43,143,23,1155,0,0,142,8,0,1,0.999977,0.143616
LoraWAN 1 gateways,0.2,131,2,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,141,2,20,200000,43,143,23,1155,0,0,143,8,0,0,0.999955,0.135663
LoraWAN 1 gateways,0.2,131,1,20,200000,43,132,23,1155,0,0,132,8,0,0,0,-nan
Multihop 1 gateways,0.2,142,0,20,200000,43,143,23,1155,0,0,142,8,0,1,0.999983,0.121225
LoraWAN 1 gateways,0.2,135,0,20,200000,43,135,23,1155,0,0,135,8,0,0,0,-nan
Multihop 1 gateways,0.2,139,4,20,200000,43,143,23,1155,0,0,143,8,0,0,0.999651,0.126996
LoraWAN 1 gateways,0.2,133,0,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,142,0,20,200000,43,143,23,1155,0,0,142,8,0,1,0.999979,0.115448
LoraWAN 1 gateways,0.2,137,0,20,200000,43,137,23,1155,0,0,137,8,0,0,0,-nan
Multihop 1 gateways,0.2,142,0,20,200000,43,143,23,1155,0,0,142,8,0,1,0.999976,0.142172
LoraWAN 1 gateways,0.2,133,0,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,142,0,20,200000,43,143,23,1155,0,0,142,8,0,1,0.99998,0.129168
LoraWAN 1 gateways,0.2,133,0,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,143,0,20,200000,43,143,23,1155,0,0,143,8,0,0,1,0.135663
LoraWAN 1 gateways,0.2,133,0,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,141,2,20,200000,43,143,23,1155,0,0,143,8,0,0,0.999909,0.132772
LoraWAN 1 gateways,0.2,133,0,20,200000,43,133,23,1155,0,0,133,8,0,0,0,-nan
Multihop 1 gateways,0.2,291,0,40,200000,43,292,49.6667,1155,0,0,291,9,0,1,0.999992,0.202833
LoraWAN 1 gateways,0.2,253,2,40,200000,43,255,46,1155,0,0,255,9,0,0,0,-nan
Multihop 1 gateways,0.2,288,3,40,200000,43,292,49.6667,1155,0,0,291,9,0,1,0.999943,0.166255
LoraWAN 1 gateways,0.2,261,1,40,200000,43,262,46,1155,0,0,262,9,0,0,0,-nan
Multihop 1 gateways,0.2,288,0,40,200000,43,292,49.6667,1155,0,0,288,9,0,4,0.999855,0.199224
LoraWAN 1 gateways,0.2,250,1,40,200000,43,251,46,1155,0,0,251,9,0,0,0,-nan
Multihop 1 gateways,0.2,291,0,40,200000,43,292,49.6667,1155,0,0,291,9,0,1,0.999888,0.191423
LoraWAN 1 gateways,0.2,255,1,40,200000,43,256,46,1155,0,0,256,9,0,0,0,-nan
Multihop 1 gateways,0.2,290,0,40,200000,43,291,49.6667,1155,0,0,290,9,0,1,0.999993,0.165552
LoraWAN 1 gateways,0.2,258,3,40,200000,43,261,46,1155,0,0,261,9,0,0,0,-nan
Multihop 1 gateways,0.2,288,2,40,200000,43,291,49.6667,1155,0,0,290,8,0,1,0.999942,0.158247
LoraWAN 1 gateways,0.2,264,2,40,200000,43,266,46,1155,0,0,266,8,0,0,0,-nan
Multihop 1 gateways,0.2,287,2,40,200000,43,292,49.6667,1155,2,0,289,9,0,1,0.999794,0.16673
LoraWAN 1 gateways,0.2,264,0,40,200000,43,264,46,1155,0,0,264,9,0,0,0,-nan
Multihop 1 gateways,0.2,286,4,40,200000,43,292,49.6667,1155,0,0,290,9,1,1,0.999381,0.171698
LoraWAN 1 gateways,0.2,263,3,40,200000,43,266,46,1155,0,0,266,9,0,0,0,-nan
Multihop 1 gateways,0.2,285,4,40,200000,43,292,49.6667,1155,2,0,289,9,0,1,0.998946,0.156903
LoraWAN 1 gateways,0.2,263,1,40,200000,43,264,46,1155,0,0,264,9,0,0,0,-nan
