case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
LoraWAN 1 gateways,0.6,2414,79,90,1000000,215,7361,111044,46,0,4868,2493
LoraWAN 2 gateways,0.6,4987,78,90,1000000,215,7361,229402,46,0,7361,5065
LoraWAN 3 gateways,0.6,6456,119,90,1000000,215,7361,296976,46,0,7361,6546
Multihop 1 gateways,0.7,7505,698,90,1000000,215,8522,736690,185,448,0,8202
LoraWAN 1 gateways,0.7,2629,83,90,1000000,215,8035,120934,46,0,5322,2712
LoraWAN 2 gateways,0.7,5459,98,90,1000000,215,8035,251114,46,0,8034,5557
LoraWAN 3 gateways,0.7,7091,119,90,1000000,215,8035,326186,46,0,8034,7168
Multihop 1 gateways,0.8,8200,820,90,1000000,215,9307,798694,185,421,0,9021
LoraWAN 1 gateways,0.8,2788,125,90,1000000,215,8677,128248,46,0,5764,2913
LoraWAN 2 gateways,0.8,5851,95,90,1000000,215,8677,269146,46,0,8677,5946
LoraWAN 3 gateways,0.8,7620,135,90,1000000,215,8677,350520,46,0,8677,7703
Multihop 1 gateways,0.9,8897,782,90,1000000,215,9983,868117,185,433,0,9679
LoraWAN 1 gateways,0.9,3005,78,90,1000000,215,9263,138230,46,0,6180,3083
LoraWAN 2 gateways,0.9,6277,123,90,1000000,215,9263,288742,46,0,9263,6400
LoraWAN 3 gateways,0.9,8089,171,90,1000000,215,9263,372094,46,0,9263,8233
Multihop 1 gateways,1,9283,1015,90,1000000,215,10653,906463,185,534,0,10297
LoraWAN 1 gateways,1,3145,95,90,1000000,215,9792,144670,46,0,6552,3240
LoraWAN 2 gateways,1,6658,115,90,1000000,215,9792,306268,46,0,9792,6773
LoraWAN 3 gateways,1,8538,244,90,1000000,215,9792,392748,46,0,9792,8712
Multihop 1 gateways,0.1,1702,32,90,1000000,215,1741,195836,185,16,0,1734
LoraWAN 1 gateways,0.1,486,4,90,1000000,215,1739,22356,46,0,1249,490
LoraWAN 2 gateways,0.1,1114,5,90,1000000,215,1739,51244,46,0,1739,1119
LoraWAN 3 gateways,0.1,1617,8,90,1000000,215,1739,74382,46,0,1739,1624
Multihop 1 gateways,0.2,3058,157,90,1000000,215,3287,348876,185,152,0,3215
LoraWAN 1 gateways,0.2,922,6,90,1000000,215,3264,42412,46,0,2336,928
LoraWAN 2 gateways,0.2,2123,18,90,1000000,215,3264,97658,46,0,3264,2141
LoraWAN 3 gateways,0.2,3012,24,90,1000000,215,3264,138552,46,0,3264,3033
Multihop 1 gateways,0.3,4233,228,90,1000000,215,4568,481942,185,199,0,4462
LoraWAN 1 gateways,0.3,1277,8,90,1000000,215,4475,58742,46,0,3190,1285
LoraWAN 2 gateways,0.3,2791,33,90,1000000,215,4475,128386,46,0,4475,2824
LoraWAN 3 gateways,0.3,4084,50,90,1000000,215,4475,187864,46,0,4475,4126
Multihop 1 gateways,0.4,5411,164,90,1000000,215,5748,621568,185,275,0,5575
LoraWAN 1 gateways,0.4,1566,22,90,1000000,215,5587,72036,46,0,3999,1588
LoraWAN 2 gateways,0.4,3529,36,90,1000000,215,5587,162334,46,0,5587,3565
LoraWAN 3 gateways,0.4,5093,72,90,1000000,215,5587,234278,46,0,5587,5160
Multihop 1 gateways,0.5,6263,293,90,1000000,215,6789,705681,185,404,0,6556
LoraWAN 1 gateways,0.5,1822,24,90,1000000,215,6526,83812,46,0,4680,1846
LoraWAN 2 gateways,0.5,4066,71,90,1000000,215,6526,187036,46,0,6526,4137
LoraWAN 3 gateways,0.5,5915,103,90,1000000,215,6526,272090,46,0,6526,6006
Multihop 1 gateways,0.6,7011,500,90,1000000,215,7784,784450,185,407,0,7512
LoraWAN 1 gateways,0.6,2126,34,90,1000000,215,7361,97796,46,0,5201,2160
LoraWAN 2 gateways,0.6,4595,69,90,1000000,215,7361,211370,46,0,7361,4664
LoraWAN 3 gateways,0.6,6693,137,90,1000000,215,7361,307878,46,0,7361,6811
Multihop 1 gateways,0.7,7700,440,90,1000000,215,8612,848671,185,718,0,8139
LoraWAN 1 gateways,0.7,2257,53,90,1000000,215,8035,103822,46,0,5724,2310
LoraWAN 2 gateways,0.7,4997,82,90,1000000,215,8035,229862,46,0,8034,5079
LoraWAN 3 gateways,0.7,7296,131,90,1000000,215,8035,335616,46,0,8034,7410
Multihop 1 gateways,0.8,7836,999,90,1000000,215,9373,866062,185,1350,0,8835
LoraWAN 1 gateways,0.8,2446,66,90,1000000,215,8677,112516,46,0,6164,2513
LoraWAN 2 gateways,0.8,5453,118,90,1000000,215,8677,250838,46,0,8677,5571
LoraWAN 3 gateways,0.8,7851,174,90,1000000,215,8677,361146,46,0,8677,8008
Multihop 1 gateways,0.9,8499,1011,90,1000000,215,10110,927100,185,901,0,9510
LoraWAN 1 gateways,0.9,2584,66,90,1000000,215,9263,118864,46,0,6613,2650
LoraWAN 2 gateways,0.9,5753,135,90,1000000,215,9263,264638,46,0,9263,5888
LoraWAN 3 gateways,0.9,8352,205,90,1000000,215,9263,384192,46,0,9263,8532
Multihop 1 gateways,1,8980,1125,90,1000000,215,10752,976964,185,1756,0,10103
LoraWAN 1 gateways,1,2732,84,90,1000000,215,9792,125672,46,0,6976,2816
LoraWAN 2 gateways,1,6046,129,90,1000000,215,9792,278116,46,0,9792,6175
LoraWAN 3 gateways,1,8840,195,90,1000000,215,9792,406640,46,0,9792,9012
Multihop 1 gateways,0.1,1717,14,90,1000000,215,1740,188406,231,11,0,1731
LoraWAN 1 gateways,0.1,594,2,90,1000000,215,1739,27324,46,0,1143,596
LoraWAN 2 gateways,0.1,1178,7,90,1000000,215,1739,54188,46,0,1739,1185
LoraWAN 3 gateways,0.1,1703,16,90,1000000,215,1739,78338,46,0,1739,1718
Multihop 1 gateways,0.2,3153,108,90,1000000,215,3292,340590,231,61,0,3262
LoraWAN 1 gateways,0.2,1070,6,90,1000000,215,3264,49220,46,0,2188,1076
LoraWAN 2 gateways,0.2,2209,10,90,1000000,215,3264,101614,46,0,3264,2219
LoraWAN 3 gateways,0.2,3197,38,90,1000000,215,3264,147062,46,0,3264,3224
Multihop 1 gateways,0.3,4362,119,90,1000000,215,4560,480652,231,116,0,4481
LoraWAN 1 gateways,0.3,1503,14,90,1000000,215,4475,69138,46,0,2958,1517
LoraWAN 2 gateways,0.3,2982,32,90,1000000,215,4475,137172,46,0,4475,3014
LoraWAN 3 gateways,0.3,4361,82,90,1000000,215,4475,200606,46,0,4475,4435
Multihop 1 gateways,0.4,5413,210,90,1000000,215,5752,588853,231,267,0,5623
LoraWAN 1 gateways,0.4,1873,44,90,1000000,215,5587,86158,46,0,3670,1917
LoraWAN 2 gateways,0.4,3693,62,90,1000000,215,5587,169878,46,0,5587,3755
LoraWAN 3 gateways,0.4,5446,101,90,1000000,215,5587,250516,46,0,5587,5527
Multihop 1 gateways,0.5,6299,341,90,1000000,215,6794,676994,231,377,0,6640
LoraWAN 1 gateways,0.5,2214,61,90,1000000,215,6526,101844,46,0,4251,2275
LoraWAN 2 gateways,0.5,4321,63,90,1000000,215,6526,198766,46,0,6526,4384
LoraWAN 3 gateways,0.5,6337,137,90,1000000,215,6526,291502,46,0,6526,6457
Multihop 1 gateways,0.6,7104,459,90,1000000,215,7784,767784,231,323,0,7563
LoraWAN 1 gateways,0.6,2501,72,90,1000000,215,7361,115046,46,0,4788,2573
LoraWAN 2 gateways,0.6,4940,83,90,1000000,215,7361,227240,46,0,7361,5023
LoraWAN 3 gateways,0.6,7154,150,90,1000000,215,7361,329084,46,0,7361,7282
Multihop 1 gateways,0.7,7474,877,90,1000000,215,8616,801577,231,619,0,8351
LoraWAN 1 gateways,0.7,2699,72,90,1000000,215,8035,124154,46,0,5263,2771
LoraWAN 2 gateways,0.7,5355,98,90,1000000,215,8035,246330,46,0,8034,5453
LoraWAN 3 gateways,0.7,7745,228,90,1000000,215,8035,356270,46,0,8034,7944
Multihop 1 gateways,0.8,8373,690,90,1000000,215,9391,894814,231,774,0,9063
LoraWAN 1 gateways,0.8,2888,93,90,1000000,215,8677,132848,46,0,5696,2981
LoraWAN 2 gateways,0.8,5781,97,90,1000000,215,8677,265926,46,0,8677,5878
LoraWAN 3 gateways,0.8,8388,220,90,1000000,215,8677,385848,46,0,8677,8587
Multihop 1 gateways,0.9,8970,748,90,1000000,215,10090,957529,231,657,0,9717
LoraWAN 1 gateways,0.9,3066,124,90,1000000,215,9263,141036,46,0,6073,3190
LoraWAN 2 gateways,0.9,6152,133,90,1000000,215,9263,282992,46,0,9263,6285
LoraWAN 3 gateways,0.9,8902,284,90,1000000,215,9263,409492,46,0,9263,9148
Multihop 1 gateways,1,9697,624,90,1000000,215,10768,1036396,231,994,0,10322
LoraWAN 1 gateways,1,3268,110,90,1000000,215,9792,150328,46,0,6414,3378
LoraWAN 2 gateways,1,6451,163,90,1000000,215,9792,296746,46,0,9792,6614
LoraWAN 3 gateways,1,9424,284,90,1000000,215,9792,433504,46,0,9792,9682
