case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay,interference_in_node,out_of_range_in_ge,in_range_in_ge
LoraWAN 1 gateways,0.8,3257,117,90,1000000,215,8677,149822,46,0,5303,3374
LoraWAN 2 gateways,0.8,6450,137,90,1000000,215,8677,296700,46,0,8677,6588
LoraWAN 3 gateways,0.8,7938,194,90,1000000,215,8677,365148,46,0,8677,8101
Multihop 1 gateways,0.9,8747,824,90,1000000,215,9916,851697,231,689,0,9571
LoraWAN 1 gateways,0.9,3476,131,90,1000000,215,9263,159896,46,0,5656,3607
LoraWAN 2 gateways,0.9,6805,183,90,1000000,215,9263,313030,46,0,9263,6988
LoraWAN 3 gateways,0.9,8477,219,90,1000000,215,9263,389942,46,0,9263,8653
Multihop 1 gateways,1,9322,807,90,1000000,215,10618,918104,231,788,0,10128
LoraWAN 1 gateways,1,3624,149,90,1000000,215,9792,166704,46,0,6019,3773
LoraWAN 2 gateways,1,7242,160,90,1000000,215,9792,333132,46,0,9792,7402
LoraWAN 3 gateways,1,9002,186,90,1000000,215,9792,414092,46,0,9792,9135
Multihop 1 gateways,0.1,1705,18,90,1000000,215,1741,177550,185,24,0,1723
LoraWAN 1 gateways,0.1,609,0,90,1000000,215,1739,28014,46,0,1130,609
LoraWAN 2 gateways,0.1,1296,4,90,1000000,215,1739,59616,46,0,1739,1300
LoraWAN 3 gateways,0.1,1734,5,90,1000000,215,1739,79764,46,0,1739,1739
Multihop 1 gateways,0.2,3185,70,90,1000000,215,3289,332598,185,64,0,3255
LoraWAN 1 gateways,0.2,1139,14,90,1000000,215,3264,52394,46,0,2111,1153
LoraWAN 2 gateways,0.2,2395,20,90,1000000,215,3264,110170,46,0,3264,2415
LoraWAN 3 gateways,0.2,3248,19,90,1000000,215,3264,149408,46,0,3264,3264
Multihop 1 gateways,0.3,4308,170,90,1000000,215,4555,448376,185,128,0,4478
LoraWAN 1 gateways,0.3,1560,26,90,1000000,215,4475,71760,46,0,2889,1586
LoraWAN 2 gateways,0.3,3336,20,90,1000000,215,4475,153456,46,0,4475,3356
LoraWAN 3 gateways,0.3,4445,34,90,1000000,215,4475,204470,46,0,4475,4475
Multihop 1 gateways,0.4,5352,248,90,1000000,215,5751,553119,185,185,0,5602
LoraWAN 1 gateways,0.4,1922,54,90,1000000,215,5587,88412,46,0,3611,1976
LoraWAN 2 gateways,0.4,4105,50,90,1000000,215,5587,188830,46,0,5587,4155
LoraWAN 3 gateways,0.4,5529,66,90,1000000,215,5587,254334,46,0,5587,5587
Multihop 1 gateways,0.5,6203,435,90,1000000,215,6777,635880,185,222,0,6638
LoraWAN 1 gateways,0.5,2274,59,90,1000000,215,6526,104604,46,0,4193,2333
LoraWAN 2 gateways,0.5,4794,83,90,1000000,215,6526,220524,46,0,6526,4877
LoraWAN 3 gateways,0.5,6430,114,90,1000000,215,6526,295780,46,0,6526,6526
Multihop 1 gateways,0.6,6959,587,90,1000000,215,7732,702594,185,303,0,7547
LoraWAN 1 gateways,0.6,2602,53,90,1000000,215,7361,119692,46,0,4706,2655
LoraWAN 2 gateways,0.6,5381,109,90,1000000,215,7361,247526,46,0,7361,5490
LoraWAN 3 gateways,0.6,7246,137,90,1000000,215,7361,333316,46,0,7361,7361
Multihop 1 gateways,0.7,7645,632,90,1000000,215,8568,782301,185,452,0,8277
LoraWAN 1 gateways,0.7,2722,103,90,1000000,215,8035,125212,46,0,5209,2825
LoraWAN 2 gateways,0.7,5916,104,90,1000000,215,8035,272136,46,0,8034,6020
LoraWAN 3 gateways,0.7,7907,157,90,1000000,215,8035,363722,46,0,8034,8034
Multihop 1 gateways,0.8,8291,707,90,1000000,215,9334,841921,185,652,0,8998
LoraWAN 1 gateways,0.8,2982,111,90,1000000,215,8677,137172,46,0,5583,3094
LoraWAN 2 gateways,0.8,6313,135,90,1000000,215,8677,290398,46,0,8677,6448
LoraWAN 3 gateways,0.8,8502,210,90,1000000,215,8677,391092,46,0,8677,8677
Multihop 1 gateways,0.9,8849,847,90,1000000,215,10045,898754,185,604,0,9696
LoraWAN 1 gateways,0.9,3212,67,90,1000000,215,9263,147752,46,0,5984,3279
LoraWAN 2 gateways,0.9,6767,114,90,1000000,215,9263,311282,46,0,9263,6881
LoraWAN 3 gateways,0.9,9116,176,90,1000000,215,9263,419336,46,0,9263,9263
Multihop 1 gateways,1,9117,1141,90,1000000,215,10702,916214,185,845,0,10259
LoraWAN 1 gateways,1,3328,122,90,1000000,215,9792,153088,46,0,6342,3450
LoraWAN 2 gateways,1,7146,145,90,1000000,215,9792,328716,46,0,9792,7291
LoraWAN 3 gateways,1,9612,199,90,1000000,215,9792,442152,46,0,9792,9792
Multihop 1 gateways,0.1,1709,24,90,1000000,215,1740,180870,231,19,0,1733
LoraWAN 1 gateways,0.1,590,8,90,1000000,215,1739,27140,46,0,1141,598
LoraWAN 2 gateways,0.1,1334,14,90,1000000,215,1739,61364,46,0,1739,1348
LoraWAN 3 gateways,0.1,1515,5,90,1000000,215,1739,69690,46,0,1739,1520
Multihop 1 gateways,0.2,3158,97,90,1000000,215,3286,328836,231,48,0,3255
LoraWAN 1 gateways,0.2,1135,14,90,1000000,215,3264,52210,46,0,2115,1149
LoraWAN 2 gateways,0.2,2497,22,90,1000000,215,3264,114862,46,0,3264,2519
LoraWAN 3 gateways,0.2,2822,13,90,1000000,215,3264,129812,46,0,3264,2835
Multihop 1 gateways,0.3,4307,162,90,1000000,215,4554,447201,231,138,0,4469
LoraWAN 1 gateways,0.3,1556,18,90,1000000,215,4475,71576,46,0,2901,1574
LoraWAN 2 gateways,0.3,3423,42,90,1000000,215,4475,157458,46,0,4475,3465
LoraWAN 3 gateways,0.3,3906,24,90,1000000,215,4475,179676,46,0,4475,3930
Multihop 1 gateways,0.4,5340,291,90,1000000,215,5743,551736,231,276,0,5631
LoraWAN 1 gateways,0.4,1961,30,90,1000000,215,5587,90206,46,0,3596,1991
LoraWAN 2 gateways,0.4,4316,62,90,1000000,215,5587,198536,46,0,5587,4378
LoraWAN 3 gateways,0.4,4876,59,90,1000000,215,5587,224296,46,0,5587,4935
Multihop 1 gateways,0.5,6157,522,90,1000000,215,6791,629181,231,270,0,6679
LoraWAN 1 gateways,0.5,2264,62,90,1000000,215,6526,104144,46,0,4200,2326
LoraWAN 2 gateways,0.5,4994,117,90,1000000,215,6526,229724,46,0,6526,5111
LoraWAN 3 gateways,0.5,5695,76,90,1000000,215,6526,261970,46,0,6526,5771
Multihop 1 gateways,0.6,6999,445,90,1000000,215,7732,712966,231,441,0,7444
LoraWAN 1 gateways,0.6,2574,85,90,1000000,215,7361,118404,46,0,4702,2659
LoraWAN 2 gateways,0.6,5611,115,90,1000000,215,7361,258106,46,0,7361,5726
LoraWAN 3 gateways,0.6,6383,91,90,1000000,215,7361,293618,46,0,7361,6474
Multihop 1 gateways,0.7,7761,566,90,1000000,215,8585,794245,231,464,0,8327
LoraWAN 1 gateways,0.7,2788,75,90,1000000,215,8035,128248,46,0,5171,2863
LoraWAN 2 gateways,0.7,6161,109,90,1000000,215,8035,283406,46,0,8034,6270
LoraWAN 3 gateways,0.7,6957,113,90,1000000,215,8035,320022,46,0,8034,7070
Multihop 1 gateways,0.8,8607,509,90,1000000,215,9363,880042,231,480,0,9116
LoraWAN 1 gateways,0.8,3001,84,90,1000000,215,8677,138046,46,0,5592,3085
