case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
LoraWAN 3 gateways,1,36215,43161,200,2000000,431.63,43162,1702105,492.428
Multihop 1 gateways,0.1,1135,3013,200,2000000,71.9383,4148,170657,492.428
LoraWAN 1 gateways,0.1,650,7180,200,2000000,431.63,7830,30550,492.428
LoraWAN 2 gateways,0.1,4323,7830,200,2000000,431.63,7830,203181,492.428
LoraWAN 3 gateways,0.1,5803,7830,200,2000000,431.63,7830,272741,492.428
Multihop 1 gateways,0.2,2185,4767,200,2000000,61.6614,6953,316263,492.428
LoraWAN 1 gateways,0.2,1277,13126,200,2000000,431.63,14403,60019,492.428
LoraWAN 2 gateways,0.2,6140,14403,200,2000000,431.63,14403,288580,492.428
LoraWAN 3 gateways,0.2,10528,14403,200,2000000,431.63,14403,494816,492.428
Multihop 1 gateways,0.3,3469,9435,200,2000000,71.9383,12906,573400,492.428
LoraWAN 1 gateways,0.3,2767,17212,200,2000000,431.63,19979,130049,492.428
LoraWAN 2 gateways,0.3,7427,19979,200,2000000,431.63,19979,349069,492.428
LoraWAN 3 gateways,0.3,16121,19979,200,2000000,431.63,19979,757687,492.428
Multihop 1 gateways,0.4,4112,9074,200,2000000,71.9383,13186,531194,492.428
LoraWAN 1 gateways,0.4,2147,22634,200,2000000,431.63,24781,100909,492.428
LoraWAN 2 gateways,0.4,15756,24781,200,2000000,431.63,24781,740532,492.428
LoraWAN 3 gateways,0.4,13460,24781,200,2000000,431.63,24781,632620,492.428
Multihop 1 gateways,0.5,3772,11371,200,2000000,47.9589,15143,677082,492.428
LoraWAN 1 gateways,0.5,3730,25220,200,2000000,431.63,28950,175310,492.428
LoraWAN 2 gateways,0.5,19319,28950,200,2000000,431.63,28950,907993,492.428
LoraWAN 3 gateways,0.5,17849,28950,200,2000000,431.63,28950,838903,492.428
Multihop 1 gateways,0.6,3973,11736,200,2000000,47.9589,15712,632432,492.428
LoraWAN 1 gateways,0.6,2626,29926,200,2000000,431.63,32552,123422,492.428
LoraWAN 2 gateways,0.6,13116,32552,200,2000000,431.63,32552,616452,492.428
LoraWAN 3 gateways,0.6,27460,32552,200,2000000,431.63,32552,1290620,492.428
Multihop 1 gateways,0.7,5673,19893,200,2000000,61.6614,25567,1085606,492.428
LoraWAN 1 gateways,0.7,4161,31459,200,2000000,431.63,35620,195567,492.428
LoraWAN 2 gateways,0.7,10580,35620,200,2000000,431.63,35620,497260,492.428
LoraWAN 3 gateways,0.7,27861,35620,200,2000000,431.63,35620,1309467,492.428
Multihop 1 gateways,0.8,6317,17354,200,2000000,61.6614,23672,978211,492.428
LoraWAN 1 gateways,0.8,3913,34550,200,2000000,431.63,38465,183911,492.428
LoraWAN 2 gateways,0.8,28825,38463,200,2000000,431.63,38465,1354775,492.428
LoraWAN 3 gateways,0.8,29508,38463,200,2000000,431.63,38465,1386876,492.428
Multihop 1 gateways,0.9,6851,22064,200,2000000,61.6614,28915,1172885,492.428
LoraWAN 1 gateways,0.9,3229,37726,200,2000000,431.63,40958,151763,492.428
LoraWAN 2 gateways,0.9,34760,40955,200,2000000,431.63,40958,1633720,492.428
LoraWAN 3 gateways,0.9,30447,40955,200,2000000,431.63,40958,1431009,492.428
Multihop 1 gateways,1,6748,22319,200,2000000,53.9537,29067,1221671,492.428
LoraWAN 1 gateways,1,3728,39433,200,2000000,431.63,43162,175216,492.428
LoraWAN 2 gateways,1,31840,43161,200,2000000,431.63,43162,1496480,492.428
LoraWAN 3 gateways,1,34793,43161,200,2000000,431.63,43162,1635271,492.428
Multihop 1 gateways,0.1,985,2945,200,2000000,61.6614,3930,165158,492.428
LoraWAN 1 gateways,0.1,922,6908,200,2000000,431.63,7830,43334,492.428
LoraWAN 2 gateways,0.1,6901,7830,200,2000000,431.63,7830,324347,492.428
LoraWAN 3 gateways,0.1,7068,7830,200,2000000,431.63,7830,332196,492.428
Multihop 1 gateways,0.2,2063,4884,200,2000000,61.6614,6947,305265,492.428
LoraWAN 1 gateways,0.2,1667,12736,200,2000000,431.63,14403,78349,492.428
LoraWAN 2 gateways,0.2,3888,14403,200,2000000,431.63,14403,182736,492.428
LoraWAN 3 gateways,0.2,6243,14403,200,2000000,431.63,14403,293421,492.428
Multihop 1 gateways,0.3,2275,6096,200,2000000,47.9589,8371,329470,492.428
LoraWAN 1 gateways,0.3,1870,18109,200,2000000,431.63,19979,87890,492.428
LoraWAN 2 gateways,0.3,16541,19979,200,2000000,431.63,19979,777427,492.428
LoraWAN 3 gateways,0.3,14650,19979,200,2000000,431.63,19979,688550,492.428
Multihop 1 gateways,0.4,3956,10013,200,2000000,61.6614,13969,622609,492.428
LoraWAN 1 gateways,0.4,1859,22922,200,2000000,431.63,24781,87373,492.428
LoraWAN 2 gateways,0.4,17944,24781,200,2000000,431.63,24781,843368,492.428
LoraWAN 3 gateways,0.4,13727,24781,200,2000000,431.63,24781,645169,492.428
Multihop 1 gateways,0.5,4862,13361,200,2000000,71.9383,18224,752799,492.428
LoraWAN 1 gateways,0.5,1827,27123,200,2000000,431.63,28950,85869,492.428
LoraWAN 2 gateways,0.5,20564,28950,200,2000000,431.63,28950,966508,492.428
LoraWAN 3 gateways,0.5,17120,28950,200,2000000,431.63,28950,804640,492.428
Multihop 1 gateways,0.6,4180,16838,200,2000000,61.6614,21018,713977,492.428
LoraWAN 1 gateways,0.6,3198,29354,200,2000000,431.63,32552,150306,492.428
LoraWAN 2 gateways,0.6,16779,32552,200,2000000,431.63,32552,788613,492.428
LoraWAN 3 gateways,0.6,31089,32552,200,2000000,431.63,32552,1461183,492.428
Multihop 1 gateways,0.7,5707,16110,200,2000000,61.6614,21817,898076,492.428
LoraWAN 1 gateways,0.7,3144,32476,200,2000000,431.63,35620,147768,492.428
LoraWAN 2 gateways,0.7,8751,35620,200,2000000,431.63,35620,411297,492.428
LoraWAN 3 gateways,0.7,24156,35620,200,2000000,431.63,35620,1135332,492.428
Multihop 1 gateways,0.8,6895,21110,200,2000000,71.9383,28006,1131290,492.428
LoraWAN 1 gateways,0.8,3222,35241,200,2000000,431.63,38465,151434,492.428
LoraWAN 2 gateways,0.8,7344,38463,200,2000000,431.63,38465,345168,492.428
LoraWAN 3 gateways,0.8,36076,38463,200,2000000,431.63,38465,1695572,492.428
Multihop 1 gateways,0.9,7639,26229,200,2000000,86.326,33870,1189946,492.428
LoraWAN 1 gateways,0.9,4207,36748,200,2000000,431.63,40958,197729,492.428
LoraWAN 2 gateways,0.9,15966,40955,200,2000000,431.63,40958,750402,492.428
LoraWAN 3 gateways,0.9,15500,40955,200,2000000,431.63,40958,728500,492.428
Multihop 1 gateways,1,8937,25064,200,2000000,71.9383,34002,1466588,492.428
LoraWAN 1 gateways,1,3534,39627,200,2000000,431.63,43162,166098,492.428
LoraWAN 2 gateways,1,14806,43161,200,2000000,431.63,43162,695882,492.428
LoraWAN 3 gateways,1,36504,43161,200,2000000,431.63,43162,1715688,492.428
Multihop 1 gateways,0.1,769,2679,200,2000000,53.9537,3448,128028,492.428
LoraWAN 1 gateways,0.1,606,7224,200,2000000,431.63,7830,28482,492.428
LoraWAN 2 gateways,0.1,3841,7830,200,2000000,431.63,7830,180527,492.428
LoraWAN 3 gateways,0.1,6269,7830,200,2000000,431.63,7830,294643,492.428
Multihop 1 gateways,0.2,2504,6400,200,2000000,71.9383,8904,400158,492.428
LoraWAN 1 gateways,0.2,1142,13261,200,2000000,431.63,14403,53674,492.428
LoraWAN 2 gateways,0.2,5035,14403,200,2000000,431.63,14403,236645,492.428
LoraWAN 3 gateways,0.2,12925,14403,200,2000000,431.63,14403,607475,492.428
Multihop 1 gateways,0.3,3882,10446,200,2000000,86.326,14328,610812,492.428
LoraWAN 1 gateways,0.3,2362,17617,200,2000000,431.63,19979,111014,492.428
LoraWAN 2 gateways,0.3,1827,19979,200,2000000,431.63,19979,85869,492.428
LoraWAN 3 gateways,0.3,13813,19979,200,2000000,431.63,19979,649211,492.428
Multihop 1 gateways,0.4,4152,11828,200,2000000,71.9383,15981,672006,492.428
LoraWAN 1 gateways,0.4,1900,22881,200,2000000,431.63,24781,89300,492.428
LoraWAN 2 gateways,0.4,9083,24781,200,2000000,431.63,24781,426901,492.428
LoraWAN 3 gateways,0.4,19492,24781,200,2000000,431.63,24781,916124,492.428
Multihop 1 gateways,0.5,5247,13558,200,2000000,71.9383,18805,822030,492.428
LoraWAN 1 gateways,0.5,3057,25893,200,2000000,431.63,28950,143679,492.428
LoraWAN 2 gateways,0.5,10077,28950,200,2000000,431.63,28950,473619,492.428
LoraWAN 3 gateways,0.5,24900,28950,200,2000000,431.63,28950,1170300,492.428
Multihop 1 gateways,0.6,4463,13813,200,2000000,53.9537,18278,772022,492.428
LoraWAN 1 gateways,0.6,3398,29154,200,2000000,431.63,32552,159706,492.428
LoraWAN 2 gateways,0.6,14641,32552,200,2000000,431.63,32552,688127,492.428
LoraWAN 3 gateways,0.6,19595,32552,200,2000000,431.63,32552,920965,492.428
Multihop 1 gateways,0.7,4242,16320,200,2000000,53.9537,20563,722578,492.428
LoraWAN 1 gateways,0.7,3617,32003,200,2000000,431.63,35620,169999,492.428
LoraWAN 2 gateways,0.7,6163,35620,200,2000000,431.63,35620,289661,492.428
LoraWAN 3 gateways,0.7,30617,35620,200,2000000,431.63,35620,1438999,492.428
Multihop 1 gateways,0.8,7419,20325,200,2000000,71.9383,27744,1169219,492.428
LoraWAN 1 gateways,0.8,3258,35205,200,2000000,431.63,38465,153126,492.428
LoraWAN 2 gateways,0.8,22622,38463,200,2000000,431.63,38465,1063234,492.428
LoraWAN 3 gateways,0.8,27319,38463,200,2000000,431.63,38465,1283993,492.428
Multihop 1 gateways,0.9,6408,18637,200,2000000,53.9537,25045,1060978,492.428
LoraWAN 1 gateways,0.9,4118,36837,200,2000000,431.63,40958,193546,492.428
LoraWAN 2 gateways,0.9,22600,40955,200,2000000,431.63,40958,1062200,492.428
LoraWAN 3 gateways,0.9,19852,40955,200,2000000,431.63,40958,933044,492.428
Multihop 1 gateways,1,6342,20503,200,2000000,53.9537,26847,1071600,492.428
LoraWAN 1 gateways,1,2611,40550,200,2000000,431.63,43162,122717,492.428
LoraWAN 2 gateways,1,19022,43161,200,2000000,431.63,43162,894034,492.428
LoraWAN 3 gateways,1,28935,43161,200,2000000,431.63,43162,1359945,492.428
Multihop 1 gateways,0.1,1531,3821,200,2000000,86.326,5352,238854,492.428
LoraWAN 1 gateways,0.1,854,6976,200,2000000,431.63,7830,40138,492.428
LoraWAN 2 gateways,0.1,5253,7830,200,2000000,431.63,7830,246891,492.428
LoraWAN 3 gateways,0.1,7755,7830,200,2000000,431.63,7830,364485,492.428
Multihop 1 gateways,0.2,2836,6699,200,2000000,86.326,9536,413271,492.428
LoraWAN 1 gateways,0.2,1268,13135,200,2000000,431.63,14403,59596,492.428
LoraWAN 2 gateways,0.2,8629,14403,200,2000000,431.63,14403,405563,492.428
LoraWAN 3 gateways,0.2,10095,14403,200,2000000,431.63,14403,474465,492.428
Multihop 1 gateways,0.3,2105,6280,200,2000000,43.163,8385,362558,492.428
LoraWAN 1 gateways,0.3,2881,17098,200,2000000,431.63,19979,135407,492.428
LoraWAN 2 gateways,0.3,10921,19979,200,2000000,431.63,19979,513287,492.428
LoraWAN 3 gateways,0.3,18430,19979,200,2000000,431.63,19979,866210,492.428
Multihop 1 gateways,0.4,3093,6346,200,2000000,47.9589,9439,411955,492.428
LoraWAN 1 gateways,0.4,2484,22297,200,2000000,431.63,24781,116748,492.428
LoraWAN 2 gateways,0.4,6023,24781,200,2000000,431.63,24781,283081,492.428
LoraWAN 3 gateways,0.4,22436,24781,200,2000000,431.63,24781,1054492,492.428
Multihop 1 gateways,0.5,5421,11023,200,2000000,71.9383,16445,717361,492.428
LoraWAN 1 gateways,0.5,1964,26986,200,2000000,431.63,28950,92308,492.428
LoraWAN 2 gateways,0.5,17657,28950,200,2000000,431.63,28950,829879,492.428
LoraWAN 3 gateways,0.5,21994,28950,200,2000000,431.63,28950,1033718,492.428
Multihop 1 gateways,0.6,3711,15581,200,2000000,53.9537,19294,659598,492.428
LoraWAN 1 gateways,0.6,3318,29234,200,2000000,431.63,32552,155946,492.428
LoraWAN 2 gateways,0.6,21302,32552,200,2000000,431.63,32552,1001194,492.428
LoraWAN 3 gateways,0.6,25131,32552,200,2000000,431.63,32552,1181157,492.428
Multihop 1 gateways,0.7,7811,17991,200,2000000,86.326,25803,1063328,492.428
LoraWAN 1 gateways,0.7,3211,32409,200,2000000,431.63,35620,150917,492.428
LoraWAN 2 gateways,0.7,26424,35620,200,2000000,431.63,35620,1241928,492.428
LoraWAN 3 gateways,0.7,29918,35620,200,2000000,431.63,35620,1406146,492.428
Multihop 1 gateways,0.8,5868,19602,200,2000000,53.9537,25470,1079919,492.428
LoraWAN 1 gateways,0.8,4376,34087,200,2000000,431.63,38465,205672,492.428
LoraWAN 2 gateways,0.8,29720,38463,200,2000000,431.63,38465,1396840,492.428
LoraWAN 3 gateways,0.8,29221,38463,200,2000000,431.63,38465,1373387,492.428
Multihop 1 gateways,0.9,6639,18374,200,2000000,53.9537,25013,1085371,492.428
LoraWAN 1 gateways,0.9,4060,36895,200,2000000,431.63,40958,190820,492.428
LoraWAN 2 gateways,0.9,26404,40955,200,2000000,431.63,40958,1240988,492.428
LoraWAN 3 gateways,0.9,32728,40955,200,2000000,431.63,40958,1538216,492.428
Multihop 1 gateways,1,6867,19531,200,2000000,53.9537,26399,1073856,492.428
LoraWAN 1 gateways,1,4224,38937,200,2000000,431.63,43162,198528,492.428
LoraWAN 2 gateways,1,26984,43161,200,2000000,431.63,43162,1268248,492.428
LoraWAN 3 gateways,1,30124,43161,200,2000000,431.63,43162,1415828,492.428
Multihop 1 gateways,0.1,1051,2427,200,2000000,61.6614,3478,149648,492.428
LoraWAN 1 gateways,0.1,625,7205,200,2000000,431.63,7830,29375,492.428
LoraWAN 2 gateways,0.1,4746,7830,200,2000000,431.63,7830,223062,492.428
LoraWAN 3 gateways,0.1,7001,7830,200,2000000,431.63,7830,329047,492.428
Multihop 1 gateways,0.2,2253,5544,200,2000000,71.9383,7797,320164,492.428
LoraWAN 1 gateways,0.2,1434,12969,200,2000000,431.63,14403,67398,492.428
LoraWAN 2 gateways,0.2,9179,14403,200,2000000,431.63,14403,431413,492.428
LoraWAN 3 gateways,0.2,10965,14403,200,2000000,431.63,14403,515355,492.428
Multihop 1 gateways,0.3,3430,7491,200,2000000,71.9383,10922,473149,492.428
LoraWAN 1 gateways,0.3,1906,18073,200,2000000,431.63,19979,89582,492.428
LoraWAN 2 gateways,0.3,10886,19979,200,2000000,431.63,19979,511642,492.428
LoraWAN 3 gateways,0.3,15491,19979,200,2000000,431.63,19979,728077,492.428
Multihop 1 gateways,0.4,3578,11530,200,2000000,61.6614,15108,648036,492.428
LoraWAN 1 gateways,0.4,2023,22758,200,2000000,431.63,24781,95081,492.428
LoraWAN 2 gateways,0.4,17231,24781,200,2000000,431.63,24781,809857,492.428
LoraWAN 3 gateways,0.4,18486,24781,200,2000000,431.63,24781,868842,492.428
Multihop 1 gateways,0.5,5178,13694,200,2000000,71.9383,18872,814510,492.428
LoraWAN 1 gateways,0.5,2554,26396,200,2000000,431.63,28950,120038,492.428
LoraWAN 2 gateways,0.5,11775,28950,200,2000000,431.63,28950,553425,492.428
LoraWAN 3 gateways,0.5,13037,28950,200,2000000,431.63,28950,612739,492.428
Multihop 1 gateways,0.6,5153,16391,200,2000000,71.9383,21544,810656,492.428
LoraWAN 1 gateways,0.6,3318,29234,200,2000000,431.63,32552,155946,492.428
LoraWAN 2 gateways,0.6,23459,32552,200,2000000,431.63,32552,1102573,492.428
LoraWAN 3 gateways,0.6,22388,32552,200,2000000,431.63,32552,1052236,492.428
Multihop 1 gateways,0.7,5676,18169,200,2000000,61.6614,23845,985590,492.428
LoraWAN 1 gateways,0.7,2382,33238,200,2000000,431.63,35620,111954,492.428
LoraWAN 2 gateways,0.7,18088,35620,200,2000000,431.63,35620,850136,492.428
LoraWAN 3 gateways,0.7,27298,35620,200,2000000,431.63,35620,1283006,492.428
Multihop 1 gateways,0.8,8668,23422,200,2000000,86.326,32091,1369486,492.428
LoraWAN 1 gateways,0.8,3081,35382,200,2000000,431.63,38465,144807,492.428
LoraWAN 2 gateways,0.8,11382,38463,200,2000000,431.63,38465,534954,492.428
LoraWAN 3 gateways,0.8,26018,38463,200,2000000,431.63,38465,1222846,492.428
Multihop 1 gateways,0.9,5624,15193,200,2000000,47.9589,20817,822688,492.428
LoraWAN 1 gateways,0.9,3664,37291,200,2000000,431.63,40958,172208,492.428
LoraWAN 2 gateways,0.9,20653,40955,200,2000000,431.63,40958,970691,492.428
LoraWAN 3 gateways,0.9,35506,40955,200,2000000,431.63,40958,1668782,492.428
Multihop 1 gateways,1,6241,22061,200,2000000,61.6614,28303,1074373,492.428
LoraWAN 1 gateways,1,4267,38894,200,2000000,431.63,43162,200549,492.428
LoraWAN 2 gateways,1,22870,43161,200,2000000,431.63,43162,1074890,492.428
LoraWAN 3 gateways,1,26239,43161,200,2000000,431.63,43162,1233233,492.428
Multihop 1 gateways,0.1,1025,3001,200,2000000,61.6614,4026,174464,492.428
LoraWAN 1 gateways,0.1,824,7006,200,2000000,431.63,7830,38728,492.428
LoraWAN 2 gateways,0.1,5243,7830,200,2000000,431.63,7830,246421,492.428
LoraWAN 3 gateways,0.1,5090,7830,200,2000000,431.63,7830,239230,492.428
Multihop 1 gateways,0.2,1716,4533,200,2000000,47.9589,6249,281201,492.428
LoraWAN 1 gateways,0.2,1487,12916,200,2000000,431.63,14403,69889,492.428
LoraWAN 2 gateways,0.2,10983,14403,200,2000000,431.63,14403,516201,492.428
LoraWAN 3 gateways,0.2,12326,14403,200,2000000,431.63,14403,579322,492.428
Multihop 1 gateways,0.3,2696,6337,200,2000000,53.9537,9033,401239,492.428
LoraWAN 1 gateways,0.3,1885,18094,200,2000000,431.63,19979,88595,492.428
LoraWAN 2 gateways,0.3,13108,19979,200,2000000,431.63,19979,616076,492.428
LoraWAN 3 gateways,0.3,16565,19979,200,2000000,431.63,19979,778555,492.428
Multihop 1 gateways,0.4,4583,10321,200,2000000,71.9383,14906,668998,492.428
LoraWAN 1 gateways,0.4,1956,22825,200,2000000,431.63,24781,91932,492.428
LoraWAN 2 gateways,0.4,14678,24781,200,2000000,431.63,24781,689866,492.428
LoraWAN 3 gateways,0.4,21911,24781,200,2000000,431.63,24781,1029817,492.428
Multihop 1 gateways,0.5,4780,13248,200,2000000,71.9383,18028,723095,492.428
LoraWAN 1 gateways,0.5,2503,26447,200,2000000,431.63,28950,117641,492.428
LoraWAN 2 gateways,0.5,15266,28950,200,2000000,431.63,28950,717502,492.428
LoraWAN 3 gateways,0.5,23293,28950,200,2000000,431.63,28950,1094771,492.428
Multihop 1 gateways,0.6,3733,14514,200,2000000,61.6614,18249,542051,492.428
LoraWAN 1 gateways,0.6,2165,30387,200,2000000,431.63,32552,101755,492.428
LoraWAN 2 gateways,0.6,14047,32552,200,2000000,431.63,32552,660209,492.428
LoraWAN 3 gateways,0.6,16833,32552,200,2000000,431.63,32552,791151,492.428
Multihop 1 gateways,0.7,7294,22504,200,2000000,86.326,29799,1184118,492.428
LoraWAN 1 gateways,0.7,3160,32460,200,2000000,431.63,35620,148520,492.428
LoraWAN 2 gateways,0.7,20509,35620,200,2000000,431.63,35620,963923,492.428
LoraWAN 3 gateways,0.7,18004,35620,200,2000000,431.63,35620,846188,492.428
Multihop 1 gateways,0.8,6646,17543,200,2000000,61.6614,24190,1033295,492.428
LoraWAN 1 gateways,0.8,3661,34802,200,2000000,431.63,38465,172067,492.428
LoraWAN 2 gateways,0.8,20680,38463,200,2000000,431.63,38465,971960,492.428
LoraWAN 3 gateways,0.8,26562,38463,200,2000000,431.63,38465,1248414,492.428
Multihop 1 gateways,0.9,7612,26396,200,2000000,86.326,34008,1211096,492.428
LoraWAN 1 gateways,0.9,3769,37186,200,2000000,431.63,40958,177143,492.428
LoraWAN 2 gateways,0.9,23756,40955,200,2000000,431.63,40958,1116532,492.428
LoraWAN 3 gateways,0.9,30711,40955,200,2000000,431.63,40958,1443417,492.428
Multihop 1 gateways,1,9054,26659,200,2000000,86.326,35713,1372588,492.428
LoraWAN 1 gateways,1,3944,39217,200,2000000,431.63,43162,185368,492.428
LoraWAN 2 gateways,1,22454,43161,200,2000000,431.63,43162,1055338,492.428
LoraWAN 3 gateways,1,39273,43161,200,2000000,431.63,43162,1845831,492.428
Multihop 1 gateways,0.1,1348,3642,200,2000000,86.326,4990,197494,492.428
LoraWAN 1 gateways,0.1,688,7142,200,2000000,431.63,7830,32336,492.428
LoraWAN 2 gateways,0.1,4853,7830,200,2000000,431.63,7830,228091,492.428
LoraWAN 3 gateways,0.1,5823,7830,200,2000000,431.63,7830,273681,492.428
Multihop 1 gateways,0.2,1677,4694,200,2000000,47.9589,6372,284773,492.428
LoraWAN 1 gateways,0.2,1402,13001,200,2000000,431.63,14403,65894,492.428
LoraWAN 2 gateways,0.2,7058,14403,200,2000000,431.63,14403,331726,492.428
LoraWAN 3 gateways,0.2,12693,14403,200,2000000,431.63,14403,596571,492.428
Multihop 1 gateways,0.3,2568,7630,200,2000000,53.9537,10198,435737,492.428
LoraWAN 1 gateways,0.3,1930,18049,200,2000000,431.63,19979,90710,492.428
LoraWAN 2 gateways,0.3,10596,19979,200,2000000,431.63,19979,498012,492.428
LoraWAN 3 gateways,0.3,15950,19979,200,2000000,431.63,19979,749650,492.428
Multihop 1 gateways,0.4,3399,12925,200,2000000,71.9383,16325,554412,492.428
LoraWAN 1 gateways,0.4,2204,22577,200,2000000,431.63,24781,103588,492.428
LoraWAN 2 gateways,0.4,14002,24781,200,2000000,431.63,24781,658094,492.428
LoraWAN 3 gateways,0.4,23041,24781,200,2000000,431.63,24781,1082927,492.428
Multihop 1 gateways,0.5,4700,14036,200,2000000,71.9383,18738,746266,492.428
LoraWAN 1 gateways,0.5,2757,26193,200,2000000,431.63,28950,129579,492.428
LoraWAN 2 gateways,0.5,18289,28950,200,2000000,431.63,28950,859583,492.428
LoraWAN 3 gateways,0.5,25254,28950,200,2000000,431.63,28950,1186938,492.428
Multihop 1 gateways,0.6,5591,14888,200,2000000,71.9383,20479,828093,492.428
LoraWAN 1 gateways,0.6,3041,29511,200,2000000,431.63,32552,142927,492.428
LoraWAN 2 gateways,0.6,19891,32552,200,2000000,431.63,32552,934877,492.428
LoraWAN 3 gateways,0.6,29128,32552,200,2000000,431.63,32552,1369016,492.428
Multihop 1 gateways,0.7,6329,19627,200,2000000,71.9383,25956,1052847,492.428
LoraWAN 1 gateways,0.7,2796,32824,200,2000000,431.63,35620,131412,492.428
LoraWAN 2 gateways,0.7,13189,35620,200,2000000,431.63,35620,619883,492.428
LoraWAN 3 gateways,0.7,28497,35620,200,2000000,431.63,35620,1339359,492.428
Multihop 1 gateways,0.8,6300,17133,200,2000000,61.6614,23433,949447,492.428
LoraWAN 1 gateways,0.8,2304,36159,200,2000000,431.63,38465,108288,492.428
LoraWAN 2 gateways,0.8,29576,38463,200,2000000,431.63,38465,1390072,492.428
LoraWAN 3 gateways,0.8,30509,38463,200,2000000,431.63,38465,1433923,492.428
Multihop 1 gateways,0.9,6901,19038,200,2000000,61.6614,25940,1047489,492.428
LoraWAN 1 gateways,0.9,4058,36897,200,2000000,431.63,40958,190726,492.428
LoraWAN 2 gateways,0.9,18580,40955,200,2000000,431.63,40958,873260,492.428
LoraWAN 3 gateways,0.9,26136,40955,200,2000000,431.63,40958,1228392,492.428
Multihop 1 gateways,1,6595,21964,200,2000000,53.9537,28559,1158268,492.428
LoraWAN 1 gateways,1,3157,40004,200,2000000,431.63,43162,148379,492.428
LoraWAN 2 gateways,1,31436,43161,200,2000000,431.63,43162,1477492,492.428
LoraWAN 3 gateways,1,31587,43161,200,2000000,431.63,43162,1484589,492.428
Multihop 1 gateways,0.1,882,2499,200,2000000,53.9537,3381,139120,492.428
LoraWAN 1 gateways,0.1,812,7018,200,2000000,431.63,7830,38164,492.428
LoraWAN 2 gateways,0.1,4057,7830,200,2000000,431.63,7830,190679,492.428
LoraWAN 3 gateways,0.1,6236,7830,200,2000000,431.63,7830,293092,492.428
Multihop 1 gateways,0.2,2418,6606,200,2000000,71.9383,9024,399359,492.428
LoraWAN 1 gateways,0.2,1287,13116,200,2000000,431.63,14403,60489,492.428
LoraWAN 2 gateways,0.2,8379,14403,200,2000000,431.63,14403,393813,492.428
LoraWAN 3 gateways,0.2,8841,14403,200,2000000,431.63,14403,415527,492.428
Multihop 1 gateways,0.3,2577,7505,200,2000000,61.6614,10082,385917,492.428
LoraWAN 1 gateways,0.3,2028,17951,200,2000000,431.63,19979,95316,492.428
LoraWAN 2 gateways,0.3,12484,19979,200,2000000,431.63,19979,586748,492.428
LoraWAN 3 gateways,0.3,12380,19979,200,2000000,431.63,19979,581860,492.428
Multihop 1 gateways,0.4,2994,9619,200,2000000,53.9537,12613,472491,492.428
LoraWAN 1 gateways,0.4,2382,22399,200,2000000,431.63,24781,111954,492.428
LoraWAN 2 gateways,0.4,8601,24781,200,2000000,431.63,24781,404247,492.428
LoraWAN 3 gateways,0.4,19248,24781,200,2000000,431.63,24781,904656,492.428
Multihop 1 gateways,0.5,3614,11033,200,2000000,47.9589,14647,630599,492.428
LoraWAN 1 gateways,0.5,2461,26489,200,2000000,431.63,28950,115667,492.428
LoraWAN 2 gateways,0.5,16343,28950,200,2000000,431.63,28950,768121,492.428
LoraWAN 3 gateways,0.5,21020,28950,200,2000000,431.63,28950,987940,492.428
Multihop 1 gateways,0.6,4585,17475,200,2000000,71.9383,22060,756136,492.428
LoraWAN 1 gateways,0.6,3559,28993,200,2000000,431.63,32552,167273,492.428
LoraWAN 2 gateways,0.6,13698,32552,200,2000000,431.63,32552,643806,492.428
LoraWAN 3 gateways,0.6,26145,32552,200,2000000,431.63,32552,1228815,492.428
Multihop 1 gateways,0.7,5547,13822,200,2000000,53.9537,19369,854178,492.428
LoraWAN 1 gateways,0.7,3384,32236,200,2000000,431.63,35620,159048,492.428
LoraWAN 2 gateways,0.7,14723,35620,200,2000000,431.63,35620,691981,492.428
LoraWAN 3 gateways,0.7,28239,35620,200,2000000,431.63,35620,1327233,492.428
Multihop 1 gateways,0.8,7360,22150,200,2000000,71.9383,29510,1242492,492.428
LoraWAN 1 gateways,0.8,3792,34671,200,2000000,431.63,38465,178224,492.428
LoraWAN 2 gateways,0.8,29416,38463,200,2000000,431.63,38465,1382552,492.428
LoraWAN 3 gateways,0.8,34972,38463,200,2000000,431.63,38465,1643684,492.428
Multihop 1 gateways,0.9,6605,20870,200,2000000,61.6614,27475,1051155,492.428
LoraWAN 1 gateways,0.9,2889,38066,200,2000000,431.63,40958,135783,492.428
LoraWAN 2 gateways,0.9,9762,40955,200,2000000,431.63,40958,458814,492.428
LoraWAN 3 gateways,0.9,28993,40955,200,2000000,431.63,40958,1362671,492.428
Multihop 1 gateways,1,8629,24956,200,2000000,71.9383,33586,1409577,492.428
LoraWAN 1 gateways,1,4103,39058,200,2000000,431.63,43162,192841,492.428
LoraWAN 2 gateways,1,14285,43161,200,2000000,431.63,43162,671395,492.428
LoraWAN 3 gateways,1,33875,43161,200,2000000,431.63,43162,1592125,492.428
Multihop 1 gateways,0.1,1211,3217,200,2000000,71.9383,4428,190773,492.428
LoraWAN 1 gateways,0.1,720,7110,200,2000000,431.63,7830,33840,492.428
LoraWAN 2 gateways,0.1,1428,7830,200,2000000,431.63,7830,67116,492.428
LoraWAN 3 gateways,0.1,5499,7830,200,2000000,431.63,7830,258453,492.428
Multihop 1 gateways,0.2,1990,5076,200,2000000,61.6614,7066,304231,492.428
