case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay,max_delay
LoraWAN 1 gateways,0.9,2508,38447,200,2000000,431.63,40958,117876,492.428
LoraWAN 2 gateways,0.9,24122,40955,200,2000000,431.63,40958,1133734,492.428
LoraWAN 3 gateways,0.9,30781,40955,200,2000000,431.63,40958,1446707,492.428
Multihop 1 gateways,1,9624,20770,200,2000000,86.326,30394,1170112,492.428
LoraWAN 1 gateways,1,4824,38337,200,2000000,431.63,43162,226728,492.428
LoraWAN 2 gateways,1,31391,43161,200,2000000,431.63,43162,1475377,492.428
LoraWAN 3 gateways,1,34414,43161,200,2000000,431.63,43162,1617458,492.428
Multihop 1 gateways,0.1,1195,2819,200,2000000,71.9383,4014,167931,492.428
LoraWAN 1 gateways,0.1,619,7211,200,2000000,431.63,7830,29093,492.428
LoraWAN 2 gateways,0.1,2958,7830,200,2000000,431.63,7830,139026,492.428
LoraWAN 3 gateways,0.1,6007,7830,200,2000000,431.63,7830,282329,492.428
Multihop 1 gateways,0.2,2909,6999,200,2000000,86.326,9908,438651,492.428
LoraWAN 1 gateways,0.2,1224,13179,200,2000000,431.63,14403,57528,492.428
LoraWAN 2 gateways,0.2,7674,14403,200,2000000,431.63,14403,360678,492.428
LoraWAN 3 gateways,0.2,8949,14403,200,2000000,431.63,14403,420603,492.428
Multihop 1 gateways,0.3,2573,8245,200,2000000,61.6614,10818,422107,492.428
LoraWAN 1 gateways,0.3,2004,17975,200,2000000,431.63,19979,94188,492.428
LoraWAN 2 gateways,0.3,6374,19979,200,2000000,431.63,19979,299578,492.428
LoraWAN 3 gateways,0.3,14390,19979,200,2000000,431.63,19979,676330,492.428
Multihop 1 gateways,0.4,4332,9667,200,2000000,71.9383,14000,602070,492.428
LoraWAN 1 gateways,0.4,2378,22403,200,2000000,431.63,24781,111766,492.428
LoraWAN 2 gateways,0.4,21008,24781,200,2000000,431.63,24781,987376,492.428
LoraWAN 3 gateways,0.4,16992,24781,200,2000000,431.63,24781,798624,492.428
Multihop 1 gateways,0.5,3844,14422,200,2000000,61.6614,18267,700347,492.428
LoraWAN 1 gateways,0.5,3567,25383,200,2000000,431.63,28950,167649,492.428
LoraWAN 2 gateways,0.5,2404,28950,200,2000000,431.63,28950,112988,492.428
LoraWAN 3 gateways,0.5,24244,28950,200,2000000,431.63,28950,1139468,492.428
Multihop 1 gateways,0.6,5833,15581,200,2000000,71.9383,21414,900097,492.428
LoraWAN 1 gateways,0.6,2466,30086,200,2000000,431.63,32552,115902,492.428
LoraWAN 2 gateways,0.6,16514,32552,200,2000000,431.63,32552,776158,492.428
LoraWAN 3 gateways,0.6,24085,32552,200,2000000,431.63,32552,1131995,492.428
Multihop 1 gateways,0.7,6439,17670,200,2000000,71.9383,24110,978070,492.428
LoraWAN 1 gateways,0.7,3316,32304,200,2000000,431.63,35620,155852,492.428
LoraWAN 2 gateways,0.7,14270,35620,200,2000000,431.63,35620,670690,492.428
LoraWAN 3 gateways,0.7,30993,35620,200,2000000,431.63,35620,1456671,492.428
Multihop 1 gateways,0.8,7410,19766,200,2000000,71.9383,27176,1146988,492.428
LoraWAN 1 gateways,0.8,3912,34551,200,2000000,431.63,38465,183864,492.428
