case,rate,decoded,non_decoded,nodes_number,life_time,maximum_trans,gen_packets,delay
Multihop 1 gateways,0.1,3735,12963,126,2000000,431.63,16698,760178
LoraWAN 1 gateways,0.1,662,4305,126,2000000,431.63,4967,31114
LoraWAN 2 gateways,0.1,2251,4967,126,2000000,431.63,4967,105797
LoraWAN 3 gateways,0.1,3351,4967,126,2000000,431.63,4967,157497
Multihop 1 gateways,0.2,5736,21762,126,2000000,431.63,27500,1232011
LoraWAN 1 gateways,0.2,1308,7818,126,2000000,431.63,9126,61476
LoraWAN 2 gateways,0.2,4143,9126,126,2000000,431.63,9126,194721
LoraWAN 3 gateways,0.2,6183,9126,126,2000000,431.63,9126,290601
Multihop 1 gateways,0.3,7143,27761,126,2000000,431.63,34904,1571680
LoraWAN 1 gateways,0.3,1726,10850,126,2000000,431.63,12576,81122
LoraWAN 2 gateways,0.3,5751,12576,126,2000000,431.63,12576,270297
LoraWAN 3 gateways,0.3,8456,12576,126,2000000,431.63,12576,397432
Multihop 1 gateways,0.4,7787,33034,126,2000000,431.63,40822,1758787
LoraWAN 1 gateways,0.4,2208,13354,126,2000000,431.63,15563,103776
LoraWAN 2 gateways,0.4,7151,15562,126,2000000,431.63,15563,336097
LoraWAN 3 gateways,0.4,10482,15562,126,2000000,431.63,15563,492654
Multihop 1 gateways,0.5,8590,36783,126,2000000,431.63,45375,1987207
LoraWAN 1 gateways,0.5,2556,15647,126,2000000,431.63,18203,120132
LoraWAN 2 gateways,0.5,8281,18203,126,2000000,431.63,18203,389207
LoraWAN 3 gateways,0.5,12293,18203,126,2000000,431.63,18203,577771
Multihop 1 gateways,0.6,9258,39824,126,2000000,431.63,49082,2155044
LoraWAN 1 gateways,0.6,2813,17632,126,2000000,431.63,20445,132211
LoraWAN 2 gateways,0.6,9275,20445,126,2000000,431.63,20445,435925
LoraWAN 3 gateways,0.6,13707,20445,126,2000000,431.63,20445,644229
Multihop 1 gateways,0.7,9709,42335,126,2000000,431.63,52046,2287913
LoraWAN 1 gateways,0.7,3081,19272,126,2000000,431.63,22353,144807
LoraWAN 2 gateways,0.7,10136,22353,126,2000000,431.63,22353,476392
LoraWAN 3 gateways,0.7,14993,22353,126,2000000,431.63,22353,704671
Multihop 1 gateways,0.8,9967,44980,126,2000000,431.63,54949,2389903
LoraWAN 1 gateways,0.8,3307,20845,126,2000000,431.63,24152,155429
LoraWAN 2 gateways,0.8,10920,24152,126,2000000,431.63,24152,513240
LoraWAN 3 gateways,0.8,16225,24152,126,2000000,431.63,24152,762575
Multihop 1 gateways,0.9,10388,46674,126,2000000,431.63,57064,2482117
LoraWAN 1 gateways,0.9,3525,22177,126,2000000,431.63,25703,165675
LoraWAN 2 gateways,0.9,11667,25702,126,2000000,431.63,25703,548349
LoraWAN 3 gateways,0.9,17245,25702,126,2000000,431.63,25703,810515
Multihop 1 gateways,1,10184,48923,126,2000000,431.63,59108,2457959
LoraWAN 1 gateways,1,3696,23411,126,2000000,431.63,27108,173712
LoraWAN 2 gateways,1,12220,27107,126,2000000,431.63,27108,574340
LoraWAN 3 gateways,1,18118,27107,126,2000000,431.63,27108,851546
